date,venue,race_no,pool,combination,dividend_hkd
2019-12-15,沙田,1,獨贏,1,43.50
2019-12-15,沙田,1,位置,1,17.50
2019-12-15,沙田,1,連贏,"1,9",144.50
2019-12-15,沙田,1,位置Q,"1,9",55.50
2019-12-15,沙田,1,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,1,三重彩,"1,9,4","1,513.00"
2019-12-15,沙田,1,單T,"1,4,9",301.00
2019-12-15,沙田,1,四連環,"1,4,6,9",272.00
2019-12-15,沙田,1,四重彩,"1,9,4,6","6,399.00"
2019-12-15,沙田,2,獨贏,10,36.50
2019-12-15,沙田,2,位置,10,16.00
2019-12-15,沙田,2,連贏,"8,10","1,341.50"
2019-12-15,沙田,2,位置Q,"8,10",410.00
2019-12-15,沙田,2,3揀1（組合獨贏）,A1,23.00
2019-12-15,沙田,2,三重彩,"10,8,9","13,516.00"
2019-12-15,沙田,2,單T,"8,9,10","2,536.00"
2019-12-15,沙田,2,四連環,"3,8,9,10","5,509.00"
2019-12-15,沙田,2,四重彩,"10,8,9,3","120,385.00"
2019-12-15,沙田,2,第一口孖寶,1/10,188.00
2019-12-15,沙田,3,獨贏,10,40.50
2019-12-15,沙田,3,位置,10,19.50
2019-12-15,沙田,3,連贏,"3,10",148.50
2019-12-15,沙田,3,位置Q,"3,10",64.50
2019-12-15,沙田,3,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,3,三重彩,"10,3,12","4,380.00"
2019-12-15,沙田,3,單T,"3,10,12",985.00
2019-12-15,沙田,3,四連環,"3,6,10,12","6,597.00"
2019-12-15,沙田,3,四重彩,"10,3,12,6","72,290.00"
2019-12-15,沙田,3,第二口孖寶,10/10,196.50
2019-12-15,沙田,4,獨贏,12,81.50
2019-12-15,沙田,4,位置,12,24.00
2019-12-15,沙田,4,連贏,"1,12",608.50
2019-12-15,沙田,4,位置Q,"1,12",196.50
2019-12-15,沙田,4,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,4,三重彩,"12,1,2","9,733.00"
2019-12-15,沙田,4,單T,"1,2,12","1,561.00"
2019-12-15,沙田,4,四連環,"1,2,5,12","18,058.00"
2019-12-15,沙田,4,四重彩,"12,1,2,5","283,897.00"
2019-12-15,沙田,4,第三口孖寶,10/12,404.00
2019-12-15,沙田,4,第一口孖T,"3,10,12/1,2,12","130,109.00"
2019-12-15,沙田,5,獨贏,11,43.50
2019-12-15,沙田,5,位置,11,16.00
2019-12-15,沙田,5,連贏,"5,11",655.50
2019-12-15,沙田,5,位置Q,"5,11",195.00
2019-12-15,沙田,5,3揀1（組合獨贏）,A1,28.00
2019-12-15,沙田,5,三重彩,"11,5,9","6,294.00"
2019-12-15,沙田,5,單T,"5,9,11",982.00
2019-12-15,沙田,5,四連環,"5,9,10,11","3,365.00"
2019-12-15,沙田,5,四重彩,"11,5,9,10","71,815.00"
2019-12-15,沙田,5,第四口孖寶,"12/7,11",335.00
2019-12-15,沙田,6,獨贏,13,28.00
2019-12-15,沙田,6,位置,13,13.50
2019-12-15,沙田,6,連贏,"4,13",92.50
2019-12-15,沙田,6,位置Q,"4,13",43.00
2019-12-15,沙田,6,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,6,三重彩,"13,4,10",803.00
2019-12-15,沙田,6,單T,"4,10,13",214.00
2019-12-15,沙田,6,四連環,"3,4,10,13",270.00
2019-12-15,沙田,6,四重彩,"13,4,10,3","5,609.00"
2019-12-15,沙田,6,第五口孖寶,"7,11/13",251.00
2019-12-15,沙田,6,三T(安慰獎),"1,2,12/5,9>7,11/任何組合","251,907.00"
2019-12-15,沙田,7,獨贏,4,14.50
2019-12-15,沙田,7,位置,4,11.50
2019-12-15,沙田,7,連贏,"4,8",50.00
2019-12-15,沙田,7,位置Q,"4,8",23.50
2019-12-15,沙田,7,3揀1（組合獨贏）,A1,14.50
2019-12-15,沙田,7,三重彩,"4,8,2",324.00
2019-12-15,沙田,7,單T,"2,4,8",104.00
2019-12-15,沙田,7,四連環,"2,4,8,9",305.00
2019-12-15,沙田,7,四重彩,"4,8,2,9","2,443.00"
2019-12-15,沙田,7,第六口孖寶,13/4,55.00
2019-12-15,沙田,7,第二口孖T,"4,10,13/2,4,8","2,451.00"
2019-12-15,沙田,8,獨贏,9,22.00
2019-12-15,沙田,8,位置,9,12.00
2019-12-15,沙田,8,連贏,"3,9",371.50
2019-12-15,沙田,8,位置Q,"3,9",117.00
2019-12-15,沙田,8,3揀1（組合獨贏）,A1,12.50
2019-12-15,沙田,8,三重彩,"9,3,1","4,487.00"
2019-12-15,沙田,8,單T,"1,3,9","1,305.00"
2019-12-15,沙田,8,四連環,"1,3,9,11",483.00
2019-12-15,沙田,8,四重彩,"9,3,1,11","13,640.00"
2019-12-15,沙田,8,第七口孖寶,4/9,30.00
2019-12-15,沙田,9,獨贏,9,31.00
2019-12-15,沙田,9,位置,9,13.00
2019-12-15,沙田,9,連贏,"4,9",169.00
2019-12-15,沙田,9,位置Q,"4,9",61.50
2019-12-15,沙田,9,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,9,三重彩,"9,4,5","1,079.00"
2019-12-15,沙田,9,單T,"4,5,9",170.00
2019-12-15,沙田,9,四連環,"2,4,5,9",468.00
2019-12-15,沙田,9,四重彩,"9,4,5,2","10,203.00"
2019-12-15,沙田,9,第八口孖寶,9/9,62.50
2019-12-15,沙田,10,獨贏,3,44.00
2019-12-15,沙田,10,位置,3,16.50
2019-12-15,沙田,10,連贏,"3,10",283.50
2019-12-15,沙田,10,位置Q,"3,10",102.00
2019-12-15,沙田,10,3揀1（組合獨贏）,A1,未能勝出
2019-12-15,沙田,10,三重彩,"3,10,13","3,554.00"
2019-12-15,沙田,10,單T,"3,10,13",577.00
2019-12-15,沙田,10,四連環,"3,10,12,13","3,488.00"
2019-12-15,沙田,10,四重彩,"3,10,13,12","47,061.00"
2019-12-15,沙田,10,第九口孖寶,9/3,174.50
2019-12-15,沙田,10,三寶,9/9/3,425.00
2019-12-15,沙田,10,第三口孖T,"4,5,9/3,10,13","18,238.00"
2019-12-15,沙田,10,六環彩,"5,7,11/4,13/4,8/3,9/4,9/3,10","1,712.00"
2019-12-15,沙田,10,騎師王 1,2 [潘頓],詳情
