date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,1,6,美麗歡欣 (D130),波健士,約翰摩亞,125,1109,1,-,1 1 1 1 1 1,2:18.58,6.5
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,2,2,全才 (B213),潘頓,韋達,129,1062,8,2-1/2,8 8 7 8 8 2,2:18.98,3.4
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,3,1,曈曨光彩 (D188),莫雷拉,告東尼,133,1039,5,3-3/4,2 2 2 2 2 3,2:19.14,5
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,4,4,文武傳奇 (B137),史卓豐,沈集成,127,1112,4,4,6 5 5 6 6 4,2:19.18,23
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,5,8,甲烷 (C469),田泰安,霍利時,118,1055,6,4-3/4,5 6 6 5 5 5,2:19.34,4
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,6,3,水箭龜 (C450),賀銘年,霍利時,128,1047,7,5-1/4,7 7 8 7 7 6,2:19.42,7.9
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,7,7,情趣 (V114),梁家俊,霍利時,123,1154,2,5-1/2,4 3 3 3 3 7,2:19.47,37
2020-06-03,跑馬地,1,710,奧卑利讓賽,第三班,2200,80-60,好地,"草地 - ""A"" 賽道",1450000,(14.85) (40.70) (1:06.86) (1:32.66) (1:56.01) (2:18.58),14.85 25.85 26.16 25.80 23.35 22.57,8,5,好計 (B432),何澤堯,方嘉柏,126,1078,3,6,3 4 4 4 4 8,2:19.55,8.1
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,1,11,英明勇將 (T348),何澤堯,呂健威,119,1062,11,-,8 8 1,1:10.07,12
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,2,12,日日靚 (D070),楊明綸,方嘉柏,114,1166,5,鼻位,6 7 2,1:10.07,15
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,3,6,好友無敵 (A217),田泰安,文家良,124,1083,4,頸位,4 4 3,1:10.13,4.6
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,4,8,旅遊拿督 (V235),潘頓,高伯新,122,1089,12,1/2,11 10 4,1:10.15,10
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,5,1,正本雄心 (V303),賀銘年,霍利時,132,1161,7,1/2,7 6 5,1:10.16,11
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,6,3,太空戰士 (C339),波健士,姚本輝,126,1117,6,3-1/4,3 3 6,1:10.58,19
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,7,9,中華威威 (D075),史卓豐,韋達,121,1204,1,3-1/4,5 5 7,1:10.61,7.9
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,8,2,家家成功 (D069),巫顯東,徐雨石,128,1206,2,3-1/2,9 9 8,1:10.64,16
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,9,7,特駒聯盟 (C472),莫雷拉,蔡約翰,123,1038,8,3-3/4,2 2 9,1:10.65,4
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,10,10,紅旺 (C341),陳嘉熙,葉楚航,113,1185,9,5-3/4,1 1 10,1:11.01,6.1
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,11,5,虎視眈眈 (D290),潘明輝,何良,123,1030,10,9-1/4,12 12 11,1:11.56,122
2020-06-03,跑馬地,2,711,士丹頓讓賽,第四班,1200,60-40,好地,"草地 - ""A"" 賽道",967000,(23.71) (46.50) (1:10.07),23.71 22.79 23.57,12,4,紅鞋兒 (D081),黎海榮,徐雨石,125,1066,3,9-1/2,10 11 12,1:11.57,311
2020-06-03,跑馬地,3,712,雲咸讓賽,第四班,1650,60-40,好地,"草地 - ""A"" 賽道",967000,(27.52) (51.03) (1:15.66) (1:39.69),27.52 23.51 24.63 24.03,1,8,其利斷金 (B426),田泰安,葉楚航,118,1133,2,-,6 6 6 1,1:39.69,13
