date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2021-04-28,跑馬地,1,1,9,赤馬雄風 (E028),潘頓,B/TT,出閘笨拙，受催策上前，早段領放。千一米處被超越。接近八百米處時讓對手過頭。入直路時挑戰領放馬。直路初取得領先。末段保持甚佳走勢，勝出賽事。
2021-04-28,跑馬地,1,2,5,喜多樂 (C224),何澤堯,CP-/B2/TT,起步時與對手互相碰撞，居中間之前位置，走內疊。直路彎走內疊節省腳程。衝刺良佳，取得亞軍。
2021-04-28,跑馬地,1,3,6,無極戰士 (D073),班德禮,V,出閘普通，居中間位置，走內欄。直路彎走內欄節省腳程。直路上追前甚多，取得一席季軍，過終點時最為接近。
2021-04-28,跑馬地,1,4,10,路路富貴 (C442),田泰安,B/XB,起步時與對手互相碰撞，居中間位置，走第二疊。跑過四百米處後向外移出。以穩勢衝刺。
2021-04-28,跑馬地,1,5,11,晴朗拍檔 (B071),馬雅,B,起步時向內斜跑，碰撞對手，居中間之前位置，走第二疊。直路彎位置相若。直路初在催策下反應平平。最後一百米逐漸轉弱。
2021-04-28,跑馬地,1,6,2,威力爆發 (D304),巴度,XB,出閘普通，居中間之後位置，走內疊。直路彎前居相同位置。直路初未能再增速。末段保持穩勢。
2021-04-28,跑馬地,1,7,1,老表醒 (D249),莫雷拉,--,起步時被對手碰撞，居中間稍後位置，走第二疊。跑過四百五十米處後開始發力。入直路時走大外疊。直路初在催策下反應平平。最後一百五十米逐漸轉弱。
2021-04-28,跑馬地,1,8,3,愛逍遙 (D190),潘明輝,--,出閘俐落，居前列，但走第三疊。接近一千零五十米處時取得領先。八百米處移入內欄。入直路時受對手挑戰。直路初未能再增速及被超越，其後轉弱。
2021-04-28,跑馬地,1,9,8,老撾之光 (C291),梁家俊,B/TT,自大外檔出閘，留居後列，走內欄。沿途走內欄節省腳程。直路上毫無進展。
2021-04-28,跑馬地,1,10,7,勇敢動力 (D153),蔡明紹,B/TT,起步時被對手碰撞，居後列，走第二疊。直路彎落後五至六個馬位。直路上衝刺乏力。
2021-04-28,跑馬地,1,11,4,金剛福星 (D017),波健士,E/TT,自第十一檔出閘，留居後列，走外疊。大部分途程沒有遮擋。直路彎略為追近。入直路時走大外疊。二百五十米處未能再增速。最後一百五十米轉弱。
2021-04-28,跑馬地,1,12,12,向前看 (B331),楊明綸,TT,起步時向內斜跑，碰撞對手，沿途居包尾位置。從未有力一爭。
2021-04-28,跑馬地,2,1,1,齊齊友福 (D505),賀銘年,CP1,受推策上前，走第二疊。三百米處以佳勢衝刺，勝出賽事。
2021-04-28,跑馬地,2,2,2,電訊超班 (E140),田泰安,XB-/TT1,受力策，保持居中間位置，走內欄。三百米處衝刺強勁，跑獲亞軍。
2021-04-28,跑馬地,2,3,3,蒲俠超得 (E138),馬雅,--,受力策，移入內欄領放。保持佳勢，一百米處被超越。
2021-04-28,跑馬地,2,4,5,世澤歆星 (E168),潘頓,H1/TT1,居中間之前位置，走第二疊。直路上走勢稚嫩。二百米處衝刺良佳。
2021-04-28,跑馬地,2,5,8,桃花盛 (D234),班德禮,--,起步後收慢，移入內欄，居後列。二百五十米處衝刺良佳。
2021-04-28,跑馬地,2,6,6,陽明高高 (B132),莫雷拉,B/TT,居後列，走第三疊。二百米處衝刺良佳。
2021-04-28,跑馬地,2,7,4,迎彩繽紛 (D492),巴度,--,起步後收慢，移入內欄。直路上走勢尚可。賽後接受獸醫檢查，並無發現任何明顯異常之處。
2021-04-28,跑馬地,2,8,10,隨喜 (E085),史卓豐,B,受推策以佔取包廂位置。二百五十米處力竭。賽後接受獸醫檢查，並無發現任何明顯異常之處。
2021-04-28,跑馬地,2,9,12,加州明雋 (B363),楊明綸,TT,居中間位置，沿途在沒有遮擋下走外疊。三百米處轉弱。
2021-04-28,跑馬地,2,10,9,勝煌 (E299),潘明輝,--,居後列，走第二疊。衝刺乏力。
2021-04-28,跑馬地,2,11,11,智弗拍檔 (D330),何澤堯,TT,居後列，走第二疊。從未能推進。
2021-04-28,跑馬地,2,12,7,酷比哥 (C192),彭國年,CP/XB1/TT2,起步後收慢。從未有力一爭。
2021-04-28,跑馬地,3,1,7,大有心得 (E155),潘頓,B,居包廂位置。接近四百米處時推進。跑過二百米處時加速。衝刺強勁，勝出賽事。
2021-04-28,跑馬地,3,2,6,有視力 (D251),巴度,--,在未受催策下取得領先。在領放下走勢良佳。直路上對催策反應甚佳。以短馬頭位之差落敗。
2021-04-28,跑馬地,3,3,12,牛精輝煌 (A118),楊明綸,H/CP1,居中間之後位置，走內欄。直路上力拼。跑過一百米處時略為追前。
2021-04-28,跑馬地,3,4,9,樂盈盈 (C369),蔡明紹,B/H/TT,受催策，居領放馬外側。轉直路彎時走勢笨拙。受催策時保持同速。
2021-04-28,跑馬地,3,5,11,幸運飛彈 (C501),黃皓楠,CP-,早段失去右前蹄的蹄鐵，居中間位置。受催策。末段保持同速。
2021-04-28,跑馬地,3,6,3,馭風行 (C433),梁家俊,B/TT,起步後留後。跑過四百米處時開始推進。直路上略為追前。
2021-04-28,跑馬地,3,7,1,文武傳奇 (B137),田泰安,B/TT,居中間位置，走內欄。接近三百五十米處時騎師跌掉馬鞭。跑過五十米處時墮退。
2021-04-28,跑馬地,3,8,8,情趣 (V114),波健士,B/TT,起步後留居後列。受催策時反應平平。
2021-04-28,跑馬地,3,9,10,精彩飛動 (B095),莫雷拉,XB,居領放馬之後。直路初受催策。直路上對催策毫無反應。
2021-04-28,跑馬地,3,10,5,醉醒神 (B436),何澤堯,P,出閘僅屬一般，居後列。跑過七百米處時受催策。直路上墮退。
2021-04-28,跑馬地,3,11,4,龍戰士 (C153),賀銘年,B/TT,起步後留居後列，走第三疊，有遮擋。入直路時走最外疊。接近二百米處時轉弱。
2021-04-28,跑馬地,3,12,2,藍海策略 (A411),潘明輝,B,受力策，但未能加速，居中間位置，在沒有遮擋下走外疊。轉直路彎時受催策。直路上力弱。
2021-04-28,跑馬地,4,1,2,威威高星 (D101),梁家俊,B,起步時向外斜跑，碰撞對手，繼而居中間稍後位置。接近五百米處時移至第三疊，開始推進。直路彎走最外疊。最後二百米衝刺凌厲，最後數步取得領先。
2021-04-28,跑馬地,4,2,1,天衣無縫 (C261),史卓豐,XB,展現前速，取得領先。中段步速加快，繼續保持領先。最後數步被衝刺凌厲的頭馬超越，以短距離之差見負。
2021-04-28,跑馬地,4,3,11,爪皇烈焰 (T353),莫雷拉,B/TT,在馬群之後切入，居中間稍後位置，走內欄。直路彎固守內疊。二百米處向外斜跑。末段在馬匹之間衝刺良佳，僅以一個馬位之差落敗。
2021-04-28,跑馬地,4,4,5,總統之星 (C170),潘頓,B/TT,早段受推策上前，居領放馬外側。被超越，自半程起居領先兩駒之後，有遮擋。入直路時固守內疊。其後以穩勢衝刺，僅以一個半馬位之差落敗。
2021-04-28,跑馬地,4,5,4,嘉喜旺 (C421),馬雅,B,居中間位置，在沒有遮擋下走外疊。接近半程時上前，居領先馬匹旁側。四百米處繼續落後不逾一個馬位。直路上墮後一個馬位，居中間位置。所負不遠。
2021-04-28,跑馬地,4,6,6,帝豪寶駒 (C035),田泰安,TT,前半程居有利的第二疊第二位。接近半程時略為墮後。四百米處落後領放馬兩個馬位。其後以穩勢衝刺，居中間位置過終點，以相若距離見負。
2021-04-28,跑馬地,4,7,10,白鷺盛世 (D163),賀銘年,B-/XB/TT1,前半程居領先馬匹之後。接近半程時略為墮後。自六百米處起受力策。四百米處落後領放馬三個馬位。二百米處落後相若距離。末段受擠迫。
2021-04-28,跑馬地,4,8,7,明德之星 (B395),巴度,TT,沿途居中間位置，走內欄。接近五百米處時在嘗試移離內欄之際靠近他駒後蹄處於窘境。四百米處落後領放馬四個馬位。直路上落後相同距離。未能構成威脅。
2021-04-28,跑馬地,4,9,9,緣份 (C535),班德禮,SR/XB/CP1,起步後收慢，留居尾三位置，走內欄。四百米處仍居後列，落後領放馬六個馬位。追前約一個馬位，但落後太遠，未能展開挑戰及構成威脅。
2021-04-28,跑馬地,4,10,3,度身訂做 (C522),何澤堯,V/TT,起步時被碰撞及失去平衡，繼而向內移入，居中間位置，離欄競跑。四百米處移出較外疊以推進，落後領放馬稍逾三個馬位。接近二百米處時未能再增速，末段轉弱。（氣管內有血。）
2021-04-28,跑馬地,4,11,8,喜悅天空 (C195),蔡明紹,B/TT-,起步後收慢，留居尾二位置。持續居後列。其後未能追前，並列包尾過終點。（氣管內有血。）
2021-04-28,跑馬地,4,11,12,如沐春風 (B150),黎海榮,B,欠缺前速，沿途遙居包尾位置。直路上未能追前，以逾六個馬位之差並列包尾過終點。
2021-04-28,跑馬地,5,1,7,俏芳華 (E106),何澤堯,TT1,出閘一般，居中間稍後位置，走第二疊。跑過四百五十米處後開始上前。入直路時走大外疊。衝刺凌厲，勝出賽事。
2021-04-28,跑馬地,5,2,8,珍珠鳳凰 (B201),莫雷拉,B-,出閘迅速，早段取得領先。千三米處被超越。千二米處讓對手過頭。中段緊隨領放馬。四百米處開始上前。二百五十米處取得領先。末段保持佳勢，但不敵頭馬。
2021-04-28,跑馬地,5,3,1,幸福友善 (E044),潘頓,--,自第一檔出閘迅速，居中間之前位置，走內欄。直路彎走內欄節省腳程。衝刺良佳，跑獲季軍，未能構成威脅。
2021-04-28,跑馬地,5,4,3,金獅大將 (E057),巴度,XB,與對手同步出閘，居後列，走第二疊。跑過五百五十米處後開始上前。入直路時走大外疊。直路上追前頗多，跑獲殿軍。過終點時最為接近。
2021-04-28,跑馬地,5,5,9,御風超影 (C268),史卓豐,SR/TT,出閘僅屬一般，居中間之後位置，走內疊。直路彎略為追近。入直路時走外疊。末段追前頗多。過終點時最為接近。
2021-04-28,跑馬地,5,6,10,雷公鑿 (V279),潘明輝,B,出閘迅速，早段居前列，但走外疊。接近千三米處時取得領先。直路彎前走勢暢順。二百五十米處未能再增速及被超越。末段走勢平穩。
2021-04-28,跑馬地,5,7,4,雙節棍 (C357),陳嘉熙,TT,自第九檔出閘，留居中間之後位置，走內疊。直路彎走內疊節省腳程。入直路後繼續走內疊，衝刺平穩。
2021-04-28,跑馬地,5,8,2,玩具達人 (D203),蔡明紹,--,出閘迅速，居中間之前位置，走第二疊。四百五十米處向外移出。直路初未能再增速。最後一百米逐漸轉弱。
2021-04-28,跑馬地,5,9,11,型感 (D296),波健士,B/TT,出閘稍慢，居後列，走內疊。直路彎落後七個馬位。直路上毫無進展。
2021-04-28,跑馬地,5,10,6,神舟寶駒 (C269),田泰安,B/TT,出閘迅速，早段居前列，但走第三疊。趨近千二米處時走第二疊。直路彎未能再增速。直路初轉弱及收慢。
2021-04-28,跑馬地,5,11,12,有力 (E017),巫顯東,H,出閘一般。沿途居後列。從未有力一爭。
2021-04-28,跑馬地,5,12,5,勁力威龍 (C437),梁家俊,V/XB,與對手同步躍出，居中間位置，走第二疊。直路彎未能再增速。直路初力竭。最後二百米收慢。
2021-04-28,跑馬地,6,1,3,一拍即合 (B402),陳嘉熙,B/TT,留居後列，走內欄。沿欄追前。保持走勢，以一馬頸位之先勝出。
2021-04-28,跑馬地,6,2,4,加州凱歌 (D067),莫雷拉,B/TT,居包廂位置。入直路時取得領先。跑過五十米處時被頭馬超越。
2021-04-28,跑馬地,6,3,1,飛霸龍 (B033),賀銘年,TT,出閘迅速，繼而收慢切入中間之後位置，走第二疊。移出外疊，衝刺強勁，跑獲季軍。
2021-04-28,跑馬地,6,4,8,皇帝金 (E077),楊明綸,XB,居中間稍後位置，走內欄。末段走勢良佳。
2021-04-28,跑馬地,6,5,7,勇趣 (E223),班德禮,--,起步時被對手碰撞，居中間之前位置，走第二疊。接近一百七十五米處時受困，其後衝刺一般。（見競賽事件報告。）
2021-04-28,跑馬地,6,6,2,美麗滿紛 (C475),潘頓,E,出閘笨拙，居前列，但走外疊。接近六百米處時移至領放馬外側。保持同速。（流鼻血。）
2021-04-28,跑馬地,6,7,10,駿爵士 (C406),田泰安,B/TT,留居後列，走第二疊。直路上追前。
2021-04-28,跑馬地,6,8,6,三生好運 (C359),潘明輝,CP,上前居領放馬外側。搶口，六百米處取得遮擋。最後一百米再無餘力。（見競賽事件報告。）
2021-04-28,跑馬地,6,9,9,孖寶 (C239),蔡明紹,B/XB,出閘迅速，上前移入內欄領放。跑過二百五十米處時力竭。
2021-04-28,跑馬地,7,1,8,喜駿之星 (D033),梁家俊,TT,出閘迅速，居領放馬稍後位置，走第二疊。趨近直路彎時開始發力。最後三百米取得領先，在催策下保持走勢。
2021-04-28,跑馬地,7,2,9,勇眼光 (D487),史卓豐,CP,居第四位，落後約三個馬位，走第二疊。轉直路彎時受催策。四百米處受鞭策，在催策下保持走勢。過終點時最為接近。
2021-04-28,跑馬地,7,3,12,歡樂好友 (C533),波健士,H,出閘笨拙，居中間稍前第五位，落後約四個馬位。入直路時走內疊以省腳程。持續力拼，但未能構成威脅。
2021-04-28,跑馬地,7,4,7,好拍檔 (E097),巴度,--,居包尾數位之內。最後一百五十米衝刺良佳。最後數步空位不足。
2021-04-28,跑馬地,7,5,5,有毅君子 (D230),賀銘年,XB,居中間之後位置，走內欄。對面直路上數度靠近對手的後蹄競跑。轉直路彎時走內欄以省腳程。受催策，以穩勢力拼，但未能構成威脅。
2021-04-28,跑馬地,7,6,1,多姿多財 (D125),潘明輝,--,自第一檔出閘迅速，逐漸居第三位，落後約兩個馬位。轉直路彎賽事步速加快時略為墮退，但仍居第三位。末段受催策，保持同速，未能加速。
2021-04-28,跑馬地,7,7,6,五邑之星 (D503),莫雷拉,B,自自外檔出閘，居後列，走外疊。轉直路彎時開始在外疊上前。轉入直路時走最外疊。直路上靠近外欄競跑，追前甚多。
2021-04-28,跑馬地,7,8,4,量化歡騰 (D049),薛恩,CP/SR2,受催策，居前數位之內，走外疊。對面直路上逐漸居中間位置，走第三疊，沒有遮擋。自五百米處起開始發力。入直路時走較外疊。持續力拼，但未能構成威脅。
2021-04-28,跑馬地,7,9,2,正本歡心 (D366),田泰安,--,自外檔出閘，受催策上前。轉入對面直路時取得領先，其後不久走內欄。跑過三百米處時被頭馬超越，瞬即轉弱。
2021-04-28,跑馬地,7,10,3,得福 (E295),潘頓,XB1,走勢稚嫩，居中間第七位。轉直路彎時居相若位置。末段毫無表現。
2021-04-28,跑馬地,7,11,10,銀亮戰士 (D509),班德禮,H/B1/TT,自最外檔出閘普通，其後不久受妨礙。一直居包尾位置，掙扎上前。
2021-04-28,跑馬地,7,12,11,首飾傳奇 (D032),黃皓楠,B,出閘時受擠迫，受催策，但瞬即墮至包尾數位之內。轉直路彎時走內疊以省腳程。最後一百五十米受催策，逐漸力竭。
2021-04-28,跑馬地,8,1,5,喜蓮慧星 (D460),莫雷拉,H/TT,居中間位置，走內欄。自二百五十米處起受催策，反應強勁。接近七十米處時取得領先。
2021-04-28,跑馬地,8,2,10,友港友笑 (D367),巴度,--,受催策，千二米處切入內欄領先，以平穩步速領放。以佳勢力拼，接近七十米處時被超越。
2021-04-28,跑馬地,8,3,11,快步速 (C427),蔡明紹,H,追趕領放馬，走內疊。自直路初起保持穩勢。最後二百米不敵前兩名對手，在電眼判決下保住季軍 。
2021-04-28,跑馬地,8,4,4,童話 (B238),田泰安,CP,早段未能加速，留居中間位置，走第二疊。直路初騎師的右腳滑出腳踏，因而失去平衡，其後騎師重新套回腳踏。最後二百米衝刺良佳，僅失去季軍。
2021-04-28,跑馬地,8,5,6,都靈紅星 (B092),馬雅,B/TT,追趕領先馬匹，走第三疊，沒有遮擋。一百五十米處前力拼。末段再無餘力。
2021-04-28,跑馬地,8,6,2,扎西德勒 (C084),彭國年,B,留居中間位置，走第三疊。五百米處受推策。入直路時保持同速，從未能威脅領先馬匹。
2021-04-28,跑馬地,8,7,3,精算齊同 (B102),潘頓,CP,自最外檔出閘，留居後列。半程時落後領放馬四至五個馬位。轉直路彎時受催策，略為交出反應。從未能展開挑戰。（騎師︰賽前決定自大外檔出閘後以留後的方式策騎坐騎。）
2021-04-28,跑馬地,8,8,9,緻寶駒 (D236),何澤堯,--,出閘後未受催策，收慢至馬群尾列。入直路時向外移出，衝刺僅屬普通。
2021-04-28,跑馬地,8,9,8,芙蓉莊 (B339),班德禮,B,居中間之後位置。早段賽事步速緩慢時搶口。直路彎受催策，但未能以勁勢衝刺。
2021-04-28,跑馬地,8,10,1,摯多福 (E205),薛恩,B,跟隨領放馬，走第二疊。四百五十米處受催策。跑過三百米處時墮退。
2021-04-28,跑馬地,8,11,7,摘星光輝 (E316),巫顯東,B1,居後列。跑過六百米處時掙扎以保持位置。轉直路彎時已洩氣潰敗。
2021-04-28,跑馬地,9,1,1,和氣生財 (D110),蔡明紹,--,出閘俐落，受催策上前，居第二位，走第二疊。直路彎落後一個馬位。二百米處取得領先。末段保持甚佳走勢，勝出賽事。
2021-04-28,跑馬地,9,2,2,辣臣 (D199),潘頓,CP/TT,出閘迅速，居領放馬之後，走內欄。直路彎走勢輕鬆。衝刺良佳，取得亞軍，但未能威脅頭馬。
2021-04-28,跑馬地,9,3,5,事事亨通 (D174),彭國年,H,出閘迅速，居中間稍前位置，走第二疊。接近五百米處時移入內欄。入直路時落後三個馬位。直路上追前甚多，取得一席季軍。
2021-04-28,跑馬地,9,4,4,智醒財星 (D421),莫雷拉,--,出閘普通，未能切入內疊，居中間位置，走第三疊。接近五百米處時走第二疊。入直路時走大外疊。末段略為追前。
2021-04-28,跑馬地,9,5,12,騰龍超影 (T372),波健士,B,自第一檔出閘迅速，居中間稍後位置，走內欄。直路彎走內欄節省腳程。直路上追前頗多。
2021-04-28,跑馬地,9,6,9,順意寶 (B164),班德禮,B/XB,出閘緩慢，居中間之後位置，走第二疊。直路彎位置相若。直路初略為追前。最後五十米處於窘境。
2021-04-28,跑馬地,9,7,10,銀河飛馬 (C275),賀銘年,B,自大外檔出閘，留居包尾位置，落後七個馬位。直路彎落後相同距離。直路上略為追前。
2021-04-28,跑馬地,9,8,8,輗多福 (E105),史卓豐,H-/XB/SR1/TT,出閘迅速，受催策上前領放。直路彎領先一個馬位。二百米處未能再增速及被超越，其後逐漸轉弱。（一對後腿動作異常。）
2021-04-28,跑馬地,9,9,11,富高八斗 (B473),黃皓楠,TT,起步時失蹄，居中間之前位置，走外疊。接近六百米處時走第二疊。直路彎落後約兩個馬位。直路初未能再增速。最後一百五十米轉弱。
2021-04-28,跑馬地,9,10,7,威星神駒 (E207),何澤堯,SR1,出閘笨拙，居後列，走第四疊。接近八百米處及五百米處時兩度與對手互相碰撞。入直路時走大外疊。直路上保持同速。（右前腿不良於行。）
2021-04-28,跑馬地,9,11,6,八卦 (C102),巫顯東,B,出閘普通，居後列，走大外疊。接近八百米處及五百米處時兩度與對手互相碰撞。沿途沒有遮擋。直路上毫無進展。
2021-04-28,跑馬地,9,12,3,張燈結綵 (E272),巴度,P1,出閘僅屬一般，居後列，走第三疊。八百米處與對手互相碰撞。五百米處勒避。入直路時落後七個馬位。直路上在催策下毫無反應。
