date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2024-02-04,沙田,1,1,5,閃耀威龍 (G427),1:10.00,1-3/4,3,23.53,3,4,22.85 11.13    11.72,1/2,1,23.62 11.57    12.05,,,,,,,,,
2024-02-04,沙田,1,2,3,洪運派彩 (G414),1:10.09,1-3/4,1,23.25,1-1/4,1,22.65 10.93    11.72,1/2,2,24.19 11.61    12.58,,,,,,,,,
2024-02-04,沙田,1,3,10,富存大師 (D371),1:10.21,5-1/4,9,24.09,5-1/2,9,22.69 10.97    11.72,1-1/4,3,23.43 11.45    11.98,,,,,,,,,
2024-02-04,沙田,1,4,4,日日獎 (H283),1:10.23,4,7,23.89,4,6,22.65 10.93    11.72,1-1/2,4,23.69 11.57    12.12,,,,,,,,,
2024-02-04,沙田,1,5,1,精明勇駿 (G031),1:10.54,1-3/4,2,23.53,1-1/4,2,22.57 10.97    11.60,3-1/4,5,24.44 11.81    12.63,,,,,,,,,
2024-02-04,沙田,1,6,7,神行百變 (H102),1:10.60,5-1/2,10,24.13,6-1/2,10,22.81 10.93    11.88,3-3/4,6,23.66 11.53    12.13,,,,,,,,,
2024-02-04,沙田,1,7,8,東風壹號 (G042),1:10.76,8-1/4,11,24.57,7-3/4,11,22.57 10.93    11.64,4-3/4,7,23.62 11.41    12.21,,,,,,,,,
2024-02-04,沙田,1,8,6,上浦精選 (G425),1:11.17,4,8,23.89,5,7,22.81 11.01    11.80,7-1/4,8,24.47 11.77    12.70,,,,,,,,,
2024-02-04,沙田,1,9,11,石師傅 (G175),1:11.24,3-3/4,6,23.85,5-1/4,8,22.89 11.01    11.88,7-3/4,9,24.50 11.81    12.69,,,,,,,,,
2024-02-04,沙田,1,10,9,順利取勝 (G403),1:11.62,1-3/4,4,23.53,1-3/4,3,22.65 10.89    11.76,10,10,25.44 12.09    13.35,,,,,,,,,
2024-02-04,沙田,1,11,2,飛躍精英 (H247),1:12.19,2,5,23.57,3-3/4,5,22.93 11.13    11.80,13-3/4,11,25.69 12.09    13.60,,,,,,,,,
2024-02-04,沙田,2,1,11,黑白 (H466),0:57.58,2-1/2,8,13.67,1-3/4,7,20.89 10.33    10.56,3/4,1,23.02 11.22    11.80,,,,,,,,,
2024-02-04,沙田,2,2,5,酷霸王 (H460),0:57.73,3-1/2,10,13.83,2-3/4,10,20.89 10.37    10.52,3/4,2,23.01 11.22    11.79,,,,,,,,,
2024-02-04,沙田,2,3,1,精彩勇士 (D387),0:57.73,1,2,13.43,1/2,2,20.93 10.25    10.68,3/4,3,23.37 11.38    11.99,,,,,,,,,
2024-02-04,沙田,2,4,3,健康快車 (H439),0:57.75,2,5,13.59,1-1/2,6,20.93 10.37    10.56,1,4,23.23 11.14    12.09,,,,,,,,,
2024-02-04,沙田,2,5,14,駿先生 (H180),0:57.77,2-1/4,6,13.63,2-1/4,8,21.01 10.37    10.64,1-1/4,5,23.13 11.26    11.87,,,,,,,,,
2024-02-04,沙田,2,6,7,小小吾駒 (H406),0:57.91,2-3/4,9,13.71,1-1/2,5,20.81 10.25    10.56,2,6,23.39 11.30    12.09,,,,,,,,,
2024-02-04,沙田,2,7,4,海豚星 (C332),0:58.06,1,1,13.27,1/2,1,21.01 10.29    10.72,3,7,23.78 11.42    12.36,,,,,,,,,
2024-02-04,沙田,2,8,12,江南盛 (H326),0:58.13,3-3/4,12,13.87,3-3/4,11,21.01 10.41    10.60,3-1/2,8,23.25 11.18    12.07,,,,,,,,,
2024-02-04,沙田,2,9,2,良駒好友 (H454),0:58.13,2-1/2,7,13.67,2-1/2,9,21.01 10.49    10.52,3-1/2,9,23.45 11.18    12.27,,,,,,,,,
2024-02-04,沙田,2,10,6,富裕君子 (H447),0:58.13,4,14,13.91,5-1/4,14,21.21 10.53    10.68,3-1/2,10,23.01 11.22    11.79,,,,,,,,,
2024-02-04,沙田,2,11,8,多多彩彩 (J147),0:58.41,3-3/4,13,13.87,4-1/4,12,21.09 10.45    10.64,5-1/4,11,23.45 11.22    12.23,,,,,,,,,
2024-02-04,沙田,2,12,13,八心之威 (D285),0:58.50,1,3,13.43,3/4,3,20.97 10.33    10.64,5-3/4,12,24.10 11.50    12.60,,,,,,,,,
2024-02-04,沙田,2,13,10,會展二號 (H371),0:59.09,1-1/4,4,13.47,1,4,20.97 10.29    10.68,9-1/2,13,24.65 11.62    13.03,,,,,,,,,
2024-02-04,沙田,2,14,9,包裝英明 (H421),0:59.21,3-1/2,11,13.83,5,13,21.25 10.49    10.76,10-1/4,14,24.13 11.50    12.63,,,,,,,,,
2024-02-04,沙田,3,1,5,明亮天下 (J170),1:09.16,5-1/4,9,24.67,3-3/4,6,21.88 10.92    10.96,1/2,1,22.61 10.90    11.71,,,,,,,,,
2024-02-04,沙田,3,2,3,競駿輝煌 (J195),1:09.24,3-1/2,6,24.39,2-1/4,5,21.92 10.92    11.00,1/2,2,22.93 10.98    11.95,,,,,,,,,
2024-02-04,沙田,3,3,2,非凡之星 (G396),1:09.40,2-1/2,4,24.23,2,4,22.04 10.96    11.08,1-1/2,3,23.13 11.14    11.99,,,,,,,,,
2024-02-04,沙田,3,4,1,我為您 (H036),1:09.43,1-1/4,1,23.83,1,1,22.12 11.04    11.08,1-3/4,4,23.48 11.30    12.18,,,,,,,,,
2024-02-04,沙田,3,5,8,東方飛影 (E467),1:09.44,3-3/4,7,24.43,4,7,22.16 11.04    11.12,1-3/4,5,22.85 11.02    11.83,,,,,,,,,
2024-02-04,沙田,3,6,10,綠色有料 (G334),1:09.73,5-1/2,10,24.71,5-1/2,10,22.12 11.00    11.12,3-1/2,6,22.90 10.86    12.04,,,,,,,,,
2024-02-04,沙田,3,7,7,多利彩駒 (J140),1:09.81,1-1/2,3,24.07,1,3,22.04 11.00    11.04,4,7,23.70 11.38    12.32,,,,,,,,,
2024-02-04,沙田,3,8,6,嘉應獎昇 (H287),1:09.82,1-1/4,2,24.03,1,2,22.08 11.00    11.08,4,8,23.71 11.30    12.41,,,,,,,,,
2024-02-04,沙田,3,9,4,你知我拼 (G343),1:09.89,4-1/2,8,24.55,4-3/4,9,22.16 10.92    11.24,4-1/2,9,23.18 11.14    12.04,,,,,,,,,
2024-02-04,沙田,3,10,9,嘉應威風 (H169),1:10.72,2-3/4,5,24.27,4-1/4,8,22.36 11.00    11.36,9-3/4,10,24.09 11.58    12.51,,,,,,,,,
2024-02-04,沙田,4,1,11,勝利神駒 (G401),1:22.89,1-1/4,3,13.64,1-1/4,1,22.26,1,1,23.59 12.19    11.40,3/4,1,23.40 11.24    12.16,,,,,,
2024-02-04,沙田,4,2,2,機緣醉夢 (J054),1:23.03,3,6,13.92,2-1/4,4,22.34,2-1/2,4,23.63 12.11    11.52,3/4,2,23.14 11.24    11.90,,,,,,
