horse_id,code,name,sire,dam,dam_sire,half_siblings,country_of_origin,import_type,source_url,scraped_at
horse_A001,A001,福穎 (A001) (已退役),Bel Esprit,Filly Of Choice,End Sweep,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A001,2026-09-01
horse_A002,A002,哈蝦巴爸 (A002) (已退役),Duke Of Marmalade,Countess Of Tiba,Second Empire,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A002,2026-09-01
horse_A003,A003,歌神 (A003) (已退役),Iffraaj,Singadablues,Danasinga,爆出美麗 威武年代 我做到,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A003,2026-09-01
horse_A004,A004,喜愛自由 (A004) (已退役),O'Reilly,Frockstar,Pins,,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A004,2026-09-01
horse_A005,A005,紅麗舍 (A005) (已退役),Champs Elysees,Red Boots,Verglas,,英國,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A005,2026-09-01
horse_A006,A006,快利 (A006) (已退役),Danerich,Metung Belle,Viscount,M145,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A006,2026-09-01
horse_A007,A007,八心之友 (A007) (已退役),Hard Spun,La Italia,Stravinsky,智勇名駒,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A007,2026-09-01
horse_A008,A008,運財童子 (A008) (已退役),Hinchinbrook,Kianben,Jan Murray,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A008,2026-09-01
horse_A009,A009,問鼎高峰 (A009) (已退役),Magnus,Gypsy Marauder,Marauding,人和家興 M022,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A009,2026-09-01
horse_A010,A010,智愛 (A010) (已退役),Manhattan Rain,Zipanese,Bellotto,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A010,2026-09-01
horse_A011,A011,笑春風 (A011) (已退役),O'Reilly,Classy Fashion,Fusaichi Pegasus,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A011,2026-09-01
horse_A012,A012,葵涌老友 (A012) (已退役),Racer's Edge,Shezgonewest,Mugharreb,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A012,2026-09-01
horse_A013,A013,海洋王 (A013) (已退役),Snippetson,Exselva,Exceed And Excel,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A013,2026-09-01
horse_A014,A014,仗義執言 (A014) (已退役),So You Think,Dariana,Redoute's Choice,鑽飾閃耀 嘉應勇將 信心星 嘉嘉友福 友贏威馳,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A014,2026-09-01
horse_A015,A015,賀馳 (A015) (已退役),Turffontein,Allapattah,Umatilla,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A015,2026-09-01
horse_A017,A017,咪走寶 (A017) (已退役),Wanted,Paralegal,O'Reilly,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A017,2026-09-01
horse_A018,A018,電訊太神 (A018) (已退役),Written Tycoon,Sun 'N' Soda,Desert Sun,疾風財子 合夥智能 騰昇瀧駒 君子愛才 輝灑自如 昭易搵 金鼓大班 運來煌星 寶進 牽旺富星 領創優勢 御鼎臻皇 M038 M072 M104 M141 榛榛日上 紅衣財神 正本良心 威利金箭 昇瀧駒 輝煌猛將 巴閉王 好友心得 騰達勇士 財將 知道穩勝 環球英雄,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A018,2026-09-01
horse_A019,A019,香港之星 (A019) (已退役),Heart's Cry,Crime,Gulch,,日本,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A019,2026-09-01
horse_A020,A020,超群心聲 (A020) (已退役),Kane Hekili,Eureka Chan,Gold Allure,,日本,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A020,2026-09-01
horse_A021,A021,幸運美金 (A021) (已退役),All American,Lodore Falls,Redoute's Choice,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A021,2026-09-01
horse_A022,A022,最驫 (A022) (已退役),Blackfriars,Line Of Flight,Bletchley Park,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A022,2026-09-01
horse_A023,A023,喝采 (A023) (已退役),Lope de Vega,Isola Di Capri,Galileo,悠悠乾坤,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A023,2026-09-01
horse_A024,A024,勝利導航 (A024) (已退役),Sebring,Morning Dews,Peintre Celebre,美麗同享 桃花多 巴閉仔,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A024,2026-09-01
horse_A025,A025,勝得威 (A025) (已退役),Starcraft,Sunday Service,Sunday Silence,一起美麗 朗日自強,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A025,2026-09-01
horse_A026,A026,好富有 (A026) (已退役),Bel Esprit,Swinging Feeling,Danasinga,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A026,2026-09-01
horse_A027,A027,自動波 (A027) (已退役),Darci Brahma,Boogie Nights,Galileo,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A027,2026-09-01
horse_A029,A029,赤兔 (A029) (已退役),Duke Of Marmalade,Super Assassin,Galileo,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A029,2026-09-01
horse_A030,A030,勇闖者 (A030) (已退役),Fastnet Rock,Black Mamba,Black Minnaloushe,星價 馬達 駟跑得 威利澳爸,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A030,2026-09-01
horse_A031,A031,洪荒駿駒 (A031) (已退役),Foxwedge,Sunday Service,Sunday Silence,型到爆 利高八斗 M108,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A031,2026-09-01
horse_A033,A033,友情永在 (A033) (已退役),Strategic,Countess Creed,Viscount,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A033,2026-09-01
horse_A034,A034,馬化龍 (A034) (已退役),Tycoon Ruler,Akordat,Danasinga,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A034,2026-09-01
horse_A036,A036,烽煙四喜 (A036) (已退役),All American,Jarada,Redoute's Choice,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A036,2026-09-01
horse_A037,A037,大輝寶 (A037) (已退役),Darci Brahma,Shi Kin Fly,Shinko King,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A037,2026-09-01
horse_A038,A038,好靚女 (A038) (已退役),Exceed And Excel,Heptonstall,Octagonal,福星小子 電子紅心 得道猴王 安康萬里 假面勇士 勇闖高峰 籐王駒 同喜 源好運 正本唐心 表廠傳奇,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A038,2026-09-01
horse_A039,A039,紅衣優駿 (A039) (已退役),Per Incanto,Viking Angel,Viking Ruler,有財有勢 友瑩仁 笑看風雲 步步高 獎星 開心旺財 冷娃 咕嚕快跑 添開心 頌星 L535 L565 精益大將 嫡愛心動 M016 仁仁有餘 魅力飛昇 包裝傳奇 葳莉非凡 心雄雄 精算暴雪 彩虹七色 帝豪先鋒 文武全能 大浪園田,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A039,2026-09-01
horse_A040,A040,翡翠劇院 (A040) (已退役),Pluck,Miguelita,Danehill,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A040,2026-09-01
horse_A041,A041,綫路勇駒 (A041) (已退役),Shocking,Zaquabeel,Zabeel,包裝福星 震撼人心,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A041,2026-09-01
horse_A042,A042,瑞士雄心 (A042) (已退役),Swiss Ace,Poetic Music,Stravinsky,繼往開來 皇龍飛將 五福星 哈羅威 L495 神異金剛 勁先生 新力,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A042,2026-09-01
horse_A044,A044,喜悅明駒 (A044) (已退役),Casino Prince,Miraflores,Johar,金錢遊戲,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A044,2026-09-01
horse_A045,A045,幸運時代 (A045) (已退役),Castledale,Gulfstream,Yachtie,M091,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A045,2026-09-01
horse_A046,A046,錢途再現 (A046) (已退役),Darci Brahma,Casual Chick,Casual Lies,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A046,2026-09-01
horse_A047,A047,貝奇利 (A047) (已退役),Darci Brahma,Fairy Lights,Fairy King,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A047,2026-09-01
horse_A048,A048,善影 (A048) (已退役),Darci Brahma,Miraflores,Johar,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A048,2026-09-01
horse_A049,A049,紅旗星將 (A049) (已退役),Denman,Tell Someone,O'Reilly,常嚐發財,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A049,2026-09-01
horse_A050,A050,帝豪寶寶 (A050) (已退役),Denman,Tsukioka,Flying Spur,常嚐發財,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A050,2026-09-01
horse_A051,A051,首映 (A051) (已退役),Dylan Thomas,More Than Sum,More Than Ready,,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A051,2026-09-01
horse_A052,A052,你知我意 (A052) (已退役),Exceed And Excel,Dyna Slam,Grand Slam,福星小子 電子紅心 得道猴王 安康萬里 假面勇士 勇闖高峰 籐王駒 同喜 源好運 正本唐心 表廠傳奇,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A052,2026-09-01
horse_A053,A053,勁快步 (A053) (已退役),Iffraaj,Charangas,Flying Spur,爆出美麗 威武年代 我做到,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A053,2026-09-01
horse_A054,A054,水源充足 (A054) (已退役),Manhattan Rain,Alexandrova,Snitzel,,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A054,2026-09-01
horse_A055,A055,萬里威揚 (A055) (已退役),Mastercraftsman,Just A Dream,Volksraad,,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A055,2026-09-01
horse_A056,A056,飛鶯 (A056) (已取消登記),Nadeem,Loose Lill,Towkay,,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A056,2026-09-01
horse_A057,A057,陽明秋秋 (A057) (已退役),Per Incanto,Vital Choice,Stratum,有財有勢 友瑩仁 笑看風雲 步步高 獎星 開心旺財 冷娃 咕嚕快跑 添開心 頌星 L535 L565 精益大將 嫡愛心動 M016 仁仁有餘 魅力飛昇 包裝傳奇 葳莉非凡 心雄雄 精算暴雪 彩虹七色 帝豪先鋒 文武全能 大浪園田,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A057,2026-09-01
horse_A059,A059,帝聖寶貝 (A059) (已退役),Rios,Bella Boyd,Star Way,,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A059,2026-09-01
horse_A061,A061,大籐王 (A061) (已退役),Savabeel,Grand Princess,Last Tycoon,鬥志波 駿夢飛凡 小飛俠 快樂飛飛 紫電青霜 將傲 架勢奇爸 M066 帥帥友福 齊歡最樂 勁好運 高才,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A061,2026-09-01
horse_A062,A062,響噹噹 (A062) (已退役),Swiss Ace,Beaver Cove,Mossman,繼往開來 皇龍飛將 五福星 哈羅威 L495 神異金剛 勁先生 新力,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A062,2026-09-01
horse_A063,A063,教主 (A063) (已退役),Thorn Park,Driving Rein,Volksraad,,紐西蘭,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A063,2026-09-01
horse_A064,A064,叫關健康 (A064) (已退役),Written Tycoon,Schapelle,Lion Hunter,疾風財子 合夥智能 騰昇瀧駒 君子愛才 輝灑自如 昭易搵 金鼓大班 運來煌星 寶進 牽旺富星 領創優勢 御鼎臻皇 M038 M072 M104 榛榛日上 紅衣財神 正本良心 威利金箭 昇瀧駒 輝煌猛將 巴閉王 好友心得 騰達勇士 財將 知道穩勝 環球英雄,澳洲,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A064,2026-09-01
horse_A065,A065,力王 (A065) (已退役),American Post,Noozhah,Singspiel,,西班牙,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A065,2026-09-01
horse_A066,A066,馬克羅斯 (A066) (已退役),Archipenko,Here To Eternity,Stormy Atlantic,,英國,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A066,2026-09-01
horse_A067,A067,金剛之星 (A067) (已取消登記),Makfi,High Cross,Cape Cross,,英國,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A067,2026-09-01
horse_A068,A068,得德仔 (A068) (已退役),Distorted Humor,Argyle Pink,Sky Mesa,,美國,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A068,2026-09-01
horse_A069,A069,最佳禮物 (A069) (已退役),Iffraaj,Classic Vision,Classic Cliche,爆出美麗 威武年代 我做到,英國,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A069,2026-09-01
horse_A070,A070,電訊朝陽 (A070) (已退役),Sayif,Ellway Queen,Bahri,,英國,自購新馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A070,2026-09-01
horse_A071,A071,勤德兼備 (A071) (已退役),Alamosa,Enchant,Pentire,,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A071,2026-09-01
horse_A072,A072,晚風 (A072) (已退役),Darci Brahma,Anca,Howbaddouwantit,領航多財 升升雙息 同有運 馬馳登 包裝天王 金滙千帥 勁速威龍 極速滿貫 遨遊波士,紐西蘭,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A072,2026-09-01
horse_A073,A073,成竹在胸 (A073) (已退役),Domesday,Warm Smytzer,Zabeel,,澳洲,自購馬,https://racing.hkjc.com/racing/information/Chinese/Horse/Horse.aspx?HorseNo=A073,2026-09-01
