horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
A148,380,DNF,30/01/2022,沙田全天候,,,1200,好,3,1,61,鄭俊偉,楊明綸,---,23,118,5 12,--,1184,XB/TT
A148,297,06,29/12/2021,沙田全天候,,,1200,好,3,9,61,鄭俊偉,楊明綸,1-1/2,25,113,12 9 6,1.08.43,1182,XB/TT
A148,266,08,18/12/2021,沙田全天候,,,1200,好,3,2,63,鄭俊偉,賀銘年,5-1/4,11,118,10 11 8,1.09.55,1173,XB/TT
A148,220,03,01/12/2021,跑馬地,草地,A,1000,好,3,10,64,鄭俊偉,賀銘年,2-1/2,67,119,8 7 3,0.57.52,1177,XB/TT
A148,130,08,27/10/2021,沙田全天候,,,1200,好,3,6,66,鄭俊偉,馬雅,6,11,123,9 9 8,1.10.37,1183,XB/TT
A148,056,07,26/09/2021,沙田全天候,,,1200,好,3,9,68,鄭俊偉,彭國年,3,10,124,10 11 7,1.09.93,1178,XB/TT
A148,024,03,12/09/2021,沙田全天候,,,1200,好,3,7,68,鄭俊偉,彭國年,3-1/2,12,125,10 10 3,1.08.83,1184,XB/TT
A148,804,03,04/07/2021,沙田全天候,,,1200,好,3,12,70,鄭俊偉,彭國年,3/4,10,119,8 5 3,1.08.81,1193,XB/TT
A148,755,03,13/06/2021,沙田全天候,,,1200,濕慢,3,9,71,鄭俊偉,彭國年,2-1/4,11,125,9 7 3,1.10.16,1182,XB/TT
A148,727,09,02/06/2021,跑馬地,草地,A,1650,好,3,7,73,鄭俊偉,楊明綸,6,81,130,9 9 8 9,1.41.06,1184,XB/TT
A148,687,06,19/05/2021,跑馬地,草地,B,1200,好/快,3,7,75,鄭俊偉,楊明綸,5-1/4,78,131,11 11 6,1.10.47,1194,XB/TT
A148,599,07,17/04/2021,沙田全天候,,,1200,好,3,5,77,鄭俊偉,賀銘年,3-3/4,12,133,9 9 7,1.09.72,1201,XB/TT
A148,514,09,17/03/2021,跑馬地,草地,C,1000,好/快,3,10,79,鄭俊偉,郭能,5-1/4,63,132,11 10 9,0.57.09,1191,XB/TT
A148,446,03,21/02/2021,沙田全天候,,,1200,好,3,1,79,鄭俊偉,周俊樂,1-1/2,8.3,125,11 8 3,1.08.28,1171,XB/TT
A148,398,07,03/02/2021,跑馬地,草地,A,1000,好,2,10,81,鄭俊偉,楊明綸,3-1/2,66,115,10 10 7,0.57.11,1180,XB/TT
A148,353,07,17/01/2021,沙田,草地,A,1000,好,2,11,83,鄭俊偉,賀銘年,6-1/4,41,120,8 8 7,0.57.73,1194,XB/TT
A148,294,08,23/12/2020,跑馬地,草地,C+3,1200,好/快,2,8,85,鄭俊偉,賀銘年,4,51,120,10 10 8,1.09.43,1198,XB/TT
A148,248,05,06/12/2020,沙田全天候,,,1200,好,2,12,86,鄭俊偉,賀銘年,4,33,123,12 12 5,1.08.92,1184,XB/TT
A148,219,03,25/11/2020,跑馬地,草地,C+3,1000,好,2,5,86,鄭俊偉,楊明綸,2,101,124,10 10 3,0.56.84,1190,XB/TT
A148,118,06,18/10/2020,沙田全天候,,,1200,好,2,8,86,鄭俊偉,楊明綸,3-1/4,24,120,11 11 6,1.08.92,1183,XB/TT
A148,054,08,23/09/2020,跑馬地,草地,C+3,1200,好/快,2,6,86,鄭俊偉,賀銘年,6,59,119,10 9 8,1.09.58,1184,XB/TT
A148,747,01,14/06/2020,沙田全天候,,,1200,濕慢,3,4,78,鄭俊偉,周俊樂,2-1/2,11,122,7 6 1,1.08.00,1187,XB/TT
A148,697,04,27/05/2020,沙田全天候,,,1200,好,3,4,78,鄭俊偉,賀銘年,1-3/4,9.8,133,10 9 4,1.08.87,1180,XB/TT
A148,590,01,19/04/2020,沙田全天候,,,1200,好,3,8,73,鄭俊偉,賀銘年,1/2,31,126,9 10 1,1.08.87,1177,XB/TT
A148,542,07,01/04/2020,沙田全天候,,,1200,濕慢,3,12,75,鄭俊偉,郭能,8-3/4,13,132,6 7 7,1.09.93,1187,XB/TT
A148,478,10,08/03/2020,沙田全天候,,,1200,好,3,6,75,鄭俊偉,莫雷拉,11,5.8,129,10 12 10,1.10.78,1179,XB/TT
A148,404,03,08/02/2020,沙田全天候,,,1200,好,3,8,74,鄭俊偉,莫雷拉,3/4,4.1,128,10 10 3,1.09.33,1184,XB/TT
A148,310,02,05/01/2020,沙田全天候,,,1200,好,3,4,72,鄭俊偉,利敬國,1-1/4,13,121,10 8 2,1.09.27,1171,XB/TT
A148,252,02,15/12/2019,沙田全天候,,,1200,好,3,12,70,鄭俊偉,潘頓,1/2,6.4,123,8 7 2,1.09.16,1181,XB/TT
A148,196,02,23/11/2019,沙田全天候,,,1200,好,3,1,70,鄭俊偉,楊明綸,2-1/4,5.4,126,6 6 2,1.09.37,1191,XB/TT
A148,132,04,27/10/2019,沙田全天候,,,1200,好,3,7,69,鄭俊偉,貝力斯,3/4,13,122,10 10 4,1.09.29,1178,XB/TT
A148,086,07,09/10/2019,跑馬地,草地,B,1000,好,3,11,70,鄭俊偉,貝力斯,3-1/2,20,124,12 12 7,0.57.64,1182,XB/TT
A148,055,05,25/09/2019,跑馬地,草地,A,1200,好/快,3,7,70,鄭俊偉,貝力斯,1-3/4,32,125,9 8 5,1.10.39,1196,XB/TT
A148,019,06,08/09/2019,沙田全天候,,,1200,好,3,7,70,鄭俊偉,楊明綸,5-3/4,10,121,8 8 6,1.09.01,1185,XB/TT
A148,790,02,07/07/2019,沙田全天候,,,1200,好,3,9,69,鄭俊偉,楊明綸,2,8,122,8 7 2,1.09.62,1191,XB/TT
A148,737,01,12/06/2019,沙田全天候,,,1200,濕慢,3,8,64,鄭俊偉,楊明綸,1/2,22,117,10 11 1,1.09.24,1174,XB/TT
A148,664,06,15/05/2019,跑馬地,草地,A,1200,好,3,11,66,鄭俊偉,貝力斯,3,30,119,11 11 6,1.10.69,1178,XB/TT
A148,610,07,24/04/2019,跑馬地,草地,C,1000,好,3,8,68,鄭俊偉,貝力斯,3-1/4,25,121,12 12 7,0.57.21,1166,XB/TT
A148,569,04,10/04/2019,跑馬地,草地,A,1000,好,3,8,69,鄭俊偉,夏禮賢,1-3/4,45,122,9 8 4,0.57.21,1202,XB/TT
A148,363,08,23/01/2019,跑馬地,草地,C,1200,好,3,4,71,鄭俊偉,麥偉利,5-1/4,21,125,7 8 8,1.10.37,1186,XB/TT
A148,325,07,09/01/2019,跑馬地,草地,A,1000,好,3,11,73,鄭俊偉,田泰安,3-1/2,17,128,8 8 7,0.57.89,1199,XB1/TT
A148,252,06,12/12/2018,跑馬地,草地,C,1000,好,3,3,75,鄭俊偉,田泰安,2-3/4,12,128,7 7 6,0.57.82,1189,P-/TT
A148,171,06,10/11/2018,沙田全天候,,,1200,好,3,10,77,鄭俊偉,郭能,2-3/4,46,132,11 9 6,1.09.57,1197,P1/TT
A148,134,11,28/10/2018,跑馬地,草地,A,1000,好,3,9,79,鄭俊偉,利敬國,7-1/4,8.8,133,9 10 11,0.58.95,1191,TT
A148,106,06,18/10/2018,跑馬地,草地,C,1000,好,3,3,79,鄭俊偉,郭能,2-3/4,12,133,9 9 6,0.57.72,1216,TT
A148,527,10,25/03/2018,沙田,草地,A+3,1000,好,3,13,79,方嘉柏,羅理雅,7-1/4,6.6,132,5 5 10,0.57.36,1185,TT
A148,233,09,29/11/2017,跑馬地,草地,A,1200,好,3,9,79,方嘉柏,羅理雅,7-1/4,2.4,133,5 6 9,1.11.15,1185,TT
A148,151,01,29/10/2017,跑馬地,草地,A,1000,好/快,3,5,72,方嘉柏,羅理雅,1-1/4,9.3,125,11 11 1,0.56.95,1179,TT
A148,135,09,22/10/2017,沙田,草地,A,1200,好/快,3,7,72,方嘉柏,杜利萊,4-1/2,12,125,7 7 9,1.09.69,1183,TT1
