horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B218,270,08,19/12/2018,沙田全天候,,,1800,好,3,1,74,方嘉柏,何澤堯,5,4.4,128,7 6 6 7 8,1.48.68,1240,--
B218,253,06,12/12/2018,跑馬地,草地,C,1650,好,3,8,74,方嘉柏,潘頓,2-1/2,4.5,128,5 5 6 6,1.40.73,1247,--
B218,066,WV,03/10/2018,跑馬地,草地,A,1800,好,3,--,74,方嘉柏,潘頓,--,--,129,--,--,--,--
B218,017,01,05/09/2018,跑馬地,草地,B,1650,好/快,3,8,65,方嘉柏,潘頓,1-3/4,2,120,5 6 6 1,1.40.37,1241,--
B218,793,09,11/07/2018,跑馬地,草地,A,1800,好/快,3,3,66,方嘉柏,潘頓,8-3/4,3.2,123,5 7 7 6 9,1.50.76,1235,--
B218,729,02,13/06/2018,跑馬地,草地,B,1650,好,3,12,64,方嘉柏,田泰安,1,17,117,12 12 8 2,1.40.04,1243,--
B218,682,05,27/05/2018,沙田,草地,A,1800,好/快,3,2,65,方嘉柏,潘頓,5-1/2,4.4,119,6 6 6 5 5,1.48.38,1225,--
B218,657,04,16/05/2018,跑馬地,草地,B,1650,好/快,3,10,65,方嘉柏,楊明綸,1-1/2,30,116,10 10 10 4,1.40.23,1234,--
B218,605,06,29/04/2018,沙田,草地,A,1600,好,3,4,67,方嘉柏,韋達,6-1/4,67,121,6 7 8 6,1.35.63,1245,--
B218,547,08,02/04/2018,沙田,草地,B+2,1400,好,3,3,69,方嘉柏,杜利萊,6-3/4,71,122,7 8 8 8,1.22.71,1242,--
B218,529,08,25/03/2018,沙田,草地,A+3,1400,好,3,14,71,方嘉柏,韋達,5,383,124,12 13 13 8,1.22.33,1254,--
B218,451,12,25/02/2018,沙田,草地,B,1200,好,3,3,71,方嘉柏,杜利萊,10-1/2,222,128,14 14 12,1.11.26,1252,--
