horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C154,434,12,17/02/2021,跑馬地,草地,C,1000,好,5,5,7,鄭俊偉,巫顯東,6-1/4,92,110,12 12 12,0.58.54,1047,H/XB/B2
C154,327,14,10/01/2021,沙田,草地,C,1400,好,5,1,10,鄭俊偉,巫顯東,10-1/4,56,110,2 3 4 14,1.24.70,1060,H/XB
C154,240,06,06/12/2020,沙田全天候,,,1200,好,5,5,10,鄭俊偉,黎海榮,7-1/4,14,113,7 6 6,1.10.46,1063,B-/XB/H2
C154,139,09,28/10/2020,跑馬地,草地,C+3,1000,好,5,6,13,鄭俊偉,巫顯東,7-3/4,49,110,7 8 9,0.58.12,1073,H-/XB/B2
C154,103,09,14/10/2020,跑馬地,草地,B,1200,好,5,1,16,鄭俊偉,巫顯東,6-3/4,13,110,1 1 9,1.11.58,1066,H/XB
C154,022,09,13/09/2020,沙田,草地,A+3,1400,好,5,5,18,鄭俊偉,巫顯東,5-1/4,171,110,1 1 1 9,1.23.18,1059,H/XB
C154,002,10,06/09/2020,沙田,草地,A,1200,好,5,10,20,鄭俊偉,巫顯東,6-3/4,130,111,8 8 10,1.10.83,1061,B-/H/XB2
C154,519,12,25/03/2020,跑馬地,草地,A,1650,好,5,1,29,鄭俊偉,黃皓楠,19-3/4,69,119,1 2 5 12,1.43.44,1046,B1/H2
C154,427,11,19/02/2020,沙田全天候,,,1200,好,5,8,33,鄭俊偉,楊明綸,7-1/4,56,126,6 6 11,1.10.81,1046,H-/XB-
C154,361,14,27/01/2020,沙田,草地,B+2,1200,好,5,1,37,鄭俊偉,黃皓楠,8-1/2,166,127,3 4 14,1.11.10,1047,H/XB
C154,246,11,15/12/2019,沙田,草地,C+3,1000,好,4,8,42,鄭俊偉,黃皓楠,11-1/4,132,114,8 11 11,0.58.19,1047,H/XB
C154,238,09,11/12/2019,跑馬地,草地,C,1200,好,4,12,42,鄭俊偉,蔡明紹,5-1/4,188,116,5 5 9,1.10.64,1059,H/XB
C154,160,10,09/11/2019,沙田,草地,A,1200,好,4R,8,46,鄭俊偉,黃皓楠,10-1/4,134,115,6 6 10,1.10.49,1062,H/XB
C154,106,12,20/10/2019,沙田,草地,A,1200,好/快,4,10,50,鄭俊偉,郭能,15-1/2,285,123,9 12 12,1.10.92,1062,H/XB2
C154,040,13,21/09/2019,沙田,草地,A,1000,好/快,4,3,53,鄭俊偉,楊明綸,10-1/4,208,125,14 14 13,0.58.45,1081,H/TT-
C154,787,09,07/07/2019,沙田,草地,C,1200,好,GRIFFIN,3,--,鄭俊偉,郭能,11-3/4,53,129,4 7 9,1.11.38,1058,H/TT
C154,740,04,16/06/2019,沙田,草地,C+3,1000,好,GRIFFIN,3,--,鄭俊偉,郭能,6-1/4,51,129,6 5 4,0.57.74,1050,XB-/H/TT
C154,684,07,26/05/2019,沙田,草地,A,1200,好,GRIFFIN,9,--,鄭俊偉,郭能,17,46,129,4 6 7,1.12.82,1052,H/XB/TT
C154,629,04,05/05/2019,沙田,草地,B,1000,好,GRIFFIN,8,--,鄭俊偉,郭能,7,70,129,5 5 4,0.57.76,1056,H1/XB1/TT1
