horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
D148,817,09,13/07/2022,跑馬地,草地,B,1000,好/快,5,4,39,何良,周俊樂,2-3/4,11,130,4 5 9,0.57.30,1178,V
D148,766,10,22/06/2022,跑馬地,草地,B,1200,好,4,3,40,何良,巫顯東,7-1/4,35,111,1 2 10,1.11.57,1169,V
D148,718,09,01/06/2022,跑馬地,草地,C+3,1000,好/快,4,8,40,何良,巫顯東,7-1/4,37,112,6 7 9,0.57.94,1159,V
D148,448,11,23/02/2022,跑馬地,草地,C+3,1000,好,4,2,40,何良,巫顯東,4-3/4,14,114,1 2 11,0.58.12,1158,V
D148,225,01,05/12/2021,沙田全天候,,,1200,好,5,3,34,何良,巫顯東,2,37,125,1 1 1,1.08.98,1130,B-/V2
D148,084,08,10/10/2021,沙田全天候,,,1200,濕慢,5,10,34,何良,田泰安,7,9.8,128,2 3 8,1.11.38,1153,B
D148,011,02,08/09/2021,跑馬地,草地,B,1000,好/快,5,12,33,何良,田泰安,2,7.1,123,2 2 2,0.56.82,1152,B
D148,828,02,14/07/2021,跑馬地,草地,B,1000,好/快,5,11,31,何良,田泰安,頸位,7.5,127,4 3 2,0.57.01,1140,B
D148,719,02,02/06/2021,跑馬地,草地,A,1000,好,5,3,31,何良,田泰安,2-1/4,6.2,124,4 6 2,0.57.45,1124,V-/B1
D148,670,09,16/05/2021,沙田全天候,,,1200,好,5,4,33,何良,賀銘年,7-3/4,20,127,5 5 9,1.11.08,1135,V
D148,479,12,07/03/2021,沙田全天候,,,1200,濕慢,5,2,34,何良,周俊樂,14-1/4,9.3,120,3 2 12,1.11.08,1122,V
D148,328,05,10/01/2021,沙田全天候,,,1200,好,5,10,34,何良,田泰安,2-1/2,28,127,3 4 5,1.09.99,1137,V
D148,233,06,02/12/2020,跑馬地,草地,A,1000,好,5,5,34,何良,田泰安,1-3/4,5.4,127,6 8 6,0.58.36,1131,V
D148,176,01,11/11/2020,跑馬地,草地,B,1000,好,5,9,29,何良,田泰安,鼻位,7.2,122,5 3 1,0.57.76,1120,V
D148,139,04,28/10/2020,跑馬地,草地,C+3,1000,好,5,8,31,何良,周俊樂,5-1/2,7,114,3 3 4,0.57.76,1122,V
D148,085,05,07/10/2020,跑馬地,草地,A,1000,好,5,4,33,何良,楊明綸,3-1/2,8.6,129,7 6 5,0.57.92,1119,V
D148,031,06,16/09/2020,跑馬地,草地,C,1200,好/快,5,5,33,何良,薛恩,2-1/2,8.1,127,5 5 6,1.10.72,1120,V
D148,821,02,15/07/2020,跑馬地,草地,B,1000,好/快,5,5,33,何良,薛恩,頸位,11,127,6 6 2,0.57.33,1118,V
D148,651,12,13/05/2020,跑馬地,草地,C,1200,好,5,11,37,何良,巫顯東,15,19,127,2 3 12,1.12.87,1116,V1
D148,537,11,01/04/2020,沙田全天候,,,1200,濕慢,5,9,40,何良,梁家俊,8-1/2,17,133,2 3 11,1.11.41,1107,H-
D148,454,07,01/03/2020,沙田,草地,B+2,1000,好,4,3,42,何良,楊明綸,4,205,117,13 11 7,0.56.94,1112,H
D148,431,11,19/02/2020,沙田全天候,,,1650,好,4,10,45,何良,楊明綸,17-1/2,193,118,3 3 3 11,1.41.75,1103,H
D148,402,11,08/02/2020,沙田,草地,C+3,1400,好,4,10,48,何良,希威森,9-1/4,176,122,13 14 14 11,1.23.53,1119,H1
D148,356,10,22/01/2020,跑馬地,草地,A,1000,好,4,3,50,何良,蘇狄雄,6-3/4,282,124,4 4 10,0.58.33,1109,--
D148,317,10,08/01/2020,跑馬地,草地,C,1200,好,4,5,52,何良,蘇狄雄,7-3/4,310,123,4 3 10,1.11.46,1118,--
D148,257,10,18/12/2019,跑馬地,草地,C+3,1000,好/快,4,1,52,何良,蘇狄雄,4-3/4,72,123,7 8 10,0.57.87,1128,--
