horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
E368,398,11,05/02/2025,跑馬地,草地,A,1650,好,5,10,39,蘇偉賢,董明朗,6-1/4,45,134,12 12 11 11,1.41.71,1050,TT
E368,217,09,27/11/2024,跑馬地,草地,C+3,1200,好,4,11,41,蘇偉賢,希威森,5-1/2,59,116,11 11 9,1.10.93,1040,TT
E368,144,11,30/10/2024,跑馬地,草地,C+3,1200,好,4,8,43,蘇偉賢,董明朗,6,42,119,12 12 11,1.11.42,1022,B-/TT
E368,796,06,04/07/2024,跑馬地,草地,A,1200,好,4,8,48,沈集成,陳嘉熙,4-3/4,24,120,9 9 6,1.10.60,1034,B/TT
E368,651,07,08/05/2024,跑馬地,草地,B,1200,好,4,7,50,沈集成,董明朗,3-3/4,11,126,6 7 7,1.12.05,1013,B/TT1
E368,480,05,06/03/2024,跑馬地,草地,B,1200,好,4,4,52,呂健威,董明朗,3-1/2,12,127,7 6 5,1.11.02,1026,B1
E368,403,07,07/02/2024,跑馬地,草地,B,1200,好,4,1,54,呂健威,董明朗,2-1/4,4.3,132,6 7 7,1.11.25,1036,--
E368,294,07,29/12/2023,跑馬地,草地,C+3,1200,好,4,7,56,呂健威,希威森,2-1/2,8.7,131,11 12 7,1.10.99,1032,--
E368,228,05,06/12/2023,跑馬地,草地,A,1200,好,4,1,58,呂健威,何澤堯,2,5.9,133,7 7 5,1.10.64,1044,--
E368,176,07,19/11/2023,沙田,草地,B+2,1200,好,4,6,58,呂健威,希威森,3-3/4,25,133,11 9 7,1.09.85,1043,--
E368,124,02,29/10/2023,跑馬地,草地,C,1200,好,4,12,58,呂健威,希威森,3-3/4,22,133,12 10 2,1.10.32,1033,H-
E368,079,08,11/10/2023,跑馬地,草地,A,1200,好,4,9,60,呂健威,希威森,3-1/2,25,135,11 11 8,1.10.75,1028,H
E368,017,10,13/09/2023,跑馬地,草地,A,1000,好,3,11,61,呂健威,潘明輝,5,80,114,11 11 10,0.57.80,1053,H
E368,825,09,12/07/2023,跑馬地,草地,B,1000,好/快,3,5,65,呂健威,何澤堯,5-1/4,14,120,6 7 9,0.57.67,1023,H
E368,739,08,10/06/2023,沙田,草地,C,1200,大爛,3,9,67,呂健威,潘頓,2,19,124,12 10 8,1.11.01,1030,H
E368,709,07,31/05/2023,跑馬地,草地,C+3,1200,好/快,3,4,67,呂健威,潘頓,2-3/4,3,122,5 6 7,1.09.80,1034,H
E368,632,02,03/05/2023,跑馬地,草地,A,1200,好,3,12,65,呂健威,何澤堯,頸位,19,122,12 12 2,1.10.00,1034,H
E368,572,05,12/04/2023,跑馬地,草地,B,1650,好,3,4,66,呂健威,何澤堯,2-1/4,10,123,5 5 6 5,1.40.21,1032,H
E368,499,04,15/03/2023,跑馬地,草地,C,1200,好,3,5,67,呂健威,賀銘年,1-3/4,32,122,4 4 4,1.09.98,1009,H
E368,390,11,05/02/2023,沙田,草地,B+2,1000,好,3,3,69,呂健威,黃皓楠,6-1/4,53,121,3 7 11,0.57.83,1056,H
E368,320,06,08/01/2023,沙田,草地,C+3,1200,好,3,5,71,呂健威,楊明綸,3-3/4,153,130,11 9 6,1.10.02,1058,H
E368,257,11,18/12/2022,沙田,草地,C+3,1200,好,3,10,73,呂健威,楊明綸,4,138,132,11 12 11,1.10.10,1055,H
E368,167,11,12/11/2022,沙田,草地,A+3,1200,好/快,3,12,75,呂健威,何澤堯,9-1/2,70,135,9 10 11,1.10.27,1033,H
E368,128,05,26/10/2022,沙田全天候,,,1200,好,3,6,76,呂健威,楊明綸,3-1/4,62,134,3 3 5,1.08.99,1015,H
E368,065,06,05/10/2022,跑馬地,草地,C+3,1000,好/快,3,3,76,呂健威,何澤堯,2,5.7,130,4 5 6,0.56.67,1030,CP-/H
E368,787,05,28/06/2022,跑馬地,草地,C,1000,好/快,3,7,76,呂健威,陳嘉熙,3-3/4,44,126,7 7 5,0.57.30,1026,CP/H
E368,701,04,25/05/2022,跑馬地,草地,C,1000,好,3,1,76,呂健威,潘頓,2-1/2,4.1,129,4 3 4,0.57.01,1006,CP/H
