horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
G067,824,08,14/07/2024,沙田,草地,A,1800,好,4,12,50,黎昭昇,梁家俊,7,34,126,11 12 12 11 8,1.49.86,1089,CP1/TT
G067,724,10,05/06/2024,跑馬地,草地,A,2200,好/黏,4,3,52,黎昭昇,希威森,12-1/4,9.5,127,10 10 10 9 7 10,2.20.42,1091,TT
G067,617,09,28/04/2024,沙田,草地,A,2000,黏,4,2,52,黎昭昇,潘頓,8-1/4,4.7,129,7 7 7 6 9,2.04.74,1090,TT
G067,533,02,27/03/2024,跑馬地,草地,A,2200,好,4,12,50,姚本輝,班德禮,頸位,14,127,11 12 12 11 3 2,2.17.98,1076,TT
G067,506,02,16/03/2024,沙田,草地,C+3,1800,好,4,11,50,姚本輝,潘明輝,2-3/4,74,128,12 12 11 10 2,1.48.22,1094,TT
G067,402,10,07/02/2024,跑馬地,草地,B,1650,好,4,12,52,姚本輝,巴度,8-3/4,34,127,12 12 11 10,1.42.77,1107,TT
G067,126,10,29/10/2023,跑馬地,草地,C,1800,好,4,3,52,姚本輝,巴度,5-3/4,5,127,10 7 7 8 10,1.51.63,1076,TT
G067,024,04,17/09/2023,沙田,草地,B,1600,好,4,3,51,姚本輝,巴度,3/4,19,126,12 8 10 4,1.35.22,1075,TT
G067,801,09,06/07/2023,跑馬地,草地,A,2200,好,4,6,51,姚本輝,巴度,12-1/2,13,127,10 11 11 11 11 9,2.18.92,1058,TT
G067,704,07,31/05/2023,跑馬地,草地,C+3,2200,好/快,4,8,51,姚本輝,布文,6,2.8,128,7 7 7 8 6 7,2.16.24,1044,TT
G067,616,02,30/04/2023,沙田,草地,A,2000,好,4,1,49,姚本輝,蘇兆輝,頸位,4.3,126,5 5 6 6 2,2.03.84,1037,TT
G067,515,04,22/03/2023,跑馬地,草地,C+3,1800,好,4,7,48,姚本輝,蘇兆輝,3/4,5.2,123,9 9 10 10 4,1.49.55,1045,TT
G067,458,01,01/03/2023,跑馬地,草地,A,2200,好,4,3,43,姚本輝,蘇兆輝,頸位,3.9,123,4 5 5 5 5 1,2.18.32,1055,TT
G067,399,02,08/02/2023,跑馬地,草地,B,1800,好,4,1,42,姚本輝,巴度,1-1/4,3.4,118,11 11 11 11 2,1.49.37,1058,TT
G067,363,06,24/01/2023,沙田,草地,C,1800,好,4,4,43,姚本輝,梁家俊,3-3/4,7.5,120,9 9 9 6 6,1.48.49,1062,TT
G067,311,05,08/01/2023,沙田,草地,C+3,1800,好,4,11,45,姚本輝,梁家俊,3-1/4,14,122,8 8 7 6 5,1.48.62,1063,TT
G067,107,10,19/10/2022,跑馬地,草地,B,1650,好/快,4,12,47,高伯新,梁家俊,4-1/4,31,122,12 12 12 10,1.40.90,1064,B-/TT
G067,037,09,25/09/2022,沙田全天候,,,1650,好,4,1,49,高伯新,巴度,11-1/4,22,125,6 6 8 9,1.41.20,1076,B/TT
G067,736,08,08/06/2022,跑馬地,草地,A,1650,黏,4,5,51,高伯新,梁家俊,5,7.4,125,11 11 11 8,1.43.51,1046,B1/TT
G067,675,05,18/05/2022,跑馬地,草地,B,1800,好,4,2,51,高伯新,梁家俊,2-1/2,8.5,126,8 8 8 8 5,1.50.45,1063,TT
G067,596,02,20/04/2022,跑馬地,草地,C,1650,好,4,11,50,高伯新,梁家俊,1,78,123,10 11 10 2,1.40.20,1058,TT
G067,552,09,03/04/2022,沙田,草地,B+2,1400,好,4,2,52,高伯新,賀銘年,4-3/4,108,126,8 6 7 9,1.23.46,1059,TT
G067,495,10,12/03/2022,沙田,草地,C+3,1400,好,4,8,52,高伯新,馬雅,5,75,126,12 12 11 10,1.22.61,1060,TT1
