horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
H364,280,07,20/12/2025,沙田,草地,C+3,1200,好,3,1,61,沈集成,鍾易禮,3-1/4,11,114,2 2 7,1.09.68,1129,B/TT
H364,158,11,05/11/2025,跑馬地,草地,C+3,1200,好/快,3,10,63,沈集成,金誠剛,6-1/4,85,122,9 10 11,1.10.34,1112,B/TT
H364,102,09,15/10/2025,跑馬地,草地,A,1200,好/快,3,9,65,沈集成,梁家俊,4-1/4,22,121,9 10 9,1.10.10,1098,B/TT
H364,064,12,01/10/2025,沙田,草地,A+3,1200,好/快,3,6,67,沈集成,黃寶妮,5-3/4,33,115,6 8 12,1.09.67,1094,B/TT
H364,009,07,07/09/2025,沙田,草地,A,1200,好,3,3,68,沈集成,巫顯東,6-3/4,57,125,8 7 7,1.09.46,1078,B/TT
H364,816,10,05/07/2025,沙田,草地,C+3,1200,好/快,3,6,70,沈集成,黃智弘,6-1/4,17,120,11 11 10,1.09.87,1106,B/TT
H364,723,07,31/05/2025,沙田,草地,B,1200,好,3,9,72,沈集成,黃智弘,3-1/4,14,120,5 5 7,1.09.69,1113,B/TT
H364,667,05,10/05/2025,沙田,草地,C,1200,好,3,6,73,沈集成,黃寶妮,1-1/2,16,119,6 5 5,1.09.56,1116,B/TT
H364,625,03,27/04/2025,沙田,草地,A,1200,好,3,3,73,沈集成,麥道朗,1-1/2,9.4,130,5 5 3,1.09.20,1119,B/TT
H364,532,05,23/03/2025,沙田,草地,A,1200,好/快,3,9,73,沈集成,蘇銘倫,3,19,129,12 11 5,1.09.02,1130,B/TT
H364,456,08,23/02/2025,沙田,草地,A,1200,好,3,11,73,沈集成,巫顯東,2-3/4,41,130,3 3 8,1.09.46,1138,B/TT
H364,325,01,05/01/2025,沙田,草地,C+3,1200,好,3,1,65,沈集成,巫顯東,1/2,3.3,122,4 4 1,1.09.40,1118,B/TT
H364,279,01,22/12/2024,沙田,草地,A+3,1200,好,4,5,59,沈集成,麥道朗,3/4,5.4,135,4 4 1,1.09.04,1113,B2/TT
H364,222,04,01/12/2024,沙田,草地,C+3,1200,好,4,10,59,沈集成,麥道朗,2-1/4,3.3,135,1 1 4,1.09.99,1118,TT
H364,184,05,17/11/2024,沙田,草地,B+2,1200,好,4,12,59,沈集成,何澤堯,3-3/4,4.2,135,8 7 5,1.09.53,1107,TT
H364,114,02,20/10/2024,沙田,草地,B+2,1200,好/快,4,5,57,沈集成,何澤堯,短馬頭位,3.4,133,2 3 2,1.09.11,1100,TT
H364,057,01,28/09/2024,沙田,草地,C,1200,好,4,7,50,沈集成,陳嘉熙,1-1/2,2.1,124,1 1 1,1.09.87,1100,TT
H364,005,02,08/09/2024,沙田,草地,A,1200,好/黏,4,3,49,沈集成,陳嘉熙,2-1/4,6.2,119,4 3 2,1.10.12,1082,TT
H364,755,05,15/06/2024,沙田,草地,C+3,1200,軟,4,8,52,沈集成,布文,3-1/2,8.8,127,8 7 5,1.10.65,1103,TT
H364,682,06,19/05/2024,沙田,草地,C+3,1400,好,4,11,54,沈集成,布文,3-1/2,28,130,5 6 5 6,1.23.04,1098,B-/TT
H364,642,08,05/05/2024,沙田,草地,B,1400,好,4,7,56,沈集成,鍾易禮,4-1/2,15,127,11 11 8 8,1.22.34,1102,B/TT
H364,584,06,14/04/2024,沙田,草地,C,1200,好/快,4,5,58,沈集成,黃智弘,5,8.3,124,11 10 6,1.09.80,1097,B/TT
H364,548,10,31/03/2024,沙田,草地,A+3,1200,好,4,4,59,沈集成,周俊樂,4-1/2,11,132,5 6 10,1.10.71,1098,B/TT
H364,374,03,28/01/2024,沙田,草地,A+3,1200,好,4,6,59,沈集成,鍾易禮,3-1/2,3.1,129,9 9 3,1.10.08,1113,B/TT
H364,271,02,23/12/2023,沙田,草地,C,1400,好,4R,6,57,沈集成,潘頓,3/4,1.6,134,3 1 1 2,1.23.32,1107,B1/TT
H364,200,06,26/11/2023,沙田,草地,C,1400,好,4,5,57,沈集成,麥道朗,3-3/4,7.2,133,4 4 4 6,1.22.98,1126,TT
H364,157,02,11/11/2023,沙田,草地,A+3,1200,好,4R,1,57,沈集成,布文,2-1/4,3.8,134,7 5 2,1.09.72,1127,TT
H364,037,01,24/09/2023,沙田,草地,C,1200,好,4R,8,52,沈集成,何澤堯,頸位,17,124,9 8 1,1.09.82,1120,TT1
