horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
J252,190,07,19/11/2025,跑馬地,草地,B,1650,好,5,8,25,蔡約翰,艾道拿,2-3/4,37,121,11 10 10 7,1.41.12,1060,B
J252,160,11,09/11/2025,沙田,草地,C+3,1600,好,5,1,27,蔡約翰,艾道拿,6-1/4,6.2,122,5 4 8 11,1.37.44,1040,B1
J252,123,06,26/10/2025,沙田,草地,A,1800,好/快,5,5,29,蔡約翰,奧爾民,3,9.1,125,4 5 4 3 6,1.47.82,1046,--
J252,047,07,28/09/2025,沙田,草地,C+3,1600,好,5,2,31,蔡約翰,巴度,4-3/4,6.6,126,7 8 6 7,1.35.12,1041,--
J252,037,03,21/09/2025,沙田,草地,C,1800,黏,5,6,31,蔡約翰,艾道拿,1-1/4,16,128,7 7 6 5 3,1.50.52,1042,--
J252,002,09,07/09/2025,沙田,草地,A,1600,好,5,14,31,蔡約翰,潘明輝,4-3/4,15,126,12 12 13 9,1.35.63,1024,--
J252,811,02,05/07/2025,沙田,草地,C+3,1600,好/快,5,6,33,蔡約翰,布文,1-3/4,4.1,128,11 12 10 2,1.35.27,1042,--
J252,757,10,14/06/2025,沙田,草地,C+3,1600,好,5,11,35,蔡約翰,班德禮,3-1/4,13,130,10 9 10 10,1.36.23,1039,--
J252,659,04,10/05/2025,沙田,草地,C,1600,好,5,5,36,蔡約翰,艾道拿,1-1/2,6,131,8 8 8 4,1.35.68,1039,--
J252,572,09,09/04/2025,跑馬地,草地,A,1650,好/快,5,9,38,蔡約翰,布文,3-3/4,11,133,9 9 9 9,1.40.18,1055,--
J252,506,03,15/03/2025,沙田,草地,C+3,1600,好/快,5,2,38,蔡約翰,賀銘年,2,10,134,6 7 8 3,1.34.77,1044,E-
J252,476,07,05/03/2025,跑馬地,草地,C+3,2200,好,5,6,40,蔡約翰,莫雅,8-1/4,6.2,135,8 9 9 9 10 7,2.17.53,1034,E
J252,398,05,05/02/2025,跑馬地,草地,A,1650,好,5,11,40,蔡約翰,布文,2-1/2,7.7,135,9 9 7 5,1.41.11,1064,E
J252,347,02,15/01/2025,跑馬地,草地,B,1800,好,5,2,39,蔡約翰,布文,1/2,5.9,134,9 9 8 9 2,1.49.93,1049,E
J252,308,05,01/01/2025,沙田,草地,C,1800,好,5,1,40,蔡約翰,賀銘年,2,6.7,135,10 11 12 10 5,1.49.49,1059,E
J252,277,03,22/12/2024,沙田,草地,A+3,1600,好,5,13,40,蔡約翰,布文,1-1/4,20,135,11 10 8 3,1.35.63,1053,E
J252,207,10,24/11/2024,沙田,草地,C,1600,好,4,9,42,蔡約翰,巴度,6,76,119,14 14 14 10,1.35.11,1057,E
J252,149,09,03/11/2024,沙田,草地,C+3,1600,好/快,4,3,44,蔡約翰,湯普新,5-1/2,65,120,8 11 12 9,1.35.37,1052,E
J252,080,08,06/10/2024,沙田,草地,A,1400,好/快,4,4,46,蔡約翰,艾道拿,3-1/2,113,122,7 8 10 8,1.22.42,1050,E
J252,044,09,22/09/2024,沙田,草地,B+2,1400,黏,4,5,48,蔡約翰,艾道拿,6,111,123,11 10 10 9,1.23.74,1044,E
J252,790,12,01/07/2024,沙田,草地,B,1400,好,4,6,52,蔡約翰,艾道拿,6-3/4,165,129,11 13 13 12,1.23.08,1067,P-/E
J252,726,11,05/06/2024,跑馬地,草地,A,1200,好/黏,4,6,52,蔡約翰,布文,14-1/4,31,128,11 12 11,1.13.50,1074,E1/P1
