horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
K290,569,13,01/04/26,沙田全天候,,,1800,好,4,12,44,游達榮,巴度,12-1/2,52,120,14 14 13 13 13,1.50.20,968,B/TT
K290,526,01,18/03/26,跑馬地,草地,A,1650,好/快,5,6,39,游達榮,霍宏聲,平頭馬,36,135,9 10 8 1,1.39.05,957,B/TT
K290,450,08,19/02/26,沙田,草地,A,1400,好,4,11,41,游達榮,巴度,5,150,118,14 11 8 8,1.22.16,973,B/TT
K290,408,12,04/02/26,跑馬地,草地,C+3,1800,好/快,4,6,44,游達榮,希威森,15,71,121,11 11 11 12 12,1.50.89,983,B/TT
K290,307,12,01/01/26,沙田,草地,B+2,2000,好,4,12,46,游達榮,梁家俊,7-1/4,57,121,10 11 13 14 12,2.04.76,974,B/TT
K290,173,12,12/11/25,跑馬地,草地,A,1650,好/快,4,8,47,游達榮,希威森,11,22,123,3 3 4 12,1.42.15,969,B/TT
K290,099,03,15/10/25,跑馬地,草地,A,1650,好/快,4,6,47,游達榮,希威森,1-1/2,49,124,7 7 4 3,1.40.67,969,CP-/B1/TT1
K290,014,08,10/09/25,跑馬地,草地,A,1650,好,4,10,49,游達榮,希威森,4,169,125,11 11 11 8,1.41.07,988,XB-/CP1
K290,800,12,01/07/25,沙田,草地,C,1400,好,4,9,52,游達榮,梁家俊,8,208,127,9 11 14 12,1.23.20,992,XB
K290,693,12,21/05/25,跑馬地,草地,C,1200,好/快,4,12,52,游達榮,田泰安,6,138,129,12 12 12,1.10.90,1006,XB1
