horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
L119,832,06,04/07/26,沙田全天候,,,1200,濕快,4,12,52,文家良,黃寶妮,7-3/4,24,120,2 2 6,1.09.43,1260,B2/TT
L119,737,13,31/05/26,沙田,草地,B,1200,好,4,4,55,文家良,何澤堯,12-1/2,27,131,6 5 13,1.10.95,1266,TT
L119,677,10,09/05/26,沙田,草地,C,1000,好/黏,4,14,57,文家良,何澤堯,4-3/4,60,130,9 11 10,0.57.82,1250,TT
L119,630,11,22/04/26,跑馬地,草地,B,1000,好/快,4,10,59,文家良,梁家俊,6-1/4,126,134,9 5 11,0.57.76,1251,TT
L119,572,06,01/04/26,沙田全天候,,,1200,好,3,9,60,文家良,黃寶妮,4,36,108,2 2 6,1.09.01,1244,TT
L119,524,11,15/03/26,沙田,草地,C+3,1200,好/快,3,4,62,文家良,巴度,10-3/4,43,117,6 7 11,1.09.94,1246,TT
L119,410,WV,04/02/26,跑馬地,草地,C+3,1000,好/快,3,--,62,文家良,楊明綸,--,--,118,--,--,--,--
L119,356,06,18/01/26,沙田,草地,A,1000,好,3,7,63,文家良,何澤堯,5-1/4,94,120,11 8 6,0.57.68,1250,TT
L119,323,10,04/01/26,沙田,草地,C,1200,好,3,4,65,文家良,何澤堯,5-3/4,69,125,2 2 10,1.09.96,1246,TT1
L119,182,12,15/11/25,沙田,草地,A+3,1000,好,3,4,65,文家良,周俊樂,6-1/2,99,120,9 10 12,0.57.80,1242,B-
