horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
N268,753,11,26/06/2016,沙田,草地,A,1600,好/快,2,12,82,葉楚航,史卓豐,5,19,117,1 1 1 11,1.34.70,1099,B
N268,694,09,05/06/2016,沙田,草地,B+2,1800,好/快,2,5,82,葉楚航,黃皓楠,3,14,108,1 1 1 1 9,1.46.38,1115,B
N268,647,02,14/05/2016,沙田,草地,C+3,1800,好,2,10,82,葉楚航,黃皓楠,2-1/2,18,109,2 1 1 1 2,1.47.00,1106,B
N268,619,06,04/05/2016,跑馬地,草地,C+3,1650,好,3,11,84,葉楚航,田泰安,2-1/2,24,132,11 12 12 6,1.41.02,1106,B
N268,592,04,24/04/2016,沙田,草地,A,1600,黏,2,10,86,葉楚航,田泰安,4-3/4,44,120,6 6 7 4,1.37.73,1104,B1
N268,555,07,10/04/2016,沙田,草地,C,1400,好/黏,2,14,88,葉楚航,雷景勳,4-1/4,44,127,13 13 11 7,1.23.09,1111,--
N268,495,08,20/03/2016,沙田,草地,A,1400,好,2,2,90,葉楚航,蘇兆輝,3-3/4,32,128,8 8 8 8,1.23.26,1120,--
N268,407,11,14/02/2016,沙田,草地,C+3,1600,好,2,3,92,葉楚航,史卓豐,7-1/4,96,130,6 7 5 11,1.35.41,1116,--
N268,353,07,24/01/2016,沙田,草地,A,1400,好,2,11,94,葉楚航,潘頓,2-1/2,23,122,12 11 11 7,1.23.40,1120,--
N268,290,11,27/12/2015,沙田,草地,A+3,1400,好,2,2,96,葉楚航,梁家俊,10-1/2,62,129,7 10 9 11,1.23.27,1108,--
N268,249,14,13/12/2015,沙田,草地,A,1600,好,2,14,97,葉楚航,梁家俊,7-3/4,62,129,11 11 9 14,1.36.21,1107,--
N268,185,13,18/11/2015,沙田全天候,,,1650,好,1,14,97,葉楚航,吳嘉晉,22-1/4,86,112,12 6 12 13,1.39.90,1108,--
N268,139,09,25/10/2015,沙田,草地,A,1400,好/快,2,10,97,葉楚航,潘頓,6-1/2,21,133,9 10 6 9,1.22.99,1118,--
N268,064,01,28/09/2015,沙田,草地,A,1400,好,2,5,91,葉楚航,潘頓,3/4,8.6,128,9 7 5 1,1.22.18,1116,--
N268,777,07,12/07/2015,沙田,草地,B+2,1400,好/快,2,9,95,葉楚航,郭能,4,55,129,6 9 8 7,1.21.53,1096,H-
N268,735,07,27/06/2015,沙田,草地,C+3,1400,好/快,2,14,97,葉楚航,黃皓楠,4-1/2,36,122,2 2 2 7,1.21.75,1096,H
N268,652,06,27/05/2015,沙田全天候,,,1800,好,2,6,98,葉楚航,羅理雅,7-1/4,20,133,8 8 7 5 6,1.48.82,1077,H
N268,448,07,08/03/2015,沙田,草地,C+3,1400,好/快,HKG3,6,100,葉楚航,柏寶,2-3/4,21,123,7 7 5 7,1.22.04,1108,H
N268,408,06,21/02/2015,沙田,草地,A+3,1400,好,1,2,100,葉楚航,柏寶,2-1/4,7.6,124,4 5 6 6,1.23.29,1102,H
N268,328,02,18/01/2015,沙田,草地,A+3,1800,好/快,2,3,98,葉楚航,柏寶,頸位,18,131,4 5 5 5 2,1.48.58,1094,H
N268,292,02,04/01/2015,沙田,草地,C+3,1600,好/快,2,8,97,葉楚航,柏寶,1-3/4,74,132,2 2 2 2,1.35.02,1088,H
N268,233,02,14/12/2014,沙田,草地,A,1400,好/快,1,2,96,葉楚航,吳嘉晉,1-1/4,56,109,3 3 3 2,1.22.26,1101,H
N268,201,08,30/11/2014,沙田,草地,C,1600,好/快,1,5,98,葉楚航,薛寶力,5-1/4,85,121,4 3 3 8,1.34.72,1092,H
N268,174,03,19/11/2014,跑馬地,草地,B,1650,好,2,7,99,葉楚航,李寶利,2-1/2,38,133,5 4 4 3,1.40.11,1085,H
N268,146,07,09/11/2014,沙田,草地,C+3,1800,好,HKG3,6,101,葉楚航,何澤堯,5,99,119,6 7 7 5 7,1.48.09,1103,H
N268,121,10,26/10/2014,沙田,草地,B+2,1600,好/快,2,4,103,葉楚航,田泰安,5-1/4,88,133,7 9 11 10,1.35.90,1110,H
N268,063,10,05/10/2014,沙田,草地,A,1400,好/快,HKG3,10,104,葉楚航,鄭雨滇,4,58,113,7 6 7 10,1.22.08,1114,H
N268,026,08,21/09/2014,沙田,草地,B+2,1400,好/快,1,3,104,葉楚航,潘頓,3-1/2,8.9,124,6 7 7 8,1.22.24,1099,H
N268,583,11,27/04/2014,沙田,草地,A,1400,好/快,2,7,103,葉楚航,蘇狄雄,3-3/4,27,131,7 9 9 11,1.22.53,1060,H
N268,442,02,01/03/2014,沙田,草地,B+2,1400,好,HKG3,1,101,葉楚航,潘頓,1,8.3,124,5 6 3 2,1.21.98,1094,H
