horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
P117,524,11,31/03/2016,跑馬地,草地,C+3,1650,好,3,7,72,霍利時,田泰安,7-1/4,8.2,126,4 4 4 11,1.40.91,1114,--
P117,432,04,24/02/2016,跑馬地,草地,C,1650,好,3,2,72,霍利時,田泰安,2-1/4,8.3,120,3 3 3 4,1.40.62,1122,--
P117,373,02,03/02/2016,跑馬地,草地,A,1650,好,3,7,70,霍利時,田泰安,頸位,38,125,4 5 5 2,1.41.70,1120,--
P117,192,13,21/11/2015,沙田,草地,B+2,1800,好,3,4,73,霍利時,史卓豐,16-3/4,78,129,2 3 3 5 13,1.50.30,1106,B-
P117,148,09,01/11/2015,跑馬地,草地,A,1650,好,3,6,75,霍利時,韋達,6-1/4,16,129,9 9 11 9,1.42.20,1088,CP-/B1
P117,128,07,22/10/2015,跑馬地,草地,C+3,1650,好,3,7,77,霍利時,韋達,3-3/4,10,133,8 8 8 7,1.42.25,1099,CP
P117,092,07,07/10/2015,跑馬地,草地,A,1650,好/黏,3,11,77,霍利時,韋達,4-1/2,38,130,9 8 7 7,1.42.04,1094,CP
P117,723,03,24/06/2015,跑馬地,草地,C+3,1650,好,3S,11,79,霍利時,韋達,1-1/2,26,133,2 2 3 3,1.41.46,1102,CP1
P117,652,07,27/05/2015,沙田全天候,,,1800,好,2,8,81,霍利時,黃皓楠,8,28,106,5 7 8 7 7,1.48.94,1103,--
P117,547,07,19/04/2015,沙田,草地,C+3,2200,好/快,2,3,83,霍利時,黃皓楠,4-1/4,39,104,1 1 1 2 2 7,2.16.65,1093,--
P117,509,09,01/04/2015,跑馬地,草地,A,1650,好/快,2,10,85,霍利時,郭能,10-1/4,26,122,3 6 8 9,1.41.00,1099,--
P117,420,08,25/02/2015,跑馬地,草地,C,1650,好,2,7,87,霍利時,韋達,3-1/2,12,120,8 7 8 8,1.40.90,1110,--
P117,364,05,01/02/2015,沙田,草地,C,1600,好/快,2,11,87,霍利時,韋達,4,50,130,5 2 2 5,1.35.98,1106,--
P117,300,02,07/01/2015,跑馬地,草地,A,1650,好,3,6,85,霍利時,韋達,1/2,6.4,133,2 3 3 2,1.41.05,1101,--
P117,259,06,20/12/2014,沙田全天候,,,1650,好,2,4,85,霍利時,蔡明紹,4,11,116,4 6 4 6,1.39.67,1100,--
P117,174,02,19/11/2014,跑馬地,草地,B,1650,好,2,10,85,霍利時,艾兆禮,2-1/4,48,119,2 2 2 2,1.40.09,1081,--
P117,149,11,09/11/2014,沙田,草地,C+3,1600,好,2,4,87,霍利時,李富,9-3/4,46,125,4 6 9 11,1.35.90,1092,--
P117,092,07,15/10/2014,沙田全天候,,,1650,好,2,5,88,霍利時,潘頓,2-1/2,29,125,1 1 1 7,1.39.23,1097,--
P117,056,08,01/10/2014,沙田,草地,C+3,1600,好/快,2,13,88,霍利時,杜利萊,4-1/2,93,123,12 12 14 8,1.35.20,1093,--
P117,681,11,05/06/2014,跑馬地,草地,B,1800,好/快,1,5,89,霍利時,田泰安,7-1/4,28,113,2 3 3 4 11,1.49.97,1090,--
P117,645,12,21/05/2014,跑馬地,草地,C+3,1800,好,2,2,91,霍利時,布文,5-1/2,10,128,4 6 8 8 12,1.50.34,1082,--
P117,608,06,07/05/2014,跑馬地,草地,B,1650,好,2,11,91,霍利時,韋達,2,14,125,11 11 12 6,1.41.54,1084,--
P117,536,05,06/04/2014,沙田,草地,B+2,1600,好/黏,2,9,92,霍利時,潘頓,2-1/4,11,128,3 3 3 5,1.37.28,1089,--
P117,481,04,16/03/2014,沙田,草地,A,1600,好,2,13,92,霍利時,田泰安,2,57,130,1 1 1 4,1.35.82,1092,--
P117,416,06,19/02/2014,跑馬地,草地,C,1800,好,2,9,92,霍利時,郭能,2-1/4,27,128,7 8 8 6 6,1.50.71,1109,--
P117,349,01,22/01/2014,跑馬地,草地,C+3,1650,好,2,1,85,霍利時,郭能,3/4,11,121,3 4 4 1,1.40.25,1089,--
P117,274,04,26/12/2013,跑馬地,草地,A,1650,好/快,2,8,86,霍利時,田泰安,2-3/4,13,122,1 1 3 4,1.40.70,1102,--
P117,220,10,04/12/2013,跑馬地,草地,A,1800,好/快,2,12,86,霍利時,韋達,5-3/4,7,121,6 6 6 6 10,1.50.45,1094,--
P117,117,03,27/10/2013,沙田,草地,B+2,1600,好/快,2,7,86,霍利時,韋達,1,8.8,119,8 7 7 3,1.35.77,1094,--
P117,072,02,09/10/2013,跑馬地,草地,A,1650,好/快,2,7,85,霍利時,韋達,1-1/4,4.2,120,5 5 4 2,1.40.30,1094,--
P117,036,01,17/09/2013,跑馬地,草地,B,1650,好/快,2,10,80,霍利時,韋達,鼻位,4,117,2 4 6 1,1.40.49,1109,--
P117,741,05,01/07/2013,沙田,草地,A+3,1800,好,2,1,81,霍利時,貝湯美,3-1/2,9.4,116,5 5 6 5 5,1.48.50,1065,--
P117,652,04,29/05/2013,跑馬地,草地,C+3,1800,好/快,3,12,80,霍利時,貝湯美,1/2,18,133,3 2 2 2 4,1.49.57,1064,--
P117,599,07,08/05/2013,跑馬地,草地,A,1800,好/黏,2,2,82,霍利時,薛寶力,3-3/4,57,124,6 5 5 3 7,1.53.37,1067,--
P117,434,12,02/03/2013,沙田,草地,C,1800,好,2,9,85,霍利時,郭立基,8-1/2,99,119,2 4 2 3 12,1.48.81,1094,--
P117,397,14,17/02/2013,沙田,草地,A,1800,好,HKG1,11,88,霍利時,柏寶,19,99,126,12 13 12 14 14,1.51.96,1097,--
P117,330,07,20/01/2013,沙田,草地,A,1600,好,HKG1,4,90,霍利時,郭能,5,99,126,8 7 8 7,1.35.07,1098,--
P117,287,13,01/01/2013,沙田,草地,B+2,1600,好,2,7,90,霍利時,潘頓,10-1/2,14,123,4 4 4 13,1.37.16,1108,--
