horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
S013,666,12,22/05/2016,沙田全天候,,,1650,好,2,5,100,蘇保羅,寶遜,9-1/2,45,133,9 11 11 12,1.39.60,1141,B
S013,473,06,13/03/2016,沙田,草地,C+3,1600,好,1,6,100,蘇保羅,梁家俊,4-1/2,9.9,113,2 2 2 6,1.35.25,1134,B
S013,385,14,06/02/2016,沙田,草地,B+2,1800,好,HKG3,6,100,蘇保羅,蘇兆輝,5-1/2,3.9,115,6 8 8 10 14,1.48.10,1148,B
S013,319,01,09/01/2016,沙田,草地,C,1600,好,2,10,94,蘇保羅,羅理雅,頭位,5.2,130,8 7 8 1,1.35.27,1151,B
S013,215,01,29/11/2015,沙田,草地,C,1400,好,2,7,88,蘇保羅,潘頓,頭位,11,127,7 7 6 1,1.21.61,1146,B
S013,622,02,16/05/2015,沙田,草地,C,1600,好,2,4,85,蘇保羅,莫雷拉,3/4,2.8,126,7 7 8 2,1.34.05,1132,B
S013,534,02,12/04/2015,沙田,草地,C,1600,好,2,8,82,蘇保羅,田泰安,1,3.4,115,5 5 5 2,1.34.29,1142,B
S013,428,02,01/03/2015,沙田,草地,B+2,1600,好/快,3,1,80,蘇保羅,李寶利,1/2,2.6,133,7 5 8 2,1.35.56,1148,B
S013,364,03,01/02/2015,沙田,草地,C,1600,好/快,2,6,80,蘇保羅,李寶利,2-1/4,6.3,123,7 7 8 3,1.35.67,1145,B
S013,282,01,01/01/2015,沙田,草地,C,1600,好/快,3,3,73,蘇保羅,李寶利,1/2,3.4,127,3 3 2 1,1.34.68,1149,B
S013,202,01,30/11/2014,沙田,草地,C,1600,好/快,3,12,67,蘇保羅,莫雷拉,1/2,4.2,120,3 2 2 1,1.34.70,1142,B
S013,139,03,02/11/2014,沙田,草地,C,1400,好/快,3,7,65,蘇保羅,莫雷拉,短馬頭位,3,119,6 7 4 3,1.22.97,1143,B
S013,062,01,05/10/2014,沙田,草地,A,1400,好/快,4,12,60,蘇保羅,莫雷拉,DH,3.5,133,5 6 6 1,1.22.95,1154,B
S013,708,03,15/06/2014,沙田,草地,C,1400,好,4,9,60,蘇保羅,莫雷拉,2-3/4,3.4,133,9 10 8 3,1.22.93,1137,B1
S013,634,WV,17/05/2014,沙田,草地,C+3,1400,好,4,--,60,蘇保羅,莫雷拉,--,--,133,--,--,--,--
S013,475,03,16/03/2014,沙田,草地,A,1600,好,4,2,58,蘇保羅,莫雷拉,頭位,1.9,131,4 4 5 3,1.38.25,1155,--
S013,386,02,08/02/2014,沙田,草地,C+3,1600,好,4,4,56,蘇保羅,潘頓,頸位,2.8,129,7 8 7 2,1.35.72,1133,--
S013,319,03,11/01/2014,沙田,草地,A,1400,好,4,11,54,蘇保羅,潘頓,頭位,5,127,11 12 12 3,1.23.17,1140,--
S013,260,03,21/12/2013,沙田,草地,A+3,1200,好/快,4,7,53,蘇保羅,潘頓,3/4,2.3,126,3 2 3,1.10.41,1158,--
S013,183,03,24/11/2013,沙田,草地,C,1000,好/快,4,13,52,蘇保羅,梁家俊,1,44,122,5 7 3,0.56.99,1138,--
