horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
T226,164,07,05/11/2017,沙田,草地,C+3,1200,好/快,5,7,37,何良,梁家俊,4-1/2,10,128,1 1 7,1.10.25,1157,CP/H/TT
T226,109,08,14/10/2017,沙田,草地,C,1600,好,5,9,39,何良,潘明輝,6-3/4,8.1,125,1 1 1 8,1.35.81,1154,CP/H/TT
T226,059,04,24/09/2017,沙田,草地,A,1400,好,4,2,41,何良,梁家俊,4,21,114,8 7 7 4,1.22.60,1159,CP/H/TT
T226,001,03,03/09/2017,沙田,草地,B,1000,好,4,8,41,何良,楊明綸,6-1/4,21,116,6 4 3,0.57.28,1168,CP/H/TT
T226,783,06,09/07/2017,沙田,草地,B+2,1000,好,4,9,44,何良,麥偉利,2-1/4,183,118,13 11 6,0.56.82,1135,CP/H/TT
T226,194,13,20/11/2016,沙田,草地,B+2,1400,好,4,9,47,何良,柏寶,11-1/2,40,120,11 13 9 13,1.23.62,1149,CP/H/TT1
T226,150,12,02/11/2016,沙田全天候,,,1200,好,4,3,50,何良,蔣嘉琦,8,32,116,8 9 12,1.11.01,1159,P-/H/CP1
T226,105,12,16/10/2016,沙田全天候,,,1200,好,4,2,52,何良,梁家俊,16-3/4,41,119,5 7 12,1.11.40,1165,XB-/H/P1
T226,606,13,01/05/2016,沙田,草地,B,1200,好,4,2,58,何良,蘇狄雄,8,202,129,10 14 13,1.11.39,1149,H/XB
T226,554,14,10/04/2016,沙田,草地,C,1400,好/黏,3,12,60,何良,蘇狄雄,10-3/4,291,113,10 11 12 14,1.24.72,1156,H/XB
T226,486,08,16/03/2016,跑馬地,草地,B,1200,好,3,10,62,何良,蘇狄雄,8,58,114,7 7 8,1.11.01,1161,H/XB
T226,437,05,28/02/2016,沙田,草地,B,1000,好,3,6,64,何良,鄭雨滇,3-1/2,297,117,13 8 5,0.57.39,1158,H/XB
T226,395,11,10/02/2016,沙田,草地,C,1200,好,3,10,66,何良,鄭雨滇,8-3/4,367,119,11 11 11,1.11.62,1165,H/XB
T226,352,14,24/01/2016,沙田,草地,A,1200,好,3,8,66,何良,梁家俊,11-1/4,121,117,3 4 14,1.12.21,1160,H1/XB1
