horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
V064,770,13,01/07/2017,沙田,草地,A+3,1200,好/快,5,11,15,苗禮德,吳嘉晉,12-3/4,335,110,9 11 13,1.11.75,1180,V1/TT1
V064,662,11,21/05/2017,沙田全天候,,,1200,好,5,12,22,苗禮德,巫顯東,17-1/4,152,105,5 11 11,1.11.99,1187,--
V064,589,10,23/04/2017,沙田全天候,,,1200,好,5,8,28,苗禮德,巫顯東,7-3/4,50,111,4 7 10,1.10.65,1174,--
V064,536,13,02/04/2017,沙田,草地,B+2,1400,好/快,5,8,34,苗禮德,巫顯東,12-3/4,206,117,1 2 1 13,1.24.60,1172,PC-
V064,465,10,05/03/2017,沙田,草地,C,1200,好/快,5,3,38,苗禮德,田泰安,9-1/2,103,131,9 10 10,1.11.38,1173,PC
V064,019,14,11/09/2016,沙田,草地,C,1000,好,5,11,40,苗禮德,莫雷拉,16,27,133,3 8 14,0.59.92,1142,PC1
V064,668,14,29/05/2016,沙田,草地,A+3,1200,好,4,13,47,苗禮德,蔣嘉琦,24-1/4,46,113,11 14 14,1.13.33,1169,--
V064,613,11,04/05/2016,跑馬地,草地,C+3,1000,好,4,11,50,苗禮德,雷景勳,12-1/4,189,123,8 9 11,0.59.67,1177,--
V064,511,12,28/03/2016,沙田,草地,A+3,1000,好,4,7,52,苗禮德,雷景勳,9,323,125,6 7 12,0.58.19,1177,--
V064,449,12,02/03/2016,跑馬地,草地,C+3,1000,好,4,5,52,苗禮德,田泰安,12-1/4,98,126,7 8 12,0.59.28,1165,--
