horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,05/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,04/09/2026,快操,從化,全天候,從化 全天候,,26.2,26.2,26.2,,助手,,快操,H,26.2 (26.2) (助手)
E471,04/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
E471,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,02/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,01/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,01/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,31/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,29/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,28/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,28/08/2026,踱步,沙田,河畔跑道,沙田 河畔跑道,,,,,,助手,,踱步,H,河畔跑道 踱步 (助手)
E471,27/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,27/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E471,25/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,24/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
