horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H392,06/09/2026,出賽,沙田,草地,沙田 草地,1600M,,,,,潘頓,2/14,出賽,TT,1600M (潘頓) (2/14)
H392,06/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/P,飛機場 踱步 (助手)
H392,05/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,04/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,03/09/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 踱步,,馬匹跑步機 - 踱步 （上斜）
H392,03/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H/P,內圈 倒快兩圈 (助手)
H392,02/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,01/09/2026,快操,沙田,全天候,沙田 全天候,,50.7,50.7,27.7 23.0,,助手,,幸運二十,H,27.7 23.0 (50.7) (助手) 幸運二十
H392,01/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H392,31/08/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 慢跑,,馬匹跑步機 - 慢跑 （上斜）
H392,31/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H/P,內圈 倒快兩圈 (助手)
H392,29/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,28/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,27/08/2026,快操,沙田,全天候,沙田 全天候,,51.5,51.5,27.9 23.6,,助手,,"恆駿勁駒, 魯班傳承",H/P,"27.9 23.6 (51.5) (助手) 恆駿勁駒, 魯班傳承"
H392,27/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/P,飛機場 踱步 (助手)
H392,26/08/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 踱步,,馬匹跑步機 - 踱步 （上斜）
H392,26/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/P,內圈 快踱一圈 (助手)
H392,25/08/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 慢跑,,馬匹跑步機 - 慢跑 （上斜）
