horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L387,09/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,08/09/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,08/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,07/09/2026,試閘,從化,草地,從化 草地,1200M,1.11.16,71.16,25.5 23.0 22.6,開心指數,蔡明紹,,第9組,,第9組 (蔡明紹) 1200M 開心指數 25.5 23.0 22.6 (1.11.16)
L387,07/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,06/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,06/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,05/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,05/09/2026,快操,從化,全天候,從化 全天候,,57.4,57.4,30.4 27.0,,助手,,快操,,30.4 27.0 (57.4) (助手)
L387,05/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,02/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
L387,01/09/2026,快操,從化,全天候,從化 全天候,,56.8,56.8,29.6 27.2,,助手,,快操,,29.6 27.2 (56.8) (助手)
