jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
BAM,巴米高,Current,10/12/2025,跑馬地,253,4,12,草地,A,1800,2,好,勁速威龍,10,93,呂健威,B,1185,133
BAM,巴米高,Current,10/12/2025,跑馬地,252,12,12,草地,A,1200,3,好,巴基之勝,7,74,蘇偉賢,B/TT,1205,133
BAM,巴米高,Current,10/12/2025,跑馬地,251,10,12,草地,A,1650,3,好,大學生,9,64,韋達,SR/TT,1213,122
BAM,巴米高,Current,10/12/2025,跑馬地,249,4,12,草地,A,1650,4,好,凝妙星,3,53,大衛希斯,CP1,1109,128
BAM,巴米高,Current,10/12/2025,跑馬地,248,9,12,草地,A,1000,4,好,縱橫大兄,4,52,黎昭昇,CP1/TT,1100,127
BAM,巴米高,Current,10/12/2025,跑馬地,247,2,12,草地,A,1650,4,好,卓越蒨鋒,6,56,黎昭昇,B/TT,1062,131
BAM,巴米高,Previous,31/01/2025,沙田,397,4,14,草地,B+2,1400,3,好,一定掂,5,62,姚本輝,TT,1073,122
BAM,巴米高,Previous,31/01/2025,沙田,396,4,14,草地,B+2,1200,3,好,運高八斗,13,69,姚本輝,,1160,124
BAM,巴米高,Previous,31/01/2025,沙田,395,10,14,草地,B+2,1600,3,好,包裝明駒,4,67,伍鵬志,TT,1134,123
BAM,巴米高,Previous,31/01/2025,沙田,394,14,14,草地,B+2,1600,4YO,好,玩笑,9,84,伍鵬志,,1160,126
BAM,巴米高,Previous,31/01/2025,沙田,390,11,11,草地,B+2,1800,G3,好,當年情,1,104,告東尼,TT,1003,124
BAM,巴米高,Previous,31/01/2025,沙田,389,4,14,草地,B+2,1600,4,好,幸運芙蓉,13,49,姚本輝,CP/TT,1129,124
BAM,巴米高,Previous,31/01/2025,沙田,388,7,14,草地,B+2,1200,4,好,鼓浪高升,11,49,伍鵬志,B/TT1,1125,127
BAM,巴米高,Previous,08/12/2024,沙田,249,8,14,草地,A,1400,2,好,九五赤兔,8,87,韋達,B2/SR2,1132,120
BAM,巴米高,Previous,08/12/2024,沙田,248,12,14,草地,A,1400,3,好,風繼續吹,2,65,鄭俊偉,B,1182,121
BAM,巴米高,Previous,08/12/2024,沙田,245,10,14,草地,A,1800,3,好,精算謀略,8,68,蔡約翰,E-/H1,1137,127
BAM,巴米高,Previous,08/12/2024,沙田,243,6,13,草地,A,2400,G1,好,侯爵,12,,費伯華,,1032,126
BAM,巴米高,Previous,04/12/2024,跑馬地,238,1,12,草地,A,1200,3,好,晨曦儷人,12,64,伍鵬志,CP/TT,1176,121
BAM,巴米高,Previous,04/12/2024,跑馬地,237,6,12,草地,A,1650,3,好,勁好運,1,65,羅富全,TT,1090,121
BAM,巴米高,Previous,04/12/2024,跑馬地,236,3,12,草地,A,1200,4,好,妙玲瓏,6,42,巫偉傑,B/TT,1157,119
BAM,巴米高,Previous,04/12/2024,跑馬地,235,2,12,草地,A,1650,4,好,龍船快,9,59,呂健威,V/TT,1125,134
BAM,巴米高,Previous,04/12/2024,跑馬地,234,1,12,草地,A,1000,4,好,胡椒軍曹,8,58,徐雨石,,1140,135
BAM,巴米高,Previous,04/12/2024,跑馬地,232,1,12,草地,A,1200,5,好,佳景臨門,9,37,葉楚航,B,1063,132
BAM,巴米高,Previous,04/12/2024,跑馬地,231,6,11,草地,A,1650,5,好,凱旋七福,6,28,韋達,B/TT,1109,123
