jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
BH,布文,Current,19/04/2026,沙田,624,4,14,草地,C+3,1800,2,好/快,君子傳承,5,90,告東尼,B/TT,1175,125
BH,布文,Current,19/04/2026,沙田,622,1,12,草地,C+3,1400,3,好/快,首飾天空,5,79,蔡約翰,,1118,135
BH,布文,Current,19/04/2026,沙田,621,2,9,,,1200,3,好,錶之極光,4,80,文家良,V/TT,1253,130
BH,布文,Current,19/04/2026,沙田,620,3,12,,,1200,4,好,光年程祥,6,56,巫偉傑,CP/TT,1150,131
BH,布文,Current,19/04/2026,沙田,619,6,14,,,1650,4,好,有派頭,2,52,沈集成,B/TT,1165,127
BH,布文,Current,19/04/2026,沙田,618,13,14,草地,C+3,1600,4,好/快,鴻圖大展,8,50,沈集成,B-/TT,1052,125
BH,布文,Current,19/04/2026,沙田,617,6,14,草地,C+3,1400,4,好/快,輕功猛男,2,60,姚本輝,B,1121,135
BH,布文,Current,19/04/2026,沙田,616,10,14,草地,C+3,1000,4,好/快,步步合拍,2,52,蔡約翰,,1186,127
BH,布文,Current,19/04/2026,沙田,614,5,14,,,1800,5,好,大利好運,8,33,蔡約翰,E/PC/TT,1096,128
BH,布文,Current,15/04/2026,跑馬地,613,5,12,草地,A,1200,3,好,川河動駒,8,72,游達榮,B/TT,1160,129
BH,布文,Current,15/04/2026,跑馬地,611,10,12,草地,A,1200,4,好,潮流勇駒,10,52,黎昭昇,,1155,127
BH,布文,Current,15/04/2026,跑馬地,610,1,10,草地,A,1200,4,好,勇霸龍,11,60,黎昭昇,B2/TT,1233,135
BH,布文,Current,15/04/2026,跑馬地,608,5,12,草地,A,1800,4,好,浪漫老撾,10,59,巫偉傑,CP/TT,1174,134
BH,布文,Current,15/04/2026,跑馬地,607,1,12,草地,A,1650,4,好,凡凡有餘,3,60,沈集成,XB/TT,1207,135
BH,布文,Current,15/04/2026,跑馬地,606,9,12,草地,A,1650,5,好,魔法速遞,12,35,文家良,XB,1101,132
BH,布文,Current,15/04/2026,跑馬地,605,3,12,草地,A,1000,5,好,辣得金,6,35,巫偉傑,H/TT,1101,132
BH,布文,Current,12/04/2026,沙田,604,3,12,草地,C,1200,2,好,競駿輝煌,7,91,蔡約翰,B,1154,126
BH,布文,Current,12/04/2026,沙田,601,6,12,草地,C,1600,3,好,星幻,7,73,韋達,B-/E-/TT-,1083,131
