jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
BUW,布宜學,Current,10/12/2025,跑馬地,252,11,12,草地,A,1200,3,好,魅力寶駒,2,69,蔡約翰,,1198,128
BUW,布宜學,Current,10/12/2025,跑馬地,251,12,12,草地,A,1650,3,好,爆笑,11,68,告東尼,TT,1102,126
BUW,布宜學,Current,10/12/2025,跑馬地,249,12,12,草地,A,1650,4,好,爭金奪冠,12,55,巫偉傑,H-/BO/XB/TT,1046,130
BUW,布宜學,Current,10/12/2025,跑馬地,248,1,12,草地,A,1000,4,好,品德寶寶,5,48,文家良,V/TT,1270,123
BUW,布宜學,Previous,23/03/2025,沙田,530,13,14,草地,A,2000,4YO,好/快,但求開心,10,81,巫偉傑,H-/TT,1195,126
BUW,布宜學,Previous,23/03/2025,沙田,524,9,14,草地,A,1400,4,好/快,博愛先鋒,12,57,巫偉傑,TT,1054,132
BUW,布宜學,Previous,04/12/2024,跑馬地,238,5,12,草地,A,1200,3,好,勇威神駒,5,66,沈集成,TT,1142,123
BUW,布宜學,Previous,04/12/2024,跑馬地,237,4,12,草地,A,1650,3,好,獨角獸,9,73,方嘉柏,H/P/TT,1212,129
BUW,布宜學,Previous,04/12/2024,跑馬地,235,9,12,草地,A,1650,4,好,獎星,7,51,羅富全,B/TT,1155,126
BUW,布宜學,Previous,04/12/2024,跑馬地,234,2,12,草地,A,1000,4,好,精益大師,4,57,葉楚航,B/TT,1099,134
