jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
CHA,陳嘉熙,Previous,16/07/2025,跑馬地,847,8,12,草地,B,1200,3,好/快,鈁糖武士,7,72,方嘉柏,TT,1081,122
CHA,陳嘉熙,Previous,16/07/2025,跑馬地,846,5,12,草地,B,1200,2,好/快,魔術控制,2,105,巫偉傑,CP1/TT,1061,130
CHA,陳嘉熙,Previous,09/02/2025,沙田,409,10,13,草地,C,1000,4,好,做好自己,11,56,呂健威,TT,1014,125
CHA,陳嘉熙,Previous,05/02/2025,跑馬地,398,10,12,草地,A,1650,5,好,讓愛高飛,2,37,鄭俊偉,,1012,127
CHA,陳嘉熙,Previous,22/01/2025,跑馬地,374,9,12,草地,C,1200,3,好,鈁糖武士,4,77,方嘉柏,B/TT,1121,130
CHA,陳嘉熙,Previous,15/01/2025,跑馬地,347,7,12,草地,B,1800,5,好,讓愛高飛,12,39,鄭俊偉,B-,1000,129
CHA,陳嘉熙,Previous,05/01/2025,沙田,318,12,12,草地,C+3,1200,5,好,廚師發辦,9,34,徐雨石,H,1022,124
CHA,陳嘉熙,Previous,29/12/2024,沙田,298,9,14,草地,B+2,1400,5,好,高氣派,4,30,徐雨石,B/TT,1028,120
CHA,陳嘉熙,Previous,09/10/2024,跑馬地,89,8,12,草地,A,1200,4,好,健康心靈,8,55,沈集成,CP/TT,1079,126
CHA,陳嘉熙,Previous,01/10/2024,沙田,69,8,13,草地,C+3,1400,4,好/快,上駿奔騰,4,54,沈集成,CP/TT,1150,120
CHA,陳嘉熙,Previous,28/09/2024,沙田,57,1,10,草地,C,1200,4,好,非凡達,7,50,沈集成,TT,1100,124
