jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
CML,蔡明紹,Current,19/04/2026,沙田,622,5,12,草地,C+3,1400,3,好/快,和光同塵,1,63,巫偉傑,B/TT,1047,119
CML,蔡明紹,Current,19/04/2026,沙田,621,6,9,,,1200,3,好,電源之駒,7,65,廖康銘,B2,1095,115
CML,蔡明紹,Current,19/04/2026,沙田,619,14,14,,,1650,4,好,旭能精英,12,44,巫偉傑,H-/CP/TT,1044,119
CML,蔡明紹,Current,19/04/2026,沙田,618,4,14,草地,C+3,1600,4,好/快,江南勇士,7,41,呂健威,B/TT,1086,116
CML,蔡明紹,Current,19/04/2026,沙田,615,4,12,,,1200,5,好,謙謙君子,3,21,葉楚航,B/TT,1043,117
CML,蔡明紹,Current,19/04/2026,沙田,614,9,14,,,1800,5,好,閃耀威龍,7,38,文家良,B/TT,1100,133
CML,蔡明紹,Current,15/04/2026,跑馬地,611,11,12,草地,A,1200,4,好,加州得力,7,42,告東尼,B/TT,1081,117
CML,蔡明紹,Current,15/04/2026,跑馬地,609,11,11,草地,A,1650,3,好,時時開心,3,60,游達榮,XB,1056,116
CML,蔡明紹,Current,15/04/2026,跑馬地,608,7,12,草地,A,1800,4,好,揚威四海,11,40,葉楚航,SR-/B2,1060,115
CML,蔡明紹,Current,15/04/2026,跑馬地,606,12,12,草地,A,1650,5,好,科創世紀,5,34,蘇偉賢,CP/TT,1089,131
CML,蔡明紹,Current,15/04/2026,跑馬地,605,9,12,草地,A,1000,5,好,發光發亮,8,18,葉楚航,B,1050,115
CML,蔡明紹,Current,12/04/2026,沙田,599,10,12,草地,C,1200,4,好,海王,10,43,鄭俊偉,CP/TT,1182,118
CML,蔡明紹,Current,12/04/2026,沙田,597,11,14,草地,C,1400,4,好,最好玩,6,44,葉楚航,TT,1168,119
CML,蔡明紹,Current,12/04/2026,沙田,596,4,14,草地,C,1600,5,好,型到爆,10,33,蘇偉賢,E/P/TT,1034,129
CML,蔡明紹,Current,08/04/2026,跑馬地,592,2,12,草地,C+3,1200,3,好,富國兄弟,7,61,葉楚航,TT,1123,120
CML,蔡明紹,Current,08/04/2026,跑馬地,588,5,12,草地,C+3,1650,4,好,真叻仔,4,45,鄭俊偉,CP,1165,121
CML,蔡明紹,Current,06/04/2026,沙田,584,2,11,草地,B+2,2000,3,好,奔放,4,75,告東尼,TT,1160,130
CML,蔡明紹,Current,06/04/2026,沙田,581,5,10,草地,B+2,1400,3,好,包裝明將,3,62,姚本輝,CP,1123,120
CML,蔡明紹,Current,06/04/2026,沙田,579,7,12,草地,B+2,1000,3,好,智勝一籌,3,67,蘇偉賢,XB/TT,1033,124
CML,蔡明紹,Current,06/04/2026,沙田,578,11,14,草地,B+2,1200,4,好,健康小馬,6,52,鄭俊偉,CP/H,1011,128
CML,蔡明紹,Current,06/04/2026,沙田,575,7,14,草地,B+2,1200,5,好,發光發亮,9,20,葉楚航,XB-/B/TT-,1052,115
CML,蔡明紹,Current,06/04/2026,沙田,574,13,14,草地,B+2,1000,4,好,領航多財,3,52,鄭俊偉,TT1,1114,127
CML,蔡明紹,Current,01/04/2026,沙田,573,13,14,,,1650,3,好,超勝無敵,10,63,游達榮,B-/TT,1132,115
CML,蔡明紹,Current,01/04/2026,沙田,568,11,12,,,1200,4,好,越駿齊歡,11,57,羅富全,TT,1103,132
CML,蔡明紹,Current,01/04/2026,沙田,567,3,14,,,1650,4,好,火神神樂,9,50,蘇偉賢,BO,1096,126
CML,蔡明紹,Current,29/03/2026,沙田,563,6,13,草地,A+3,1200,3,好/快,蹺妙,1,60,游達榮,,1103,117
CML,蔡明紹,Current,29/03/2026,沙田,559,7,14,草地,A+3,1400,4,好/快,爆竹,8,44,告東尼,TT,1105,120
CML,蔡明紹,Current,29/03/2026,沙田,556,8,12,草地,A+3,2000,4,好/快,揚威四海,11,43,葉楚航,B-/SR1/TT-,1074,119
CML,蔡明紹,Current,25/03/2026,跑馬地,552,5,12,草地,B,1650,3,好,富國兄弟,10,63,葉楚航,P-/TT,1123,120
CML,蔡明紹,Current,25/03/2026,跑馬地,551,11,12,草地,B,1200,4,好,加州得力,5,44,告東尼,B/TT,1074,119
CML,蔡明紹,Current,25/03/2026,跑馬地,550,7,11,草地,B,1200,4,好,銳高,10,41,文家良,B/TT,1203,116
CML,蔡明紹,Current,25/03/2026,跑馬地,548,2,12,草地,B,1650,4,好,真叻仔,4,44,鄭俊偉,CP,1180,121
CML,蔡明紹,Current,25/03/2026,跑馬地,545,10,12,草地,B,2200,5,好,香港精神,7,36,葉楚航,B/TT,1054,131
CML,蔡明紹,Current,22/03/2026,沙田,542,4,13,草地,A,1800,3,好/快,奔放,13,76,告東尼,TT,1170,132
CML,蔡明紹,Current,22/03/2026,沙田,538,10,14,草地,A,1200,4,好/快,萬里鵬躍,5,48,蘇偉賢,TT,1204,123
CML,蔡明紹,Current,18/03/2026,跑馬地,534,9,12,草地,A,1650,3,好/快,爆笑,7,68,告東尼,TT,1098,124
