jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
DHA,杜苑欣,Current,23/12/2025,跑馬地,292,5,12,草地,C,1650,2,好,遙遙領先,10,90,呂健威,V,1073,127
DHA,杜苑欣,Current,23/12/2025,跑馬地,291,11,12,草地,C,1200,3,好,駿馬之光,9,64,告東尼,CP/TT,1037,119
DHA,杜苑欣,Current,23/12/2025,跑馬地,290,9,12,草地,C,1200,4,好,良駒好友,5,45,文家良,CP-/B2/TT,1185,122
DHA,杜苑欣,Current,23/12/2025,跑馬地,289,3,12,草地,C,2200,3,好,發財先鋒,9,63,羅富全,B,1141,121
DHA,杜苑欣,Current,23/12/2025,跑馬地,288,3,12,草地,C,1200,4,好,心裡有數,3,45,蘇偉賢,,1104,120
DHA,杜苑欣,Current,23/12/2025,跑馬地,287,4,12,草地,C,1200,4,好,金運來,5,46,文家良,XB-/B/TT,1127,122
DHA,杜苑欣,Current,23/12/2025,跑馬地,286,10,12,草地,C,1650,4,好,環球英雄,11,48,大衛希斯,B-/CP2,1129,125
DHA,杜苑欣,Current,23/12/2025,跑馬地,285,7,12,草地,C,1650,4,好,架勢奇爸,5,42,告東尼,TT,1164,117
DHA,杜苑欣,Current,23/12/2025,跑馬地,284,4,12,草地,C,1200,5,好,有心意,9,19,羅富全,TT,1163,115
DHA,杜苑欣,Current,20/12/2025,沙田,283,8,14,草地,C+3,1600,3,好,巴閉仔,12,73,呂健威,CP-/B2,1055,129
DHA,杜苑欣,Current,20/12/2025,沙田,282,1,14,草地,C+3,1400,3,好,超勁赤兔,12,61,羅富全,E-/P/H1/TT,1145,118
DHA,杜苑欣,Current,20/12/2025,沙田,281,6,11,草地,C+3,1200,2,好,真心傳奇,10,84,蔡約翰,,1000,120
DHA,杜苑欣,Current,20/12/2025,沙田,280,2,11,草地,C+3,1200,3,好,八駿福昇,5,65,告東尼,B/TT,1174,120
DHA,杜苑欣,Current,20/12/2025,沙田,279,6,14,草地,C+3,1600,4,好,風火恆雲,5,48,姚本輝,B,1125,123
DHA,杜苑欣,Current,20/12/2025,沙田,278,5,14,草地,C+3,1400,4,好,部族高手,2,47,黎昭昇,CP/TT,1254,122
DHA,杜苑欣,Current,20/12/2025,沙田,277,4,12,草地,C+3,1200,4,好,好精神,4,49,葉楚航,CP,1100,124
DHA,杜苑欣,Current,20/12/2025,沙田,276,11,14,草地,C+3,1000,4,好,金快飛飛,1,41,丁冠豪,B/SR2/TT,1100,116
DHA,杜苑欣,Current,20/12/2025,沙田,275,2,14,草地,C+3,1400,5,好,籐王駒,2,40,文家良,TT,1086,135
DHA,杜苑欣,Current,20/12/2025,沙田,273,7,14,草地,C+3,1400,5,好,鼓浪飛凡,2,25,文家良,B/TT,1115,120
DHA,杜苑欣,Current,17/12/2025,跑馬地,272,3,12,草地,B,1650,3,好,勁進駒,8,61,呂健威,CP,1024,118
DHA,杜苑欣,Current,17/12/2025,跑馬地,271,4,12,草地,B,1000,3,好,巴閉王,9,60,呂健威,,1024,115
DHA,杜苑欣,Current,17/12/2025,跑馬地,270,3,12,草地,B,1200,4,好,自動自覺,7,54,羅富全,TT,1142,130
DHA,杜苑欣,Current,17/12/2025,跑馬地,269,9,12,草地,B,1800,4,好,雙贏,7,54,文家良,V/XB/TT,1149,129
DHA,杜苑欣,Current,17/12/2025,跑馬地,268,5,12,草地,B,1200,4,好,加州得力,12,48,告東尼,B/TT,1095,124
DHA,杜苑欣,Current,17/12/2025,跑馬地,267,10,12,草地,B,1650,4,好,君智盛,2,48,姚本輝,CP-/V2/TT,1137,123
DHA,杜苑欣,Current,17/12/2025,跑馬地,266,7,12,草地,B,1200,4,好,勇威神駒,3,52,沈集成,B/TT,1161,129
DHA,杜苑欣,Current,17/12/2025,跑馬地,265,7,12,草地,B,1000,5,好,開心馬,10,32,文家良,H-/P-/B2/TT,1144,128
DHA,杜苑欣,Current,17/12/2025,跑馬地,264,4,12,草地,B,2200,5,好,皮具大師,6,26,文家良,V,1143,121
DHA,杜苑欣,Current,14/12/2025,沙田,263,2,14,草地,A,1400,2,好,飛鷹翱翔,10,90,伍鵬志,,1089,120
DHA,杜苑欣,Current,14/12/2025,沙田,262,6,14,草地,A,1400,3,好,皇仁歡星,4,66,姚本輝,SR-/TT,1168,121
DHA,杜苑欣,Current,14/12/2025,沙田,259,13,14,草地,A,1800,3,好,智多多寶,7,60,大衛希斯,H/XB/TT,1092,117
DHA,杜苑欣,Current,14/12/2025,沙田,258,13,13,草地,A,1200,G1,好,開心寶寶,10,102,呂健威,TT,1133,126
DHA,杜苑欣,Current,14/12/2025,沙田,255,6,13,草地,A,1200,3,好,耀寶,6,75,羅富全,E-/XB/H1/TT,1137,132
DHA,杜苑欣,Current,14/12/2025,沙田,254,7,14,草地,A,1400,4,好,有情有義,5,48,蘇偉賢,TT1,1162,121
DHA,杜苑欣,Current,10/12/2025,跑馬地,253,12,12,草地,A,1800,2,好,當年情,6,85,告東尼,TT,1012,125
DHA,杜苑欣,Current,10/12/2025,跑馬地,252,4,12,草地,A,1200,3,好,飛龍在天,1,67,方嘉柏,,1177,126
DHA,杜苑欣,Current,10/12/2025,跑馬地,251,4,12,草地,A,1650,3,好,富國兄弟,1,66,葉楚航,TT,1131,124
DHA,杜苑欣,Current,10/12/2025,跑馬地,250,6,12,草地,A,1200,4,好,亮寶,8,42,羅富全,XB/TT,1087,117
DHA,杜苑欣,Current,10/12/2025,跑馬地,249,7,12,草地,A,1650,4,好,耀昌勝世,8,42,葉楚航,V,1158,118
DHA,杜苑欣,Current,10/12/2025,跑馬地,248,4,12,草地,A,1000,4,好,枕頭之星,3,50,廖康銘,B,1156,125
DHA,杜苑欣,Current,10/12/2025,跑馬地,246,7,12,草地,A,1200,5,好,精英至尊,10,38,沈集成,B/TT,1111,133
DHA,杜苑欣,Current,10/12/2025,跑馬地,245,4,12,草地,A,1650,5,好,荃程路通,1,38,文家良,TT,1065,133
DHA,杜苑欣,Current,03/12/2025,跑馬地,234,10,12,草地,C+3,1800,3,好,唯美主義,10,66,伍鵬志,B,1059,122
DHA,杜苑欣,Current,03/12/2025,跑馬地,233,4,12,草地,C+3,1000,3,好,巴閉王,10,60,呂健威,,1042,117
DHA,杜苑欣,Current,03/12/2025,跑馬地,232,2,12,草地,C+3,1200,4,好,心裡有數,5,43,蘇偉賢,,1092,118
DHA,杜苑欣,Current,03/12/2025,跑馬地,230,6,12,草地,C+3,1200,4,好,金快飛飛,12,43,丁冠豪,B/TT,1100,120
DHA,杜苑欣,Current,03/12/2025,跑馬地,228,1,12,草地,C+3,2200,4,好,雙贏,1,48,文家良,V/XB/TT,1145,123
DHA,杜苑欣,Current,03/12/2025,跑馬地,227,3,12,草地,C+3,1000,5,好,有心意,5,17,羅富全,V-/TT,1166,115
DHA,杜苑欣,Current,30/11/2025,沙田,226,12,14,草地,C,1600,3,好,元朗精英,12,75,文家良,B2/TT,1152,130
DHA,杜苑欣,Current,30/11/2025,沙田,224,4,14,草地,C,1000,2,好,英雄豪傑,5,82,文家良,V/TT,1236,115
DHA,杜苑欣,Current,30/11/2025,沙田,223,13,14,草地,C,1600,2,好,潮州精神,2,84,文家良,B/TT,1210,117
DHA,杜苑欣,Current,30/11/2025,沙田,222,1,12,,,1200,3,好,樂勝天下,10,62,姚本輝,TT,1165,120
DHA,杜苑欣,Current,30/11/2025,沙田,221,7,14,草地,C,1600,4,好,爆出美麗,11,54,告東尼,B-/TT,1174,131
DHA,杜苑欣,Current,30/11/2025,沙田,219,7,12,,,1200,4,好,機械騎士,8,42,文家良,B/TT,1108,119
DHA,杜苑欣,Current,30/11/2025,沙田,218,8,14,草地,C,1400,5,好,添喜運,1,34,伍鵬志,B/TT,1225,129
DHA,杜苑欣,Current,26/11/2025,跑馬地,215,3,12,草地,C,1650,3,好/快,勁進駒,12,61,呂健威,CP,1025,118
DHA,杜苑欣,Current,26/11/2025,跑馬地,214,6,12,草地,C,1650,4,好/快,祥勝將軍,8,42,韋達,TT,1088,117
DHA,杜苑欣,Current,26/11/2025,跑馬地,213,5,12,草地,C,1200,4,好/快,自動自覺,10,54,羅富全,TT,1126,129
DHA,杜苑欣,Current,26/11/2025,跑馬地,212,6,12,草地,C,1800,4,好/快,中國心,12,50,大衛希斯,B,1085,126
DHA,杜苑欣,Current,26/11/2025,跑馬地,211,7,12,草地,C,1200,4,好/快,祥龍駒,6,47,伍鵬志,B/TT,1106,122
DHA,杜苑欣,Current,26/11/2025,跑馬地,210,11,12,草地,C,1200,4,好/快,運籌帷幄,4,49,桂福特,,1087,124
DHA,杜苑欣,Current,26/11/2025,跑馬地,209,2,12,草地,C,1650,5,好/快,荃程路通,10,37,文家良,TT,1061,132
DHA,杜苑欣,Current,26/11/2025,跑馬地,208,7,12,草地,C,1200,5,好/快,有心意,4,19,羅富全,B-/V1/TT,1169,116
DHA,杜苑欣,Current,23/11/2025,沙田,206,12,14,草地,B+2,1200,3,好/快,八駿福昇,3,66,告東尼,B/TT,1173,121
DHA,杜苑欣,Current,23/11/2025,沙田,204,2,13,草地,B+2,1600,G2,好/快,陽光勇士,13,107,姚本輝,,1103,123
DHA,杜苑欣,Current,23/11/2025,沙田,203,9,10,草地,B+2,1200,G2,好/快,開心寶寶,4,102,呂健威,TT,1137,123
DHA,杜苑欣,Current,23/11/2025,沙田,202,3,13,草地,B+2,1400,3,好,超勁赤兔,6,62,羅富全,E/P1/TT,1147,118
DHA,杜苑欣,Current,23/11/2025,沙田,201,9,14,草地,B+2,2000,3,好,清雲龍駒,8,64,賀賢,B,1125,115
DHA,杜苑欣,Current,23/11/2025,沙田,200,10,14,草地,B+2,1400,4,好,隋我同來,10,49,桂福特,XB/TT,1161,124
DHA,杜苑欣,Current,23/11/2025,沙田,199,13,14,草地,B+2,1400,4,好,超開心,11,50,告東尼,B-/TT,1128,126
DHA,杜苑欣,Current,15/11/2025,沙田,188,12,14,草地,A+3,1600,3,好,加州熱浪,7,67,巫偉傑,XB/CP1/TT,1126,122
DHA,杜苑欣,Current,15/11/2025,沙田,187,9,14,,,1650,3,好,天時明駒,9,65,大衛希斯,BO/TT,1102,123
DHA,杜苑欣,Current,15/11/2025,沙田,185,9,14,草地,A+3,1200,2,好,人和家興,5,86,大衛希斯,B/TT,1215,124
DHA,杜苑欣,Current,15/11/2025,沙田,183,13,14,草地,A+3,1400,4,好,小皇爺,6,42,葉楚航,CP1,1070,119
DHA,杜苑欣,Current,15/11/2025,沙田,182,10,14,草地,A+3,1000,3,好,飛馬座,2,66,徐雨石,,1142,121
DHA,杜苑欣,Current,15/11/2025,沙田,181,1,14,草地,A+3,2000,4,好,雙贏,11,42,文家良,V/XB/TT,1140,119
DHA,杜苑欣,Current,15/11/2025,沙田,180,12,14,草地,A+3,1800,5,好,悠悠乾坤,8,34,大衛希斯,CP/TT,1047,129
DHA,杜苑欣,Current,15/11/2025,沙田,179,11,14,草地,A+3,1200,4R,好,旌採,1,52,姚本輝,,1096,124
DHA,杜苑欣,Previous,19/02/2025,跑馬地,445,8,12,草地,B,1200,3,好,安都,4,60,黎昭昇,CP-/B1/TT,1177,118
DHA,杜苑欣,Previous,19/02/2025,跑馬地,444,3,12,草地,B,1200,3,好,志滿同行,1,63,大衛希斯,SR/TT,1151,121
DHA,杜苑欣,Previous,19/02/2025,跑馬地,443,5,12,草地,B,1800,3,好,建測羣英,3,71,大衛希斯,CP/TT,1188,122
DHA,杜苑欣,Previous,19/02/2025,跑馬地,442,10,12,草地,B,1000,4,好,中華威威,11,45,徐雨石,B,1246,120
DHA,杜苑欣,Previous,19/02/2025,跑馬地,441,2,12,草地,B,1650,4,好,非凡豪傑,9,59,巫偉傑,TT,1002,134
DHA,杜苑欣,Previous,19/02/2025,跑馬地,440,2,12,草地,B,1200,4,好,城中勇士,11,44,沈集成,TT,1077,119
DHA,杜苑欣,Previous,19/02/2025,跑馬地,438,11,12,草地,B,1200,5,好,東方寶寶,1,35,徐雨石,H/P/TT,1086,131
DHA,杜苑欣,Previous,16/02/2025,沙田,436,9,11,草地,C+3,1200,3,好/快,友瑩仁,11,62,伍鵬志,P-/PC1/TT,1087,115
DHA,杜苑欣,Previous,16/02/2025,沙田,435,11,14,草地,C+3,1000,3,好/快,燭光晚餐,14,62,徐雨石,H,1122,122
DHA,杜苑欣,Previous,16/02/2025,沙田,434,11,14,草地,C+3,1600,2,好/快,浪漫戰神,8,82,沈集成,B-/XB-/TT-,1111,119
DHA,杜苑欣,Previous,16/02/2025,沙田,433,10,14,草地,C+3,1800,3,好/快,南莊堡,9,62,沈集成,,1146,118
DHA,杜苑欣,Previous,16/02/2025,沙田,432,1,14,草地,C+3,1800,4,好/快,發財秘笈,10,47,丁冠豪,B/H/XB,1047,124
DHA,杜苑欣,Previous,16/02/2025,沙田,431,3,14,草地,C+3,1400,4,好/快,快樂老撾,2,45,姚本輝,CP/TT,1190,120
DHA,杜苑欣,Previous,16/02/2025,沙田,430,11,14,草地,C+3,1400,4,好/快,金發銀發,8,43,呂健威,B,1199,118
DHA,杜苑欣,Previous,16/02/2025,沙田,429,3,12,草地,C+3,1200,4,好/快,騰龍四海,12,52,文家良,B,1187,128
DHA,杜苑欣,Previous,16/02/2025,沙田,428,11,12,草地,C+3,1200,4,好/快,東方福寶,2,48,徐雨石,TT1,1112,123
DHA,杜苑欣,Previous,04/12/2024,跑馬地,238,11,12,草地,A,1200,3,好,超霸勝,10,63,韋達,B,1080,120
DHA,杜苑欣,Previous,04/12/2024,跑馬地,237,1,12,草地,A,1650,3,好,太陽勇士,3,64,大衛希斯,XB,1100,120
DHA,杜苑欣,Previous,04/12/2024,跑馬地,236,10,12,草地,A,1200,4,好,環球英雄,12,46,大衛希斯,B-,1102,122
DHA,杜苑欣,Previous,04/12/2024,跑馬地,235,8,12,草地,A,1650,4,好,陸知,11,50,黎昭昇,TT,1208,125
DHA,杜苑欣,Previous,04/12/2024,跑馬地,234,6,12,草地,A,1000,4,好,快步流星,10,48,賀賢,,1201,125
