jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
DMK,董明朗,Current,30/11/2025,沙田,224,3,14,草地,C,1000,2,好,水晶酒杯,9,87,桂福特,B/TT,1237,117
DMK,董明朗,Current,30/11/2025,沙田,223,14,14,草地,C,1600,2,好,星幻,10,83,韋達,SR-/B2,1092,117
DMK,董明朗,Current,26/11/2025,跑馬地,210,10,12,草地,C,1200,4,好/快,金駿星,10,51,韋達,CP/XB,1142,126
DMK,董明朗,Current,26/11/2025,跑馬地,208,8,12,草地,C,1200,5,好/快,歡樂飛駒,2,37,呂健威,XB/CP1,1198,134
DMK,董明朗,Current,23/11/2025,沙田,204,6,13,草地,B+2,1600,G2,好/快,合夥奔馳,10,116,呂健威,XB,1136,123
DMK,董明朗,Current,23/11/2025,沙田,198,14,14,草地,B+2,1200,4,好,猶有心得,12,52,桂福特,,1131,127
DMK,董明朗,Current,19/11/2025,跑馬地,196,7,12,草地,B,1200,3,好,超霸勝,6,61,韋達,B,1083,120
DMK,董明朗,Current,19/11/2025,跑馬地,195,2,11,草地,B,1650,4,好,醒目先駒,10,60,蘇偉賢,,1072,135
DMK,董明朗,Current,19/11/2025,跑馬地,194,2,12,草地,B,1200,4,好,紅錢到,12,46,呂健威,H/XB,1194,121
DMK,董明朗,Current,15/11/2025,沙田,181,4,14,草地,A+3,2000,4,好,龍船快,3,51,桂福特,CP-/XB/V2,1149,128
DMK,董明朗,Current,15/11/2025,沙田,179,6,14,草地,A+3,1200,4R,好,都靈冠星,8,52,大衛希斯,SR1,1026,124
DMK,董明朗,Current,12/11/2025,跑馬地,173,11,12,草地,A,1650,4,好/快,飛騰騅,10,54,方嘉柏,V2/TT,1102,130
DMK,董明朗,Current,12/11/2025,跑馬地,170,6,12,草地,A,1650,5,好,龍又生,9,31,呂健威,CP,998,126
DMK,董明朗,Current,09/11/2025,沙田,163,10,14,草地,C+3,1600,4,好,威武年代,5,53,呂健威,V-/B2/TT,1211,128
DMK,董明朗,Current,09/11/2025,沙田,161,11,14,草地,C+3,1000,4,好,紅錢到,13,46,呂健威,H/XB,1202,121
DMK,董明朗,Current,09/11/2025,沙田,160,4,14,草地,C+3,1600,5,好,極速之子,13,23,姚本輝,P,1059,119
