jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
GM,紀仁安,Current,01/03/2026,沙田,484,5,14,草地,B+2,2000,3,好,豐辰,1,67,徐雨石,H,1112,119
GM,紀仁安,Current,01/03/2026,沙田,482,9,11,草地,B+2,1200,3,好,鑽石星空,1,77,徐雨石,TT,1191,135
GM,紀仁安,Current,01/03/2026,沙田,477,6,14,草地,B+2,1400,4,好,猛將兄,13,46,黎昭昇,V/TT,1157,121
GM,紀仁安,Current,01/03/2026,沙田,476,4,14,草地,B+2,1400,4,好,開心菓,9,42,蔡約翰,E-/TT,1084,119
GM,紀仁安,Current,01/03/2026,沙田,475,7,14,草地,B+2,1800,4,好,小飛俠,2,51,蔡約翰,B,1149,126
GM,紀仁安,Current,25/02/2026,跑馬地,474,12,12,草地,B,1200,3,好,安泰,4,62,蔡約翰,XB,1072,118
GM,紀仁安,Current,25/02/2026,跑馬地,473,2,12,草地,B,1200,3,好,泰泰精神,3,62,蔡約翰,,1056,119
GM,紀仁安,Current,25/02/2026,跑馬地,472,7,12,草地,B,1650,3,好,爆得美麗,1,63,蔡約翰,,1133,122
GM,紀仁安,Current,25/02/2026,跑馬地,470,1,12,草地,B,1200,4,好,彩虹七色,2,45,呂健威,B/TT,1070,120
GM,紀仁安,Current,25/02/2026,跑馬地,466,5,12,草地,B,1200,5,好,城中勇士,12,35,黎昭昇,B1/TT,1104,130
GM,紀仁安,Current,22/02/2026,沙田,464,2,14,草地,A+3,1600,3,好,超勁赤兔,5,68,羅富全,H/P/TT,1143,126
GM,紀仁安,Current,22/02/2026,沙田,462,8,10,草地,A+3,1400,G1,好,手機錶霸,6,115,呂健威,XB,1214,126
GM,紀仁安,Current,22/02/2026,沙田,461,3,14,草地,A+3,1400,4,好,大回報,7,47,黎昭昇,H/TT,1101,122
GM,紀仁安,Current,22/02/2026,沙田,457,4,14,草地,A+3,1800,5,好,光輝歲月,7,37,游達榮,B-/XB-/TT,1107,132
GM,紀仁安,Current,22/02/2026,沙田,456,8,14,草地,A+3,1200,4,好,士登,7,53,巫偉傑,TT,1146,130
GM,紀仁安,Current,19/02/2026,沙田,454,2,13,草地,A,1400,3,好,綠野飛馳,4,74,蔡約翰,TT,1100,131
GM,紀仁安,Current,19/02/2026,沙田,452,7,14,草地,A,2000,3,好,豐辰,9,67,徐雨石,H,1137,123
GM,紀仁安,Current,19/02/2026,沙田,451,3,14,草地,A,1200,3,好,傑出雷霆,2,64,呂健威,,1174,122
GM,紀仁安,Current,19/02/2026,沙田,450,3,14,草地,A,1400,4,好,威武年代,10,60,呂健威,B/TT,1188,135
GM,紀仁安,Current,19/02/2026,沙田,449,2,10,草地,A,1600,2,好,喜尊龍,1,84,蘇偉賢,TT,1115,118
GM,紀仁安,Current,19/02/2026,沙田,447,4,14,草地,A,1200,4,好,天天更好,7,44,羅富全,H/P1/TT,1141,120
GM,紀仁安,Current,19/02/2026,沙田,444,11,14,草地,A,1200,5,好,添喜運,10,30,伍鵬志,B/TT,1215,126
GM,紀仁安,Current,11/02/2026,跑馬地,431,6,11,草地,A,1200,4,好/快,陸小鳳,6,43,葉楚航,,1038,119
GM,紀仁安,Current,11/02/2026,跑馬地,430,6,12,草地,A,1650,3,好/快,電訊巴打,1,77,徐雨石,,1133,134
GM,紀仁安,Current,11/02/2026,跑馬地,429,5,12,草地,A,1000,4,好/快,萬眾開心,4,48,黎昭昇,B-/CP1/TT,1188,125
GM,紀仁安,Current,11/02/2026,跑馬地,427,12,12,草地,A,1650,4,好/快,心愛的,10,43,蔡約翰,E,1125,120
GM,紀仁安,Current,11/02/2026,跑馬地,426,8,12,草地,A,1000,5,好/快,千杯,8,40,告東尼,TT,1076,135
GM,紀仁安,Current,11/02/2026,跑馬地,425,2,12,草地,A,1650,5,好/快,電訊驕陽,2,38,徐雨石,B,1069,134
GM,紀仁安,Current,08/02/2026,沙田,424,4,14,草地,C,1800,3,好,豐辰,14,67,徐雨石,H,1129,118
GM,紀仁安,Current,08/02/2026,沙田,423,5,14,草地,C,1400,3,好,紫荊拼搏,6,63,大衛希斯,,1073,118
GM,紀仁安,Current,08/02/2026,沙田,422,6,12,,,1200,3,好,星火燎原,9,66,徐雨石,B,1169,120
GM,紀仁安,Current,08/02/2026,沙田,420,7,12,草地,C,1200,3,好,飛馬座,2,71,徐雨石,TT,1157,127
GM,紀仁安,Current,08/02/2026,沙田,416,9,13,草地,C,1400,4,好,威力非凡,12,45,賀賢,XB,1062,120
GM,紀仁安,Current,08/02/2026,沙田,415,2,12,,,1200,4,好,馬錢子,10,60,徐雨石,,1315,135
GM,紀仁安,Current,08/02/2026,沙田,414,1,14,草地,C,1400,5,好,全神貫注,8,33,姚本輝,B,1108,128
GM,紀仁安,Current,04/02/2026,跑馬地,413,4,12,草地,C+3,1650,3,好/快,將義,1,67,巫偉傑,TT,1140,124
GM,紀仁安,Current,04/02/2026,跑馬地,410,1,11,草地,C+3,1000,3,好/快,燭光晚餐,5,71,徐雨石,H,1155,127
GM,紀仁安,Current,04/02/2026,跑馬地,409,8,12,草地,C+3,1650,4,好/快,得意佳作,2,54,姚本輝,TT,1100,129
GM,紀仁安,Current,04/02/2026,跑馬地,408,11,12,草地,C+3,1800,4,好/快,獎星,7,49,羅富全,B/TT,1184,126
GM,紀仁安,Current,04/02/2026,跑馬地,407,2,8,草地,C+3,1650,2,好/快,太陽勇士,7,90,大衛希斯,XB-/TT1,1121,121
GM,紀仁安,Current,04/02/2026,跑馬地,406,7,12,草地,C+3,1200,4,好/快,天下寵兒,6,50,呂健威,B,1117,129
