jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
HAA,賀銘年,Previous,16/07/2025,跑馬地,847,3,12,草地,B,1200,3,好/快,維港激流,12,62,伍鵬志,TT,1035,119
HAA,賀銘年,Previous,16/07/2025,跑馬地,845,11,12,草地,B,1650,3,好/快,多巴先生,6,70,葉楚航,V-/TT-,1172,129
HAA,賀銘年,Previous,16/07/2025,跑馬地,844,12,12,草地,B,1650,4,好/快,超平凡,10,58,文家良,CP/TT,1140,133
HAA,賀銘年,Previous,16/07/2025,跑馬地,843,12,12,草地,B,1200,4,好/快,飛馬更威,12,52,賀賢,XB-/H1/TT1,1035,128
HAA,賀銘年,Previous,16/07/2025,跑馬地,842,4,12,草地,B,1800,4,好/快,歡樂老撾,9,48,姚本輝,H/TT,1023,124
HAA,賀銘年,Previous,16/07/2025,跑馬地,841,6,12,草地,B,1200,4,好/快,加州本事,12,48,巫偉傑,B/TT,1065,123
HAA,賀銘年,Previous,16/07/2025,跑馬地,840,2,11,草地,B,1200,4,好/快,紅錢到,1,45,呂健威,H/XB,1193,120
HAA,賀銘年,Previous,13/07/2025,沙田,838,9,14,草地,A,1400,3,好/快,自力更生,13,69,鄭俊偉,B/TT,1009,126
HAA,賀銘年,Previous,13/07/2025,沙田,837,8,14,草地,A,1200,3,好/快,哥倫布,7,65,方嘉柏,TT1,1107,122
HAA,賀銘年,Previous,13/07/2025,沙田,834,8,14,草地,A,1200,4,好/快,特別美麗,14,48,羅富全,PC,1197,126
HAA,賀銘年,Previous,13/07/2025,沙田,829,5,13,草地,A,1400,5,好/快,劍無情,1,39,告東尼,B/TT,1185,134
HAA,賀銘年,Previous,13/07/2025,沙田,828,3,14,草地,A,1400,5,好/快,熊噹噹,4,38,蘇偉賢,V/TT,1254,133
HAA,賀銘年,Previous,09/07/2025,跑馬地,827,10,12,草地,A,1200,3,好/快,雪勇神駒,7,72,沈集成,TT,1143,129
HAA,賀銘年,Previous,09/07/2025,跑馬地,823,1,12,草地,A,1650,4,好/快,赤馬雄風,5,48,大衛希斯,B/TT,1228,123
HAA,賀銘年,Previous,09/07/2025,跑馬地,821,9,12,草地,A,1200,4,好/快,旌鷹,4,60,姚本輝,TT,1186,135
HAA,賀銘年,Previous,05/07/2025,沙田,815,7,13,草地,C+3,1800,4,好/快,錶之星球,1,47,游達榮,B1,1082,122
HAA,賀銘年,Previous,05/07/2025,沙田,808,5,12,草地,C+3,1200,GRIFFIN,好/快,隋我同來,5,,容天鵬,TT1,1150,121
HAA,賀銘年,Previous,01/07/2025,沙田,805,13,14,草地,C,1600,4,好,超眼光,7,47,蔡約翰,B,1083,124
HAA,賀銘年,Previous,01/07/2025,沙田,803,1,14,草地,C,1400,4,好,百勝威龍,14,47,呂健威,B,1161,122
HAA,賀銘年,Previous,01/07/2025,沙田,801,2,12,草地,C,1200,4,好,加州本事,6,47,巫偉傑,CP-/B1/TT,1073,122
HAA,賀銘年,Previous,01/07/2025,沙田,800,6,14,草地,C,1400,4,好,旗幟鬥士,14,53,方嘉柏,B2/TT,1045,128
HAA,賀銘年,Previous,01/07/2025,沙田,798,10,14,草地,C,1800,5,好,碧海藍天,7,32,蔡約翰,H/TT,1012,127
HAA,賀銘年,Previous,28/06/2025,沙田,797,1,14,草地,B,1400,3,好,自力更生,4,62,鄭俊偉,B/TT,1019,120
HAA,賀銘年,Previous,28/06/2025,沙田,795,5,13,草地,B,1400,4,好,特別美麗,10,50,羅富全,PC,1200,125
HAA,賀銘年,Previous,28/06/2025,沙田,793,13,13,,,1650,4,濕慢,至臻完美,8,52,巫偉傑,TT,1151,127
HAA,賀銘年,Previous,28/06/2025,沙田,792,8,14,草地,B,1200,4,好,洛河,3,46,丁冠豪,CP/TT,1161,121
HAA,賀銘年,Previous,28/06/2025,沙田,790,9,14,草地,B,1200,4,好,超步速,1,52,方嘉柏,TT,1039,127
HAA,賀銘年,Previous,28/06/2025,沙田,789,9,10,草地,B,2000,3,好,多巴先生,6,73,葉楚航,V2/TT,1173,126
HAA,賀銘年,Previous,28/06/2025,沙田,788,8,14,草地,B,1200,5,好,辣得凌厲,1,35,巫偉傑,CP/TT,1102,128
HAA,賀銘年,Previous,28/06/2025,沙田,787,5,14,草地,B,1400,5,好,馬有運,4,29,容天鵬,B,1160,124
HAA,賀銘年,Previous,25/06/2025,跑馬地,786,6,12,草地,C,1200,3,好/快,天足貓,8,78,巫偉傑,CP2/TT,1093,133
HAA,賀銘年,Previous,25/06/2025,跑馬地,785,12,12,草地,C,1650,3,好/快,澳嘉輝,4,65,游達榮,B/XB/TT,1207,124
HAA,賀銘年,Previous,25/06/2025,跑馬地,784,10,12,草地,C,1650,4,好/快,輕鬆大少,5,42,文家良,TT,997,117
HAA,賀銘年,Previous,25/06/2025,跑馬地,783,9,12,草地,C,1200,4,好/快,飛黃,12,44,容天鵬,CP/H/XB,1071,119
HAA,賀銘年,Previous,25/06/2025,跑馬地,782,8,12,草地,C,1000,3,好/快,金匯昇昇,7,61,蔡約翰,B/TT,1003,117
HAA,賀銘年,Previous,25/06/2025,跑馬地,781,7,12,草地,C,1650,4,好/快,獵寶勤,11,49,蔡約翰,B,1026,124
