jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
KRW,金誠剛,Current,19/04/2026,沙田,624,14,14,草地,C+3,1800,2,好/快,新意馬,9,90,廖康銘,TT,1131,125
KRW,金誠剛,Current,19/04/2026,沙田,621,5,9,,,1200,3,好,愛馬善,3,84,鄭俊偉,B,1162,134
KRW,金誠剛,Current,19/04/2026,沙田,620,9,12,,,1200,4,好,勇者無敵,12,44,韋達,SR/XB/TT,1105,119
KRW,金誠剛,Current,19/04/2026,沙田,619,11,14,,,1650,4,好,風繼續吹,10,50,鄭俊偉,B,1167,125
KRW,金誠剛,Current,19/04/2026,沙田,618,11,14,草地,C+3,1600,4,好/快,風捲殘雲,13,52,廖康銘,H/TT,1052,127
KRW,金誠剛,Current,19/04/2026,沙田,617,8,14,草地,C+3,1400,4,好/快,馬上盈,3,51,游達榮,TT,1097,126
KRW,金誠剛,Current,19/04/2026,沙田,616,14,14,草地,C+3,1000,4,好/快,摘星聲升,6,48,鄭俊偉,B1,1090,123
KRW,金誠剛,Current,19/04/2026,沙田,615,12,12,,,1200,5,好,花香月明,5,39,游達榮,XB/TT,1103,135
KRW,金誠剛,Current,19/04/2026,沙田,614,10,14,,,1800,5,好,香港精神,3,36,葉楚航,B/TT,1064,131
KRW,金誠剛,Current,15/04/2026,跑馬地,613,12,12,草地,A,1200,3,好,勇進駒,9,65,姚本輝,CP2,1036,122
KRW,金誠剛,Current,15/04/2026,跑馬地,612,6,11,草地,A,1650,3,好,佳登,5,60,游達榮,XB,1041,119
KRW,金誠剛,Current,15/04/2026,跑馬地,607,2,12,草地,A,1650,4,好,時間寶,6,43,姚本輝,V,1155,118
KRW,金誠剛,Current,12/04/2026,沙田,604,2,12,草地,C,1200,2,好,扶搖勢勁,8,82,姚本輝,,1100,117
KRW,金誠剛,Current,12/04/2026,沙田,602,7,12,草地,C,1400,3,好,正義波,2,64,游達榮,TT,1220,122
KRW,金誠剛,Current,12/04/2026,沙田,601,9,12,草地,C,1600,3,好,高高至高,10,63,廖康銘,B/TT,1123,121
KRW,金誠剛,Current,12/04/2026,沙田,598,12,12,草地,C,1200,4,好,多多開心,7,46,鄭俊偉,SR/TT,1097,121
KRW,金誠剛,Current,12/04/2026,沙田,597,13,14,草地,C,1400,4,好,瑰麗人生,7,47,丁冠豪,V-/B2/TT,1074,122
KRW,金誠剛,Current,12/04/2026,沙田,595,14,14,草地,C,1400,5,好,駿先生,8,28,賀賢,B,1081,123
KRW,金誠剛,Current,08/04/2026,跑馬地,592,7,12,草地,C+3,1200,3,好,長勝隊長,12,63,伍鵬志,TT,999,122
KRW,金誠剛,Current,08/04/2026,跑馬地,590,9,12,草地,C+3,1200,4,好,閃電星福,6,47,沈集成,H/TT,1115,122
KRW,金誠剛,Current,08/04/2026,跑馬地,589,12,12,草地,C+3,1200,4,好,飛越晨曦,3,42,伍鵬志,PC-/H/XB/V1/TT,1102,119
KRW,金誠剛,Current,08/04/2026,跑馬地,588,6,12,草地,C+3,1650,4,好,明亮光輝,1,44,廖康銘,CP/TT,1112,120
KRW,金誠剛,Current,06/04/2026,沙田,583,9,10,草地,B+2,1400,2,好,新意馬,7,91,廖康銘,TT,1135,129
KRW,金誠剛,Current,06/04/2026,沙田,582,10,14,草地,B+2,1600,G2,好,手機錶霸,13,115,呂健威,XB,1215,123
KRW,金誠剛,Current,06/04/2026,沙田,581,10,10,草地,B+2,1400,3,好,騰龍踏雪,5,65,游達榮,H-/XB,1040,123
KRW,金誠剛,Current,06/04/2026,沙田,578,7,14,草地,B+2,1200,4,好,金快飛飛,5,44,丁冠豪,SR/TT,1093,120
KRW,金誠剛,Current,06/04/2026,沙田,577,9,14,草地,B+2,1400,4,好,勁砲王,10,52,游達榮,XB,1173,127
KRW,金誠剛,Current,01/04/2026,沙田,573,1,14,,,1650,3,好,將睿,8,72,游達榮,BO-/XB,1095,122
KRW,金誠剛,Current,01/04/2026,沙田,571,2,12,,,1200,4,好,勇者無敵,2,43,韋達,SR/XB/TT,1112,118
KRW,金誠剛,Current,01/04/2026,沙田,567,1,14,,,1650,4,好,風繼續吹,6,44,鄭俊偉,B,1160,120
