jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MCJ,麥道朗,Current,01/03/2026,沙田,483,7,14,草地,B+2,1800,4YO,好,美麗星晨,9,88,告東尼,TT,1127,126
MCJ,麥道朗,Current,01/03/2026,沙田,481,1,6,草地,B+2,2000,G1,好,浪漫勇士,4,136,沈集成,TT,1166,126
MCJ,麥道朗,Current,01/03/2026,沙田,480,5,11,草地,B+2,1200,3,好,臻至辰,5,68,蘇偉賢,TT,1079,125
MCJ,麥道朗,Current,01/03/2026,沙田,479,4,14,草地,B+2,1200,4,好,鼓浪好友,10,56,桂福特,,1171,132
MCJ,麥道朗,Current,01/03/2026,沙田,478,3,14,草地,B+2,1200,4,好,手機錶勁,13,58,呂健威,,1140,135
MCJ,麥道朗,Current,01/03/2026,沙田,475,9,14,草地,B+2,1800,4,好,智多多寶,4,58,大衛希斯,H,1095,133
MCJ,麥道朗,Current,01/02/2026,沙田,403,2,14,草地,B+2,1600,3,好,紫荊傳令,7,76,游達榮,XB1/TT,1084,129
MCJ,麥道朗,Current,01/02/2026,沙田,402,3,14,草地,B+2,1400,4,好,嵐臣,6,59,巫偉傑,SR1,1146,134
MCJ,麥道朗,Current,01/02/2026,沙田,401,3,14,草地,B+2,1600,4YO,好,美麗星晨,12,85,告東尼,TT,1135,126
MCJ,麥道朗,Current,01/02/2026,沙田,400,9,14,草地,B+2,1600,4,好,天蓬貓,7,49,巫偉傑,CP/H/TT,1204,124
MCJ,麥道朗,Current,01/02/2026,沙田,396,3,6,草地,B+2,1400,1,好,光年魅力,6,107,游達榮,,1235,132
MCJ,麥道朗,Current,25/01/2026,沙田,384,6,14,草地,A+3,1600,3,好/快,一定超,3,75,游達榮,XB,1150,133
MCJ,麥道朗,Current,25/01/2026,沙田,381,1,9,草地,A+3,1600,G1,好/快,浪漫勇士,7,135,沈集成,TT,1169,126
MCJ,麥道朗,Current,25/01/2026,沙田,379,3,7,草地,A+3,1200,G1,好/快,舉步生風,2,115,葉楚航,B/TT,1201,126
MCJ,麥道朗,Current,25/01/2026,沙田,378,6,14,草地,A+3,1400,4,好/快,源好運,7,51,廖康銘,,1149,126
MCJ,麥道朗,Current,25/01/2026,沙田,377,5,14,草地,A+3,1200,4,好/快,新力驕,13,50,蘇偉賢,TT,1161,125
MCJ,麥道朗,Current,25/01/2026,沙田,374,1,14,草地,A+3,1000,4,好,手機錶勁,11,52,呂健威,,1151,127
MCJ,麥道朗,Current,20/12/2025,沙田,283,5,14,草地,C+3,1600,3,好,一定超,9,75,游達榮,XB,1139,131
MCJ,麥道朗,Current,20/12/2025,沙田,282,7,14,草地,C+3,1400,3,好,豐盛,9,69,黎昭昇,TT,1146,126
MCJ,麥道朗,Current,20/12/2025,沙田,281,7,11,草地,C+3,1200,2,好,天天同樂,5,97,羅富全,TT,1051,133
MCJ,麥道朗,Current,20/12/2025,沙田,280,8,11,草地,C+3,1200,3,好,帥帥友福,8,73,鄭俊偉,P/TT,1106,128
MCJ,麥道朗,Current,20/12/2025,沙田,279,1,14,草地,C+3,1600,4,好,一世美麗,6,59,蔡約翰,H,1221,134
MCJ,麥道朗,Current,20/12/2025,沙田,278,1,14,草地,C+3,1400,4,好,嵐臣,1,52,巫偉傑,,1137,127
MCJ,麥道朗,Current,20/12/2025,沙田,277,2,12,草地,C+3,1200,4,好,葳莉非凡,11,60,方嘉柏,PC/TT,1161,135
MCJ,麥道朗,Current,20/12/2025,沙田,276,14,14,草地,C+3,1000,4,好,展雄威,13,60,廖康銘,B,1192,135
MCJ,麥道朗,Current,20/12/2025,沙田,275,8,14,草地,C+3,1400,5,好,銳一,1,38,桂福特,B/XB,1083,133
MCJ,麥道朗,Current,20/12/2025,沙田,274,6,12,草地,C+3,1200,4,好,新力驕,9,50,蘇偉賢,TT,1164,127
MCJ,麥道朗,Current,17/12/2025,跑馬地,272,1,12,草地,B,1650,3,好,有財有勢,3,70,蔡約翰,B,1101,127
MCJ,麥道朗,Current,17/12/2025,跑馬地,270,4,12,草地,B,1200,4,好,至合拍,10,57,沈集成,TT,1064,133
MCJ,麥道朗,Current,17/12/2025,跑馬地,268,3,12,草地,B,1200,4,好,比特星,4,51,賀賢,,1079,127
MCJ,麥道朗,Current,17/12/2025,跑馬地,266,1,12,草地,B,1200,4,好,臻至辰,12,58,蘇偉賢,,1084,135
MCJ,麥道朗,Current,17/12/2025,跑馬地,265,3,12,草地,B,1000,5,好,東方魅影,4,33,大衛希斯,B/TT,1067,129
MCJ,麥道朗,Current,17/12/2025,跑馬地,264,2,12,草地,B,2200,5,好,幸運同行,5,40,蔡約翰,B,1020,135
MCJ,麥道朗,Current,14/12/2025,沙田,262,10,14,草地,A,1400,3,好,久久為昇,2,72,賀賢,XB,1032,127
MCJ,麥道朗,Current,14/12/2025,沙田,261,1,7,草地,A,2000,G1,好,浪漫勇士,2,135,沈集成,TT,1168,126
MCJ,麥道朗,Current,14/12/2025,沙田,260,5,14,草地,A,1600,G1,好,錶之銀河,5,122,伍鵬志,B-/V1/TT,1168,126
MCJ,麥道朗,Current,14/12/2025,沙田,259,1,14,草地,A,1800,3,好,盈好威楓,6,71,姚本輝,V,1123,128
MCJ,麥道朗,Current,14/12/2025,沙田,258,3,13,草地,A,1200,G1,好,舉步生風,3,115,葉楚航,B/TT,1185,126
MCJ,麥道朗,Current,14/12/2025,沙田,257,6,11,草地,A,2400,G1,好,有目共賞,5,104,蔡約翰,E,1076,126
MCJ,麥道朗,Current,14/12/2025,沙田,256,9,14,草地,A,1200,4,好,福聚,11,54,賀賢,,1168,129
MCJ,麥道朗,Current,14/12/2025,沙田,255,1,13,草地,A,1200,3,好,喜蓮勁感,12,72,游達榮,H/XB/TT1,1169,129
MCJ,麥道朗,Current,10/12/2025,跑馬地,253,11,12,草地,A,1800,2,好,玩笑,8,94,伍鵬志,,1163,134
MCJ,麥道朗,Current,10/12/2025,跑馬地,252,9,12,草地,A,1200,3,好,天星,6,73,大衛希斯,B,1094,132
MCJ,麥道朗,Current,10/12/2025,跑馬地,251,6,12,草地,A,1650,3,好,暴風之子,7,69,徐雨石,B,1127,127
MCJ,麥道朗,Current,10/12/2025,跑馬地,250,4,12,草地,A,1200,4,好,賢者威楓,12,50,賀賢,H-,1073,125
MCJ,麥道朗,Current,10/12/2025,跑馬地,249,8,12,草地,A,1650,4,好,久久為尊,10,60,大衛希斯,B/TT,1237,135
MCJ,麥道朗,Current,10/12/2025,跑馬地,248,3,12,草地,A,1000,4,好,添開心,12,60,伍鵬志,V/TT,1206,135
MCJ,麥道朗,Current,10/12/2025,跑馬地,247,7,12,草地,A,1650,4,好,追風,12,58,羅富全,,1120,133
MCJ,麥道朗,Current,10/12/2025,跑馬地,245,10,12,草地,A,1650,5,好,威威父子,5,34,賀賢,V,997,129
MCJ,麥道朗,Current,07/12/2025,沙田,244,2,14,草地,C+3,1400,3,好,喜尊龍,10,80,蘇偉賢,TT,1114,135
MCJ,麥道朗,Current,07/12/2025,沙田,241,3,12,,,1200,4,好,星光快驅,7,52,黎昭昇,CP/TT,1111,128
