jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MDB,麥文堅,Current,25/03/2026,跑馬地,552,4,12,草地,B,1650,3,好,一定掂,6,77,姚本輝,,1089,134
MDB,麥文堅,Current,25/03/2026,跑馬地,551,7,12,草地,B,1200,4,好,大才,10,53,葉楚航,,1079,128
MDB,麥文堅,Current,25/03/2026,跑馬地,550,8,11,草地,B,1200,4,好,銀刺勇士,7,51,方嘉柏,TT,1114,126
MDB,麥文堅,Current,25/03/2026,跑馬地,545,9,12,草地,B,2200,5,好,古惑大師,11,36,大衛希斯,TT,1131,131
MDB,麥文堅,Current,22/03/2026,沙田,544,4,14,草地,A,1400,2,好/快,光年魅力,10,104,游達榮,,1233,135
MDB,麥文堅,Current,22/03/2026,沙田,543,2,12,草地,A,1400,3,好/快,綠野飛馳,11,77,蔡約翰,TT,1125,135
MDB,麥文堅,Current,22/03/2026,沙田,542,11,13,草地,A,1800,3,好/快,話你知,11,79,方嘉柏,TT,1238,135
MDB,麥文堅,Current,22/03/2026,沙田,541,4,14,草地,A,2000,4YO,好/快,錶之宇宙,6,89,文家良,B/TT,1271,126
MDB,麥文堅,Current,22/03/2026,沙田,540,7,10,草地,A,1200,3,好/快,米奇,8,77,蔡約翰,TT,1220,132
MDB,麥文堅,Current,22/03/2026,沙田,539,3,14,草地,A,1400,4,好/快,旌採,4,50,姚本輝,B,1102,125
MDB,麥文堅,Current,22/03/2026,沙田,538,4,14,草地,A,1200,4,好/快,遨遊波士,14,53,羅富全,B,1129,128
MDB,麥文堅,Current,22/03/2026,沙田,537,6,10,草地,A,1200,3,好/快,健康快車,1,73,蔡約翰,E,1146,130
MDB,麥文堅,Current,22/03/2026,沙田,535,12,14,草地,A,1600,4,好,本領輝煌,14,56,游達榮,TT,1075,132
MDB,麥文堅,Current,18/03/2026,跑馬地,527,3,12,草地,A,1650,4,好/快,森林之王,5,51,羅富全,,1118,126
MDB,麥文堅,Current,18/03/2026,跑馬地,526,,,草地,A,1650,5,好/快,至旺財,3,37,韋達,B,1067,133
MDB,麥文堅,Current,15/03/2026,沙田,525,11,12,草地,C+3,1400,3,好/快,同心同樂,9,75,游達榮,V/TT,1172,134
MDB,麥文堅,Current,15/03/2026,沙田,524,6,12,草地,C+3,1200,3,好/快,喜蓮勁感,5,79,游達榮,H-/XB/TT,1156,134
MDB,麥文堅,Current,15/03/2026,沙田,523,12,14,草地,C+3,1400,4,好/快,逍遙騎士,9,54,巫偉傑,B/TT,1085,129
MDB,麥文堅,Current,15/03/2026,沙田,522,3,12,,,1650,3,好,時時精準,7,73,游達榮,B/TT,1104,124
MDB,麥文堅,Current,15/03/2026,沙田,519,11,14,,,1650,4,好,年年友福,4,57,沈集成,B/TT,1214,132
MDB,麥文堅,Current,15/03/2026,沙田,518,9,12,草地,C+3,1200,4,好/快,大才,11,54,葉楚航,H-,1072,131
MDB,麥文堅,Current,15/03/2026,沙田,517,7,12,草地,C+3,1200,4,好/快,士登,11,51,巫偉傑,TT,1144,126
MDB,麥文堅,Current,15/03/2026,沙田,516,3,12,草地,C+3,1200,5,好/快,迅意,3,38,韋達,CP-/B1/TT,1178,131
MDB,麥文堅,Current,15/03/2026,沙田,515,5,14,,,1650,5,好,富裕君子,5,33,方嘉柏,TT,999,129
MDB,麥文堅,Current,11/03/2026,跑馬地,514,11,12,草地,C+3,1800,3,好/快,安帝,12,70,蔡約翰,TT,1048,124
MDB,麥文堅,Current,11/03/2026,跑馬地,513,10,11,草地,C+3,1200,3,好/快,手到齊來,5,67,徐雨石,B,1274,126
MDB,麥文堅,Current,11/03/2026,跑馬地,510,1,10,草地,C+3,1200,3,好/快,俏眼光,9,68,蔡約翰,H,1108,128
MDB,麥文堅,Current,11/03/2026,跑馬地,508,4,12,草地,C+3,1650,4,好/快,奮鬥輝煌,6,51,游達榮,B/TT,1067,128
MDB,麥文堅,Current,11/03/2026,跑馬地,506,8,12,草地,C+3,1000,5,好/快,獵寶勤,4,38,蔡約翰,B/TT,1055,133
MDB,麥文堅,Current,08/03/2026,沙田,504,9,12,草地,C,1200,1,好,光年魅力,10,106,游達榮,,1230,126
MDB,麥文堅,Current,08/03/2026,沙田,503,4,14,草地,C,1600,3,好,川河耀駒,2,76,游達榮,XB,1011,132
MDB,麥文堅,Current,08/03/2026,沙田,502,7,12,,,1200,3,好,錶之極光,7,78,文家良,V/TT,1255,128
MDB,麥文堅,Current,08/03/2026,沙田,500,2,12,草地,C,1200,4,好,八仟好運,11,58,蔡約翰,,1107,135
MDB,麥文堅,Current,08/03/2026,沙田,499,5,14,草地,C,1600,4,好,捷威,8,51,姚本輝,V,1134,126
MDB,麥文堅,Current,08/03/2026,沙田,496,3,14,草地,C,1400,5,好,全神貫注,1,40,姚本輝,B,1110,135
MDB,麥文堅,Current,04/03/2026,跑馬地,494,10,12,草地,C,1650,3,好,有財有勢,6,75,蔡約翰,B,1115,130
MDB,麥文堅,Current,04/03/2026,跑馬地,493,10,10,草地,C,1200,3,好,椒椒醒,1,68,廖康銘,B1/XB1/TT-,1211,127
MDB,麥文堅,Current,04/03/2026,跑馬地,492,5,12,草地,C,1650,4,好,有派頭,6,54,沈集成,B/TT,1181,129
MDB,麥文堅,Current,04/03/2026,跑馬地,491,4,10,草地,C,1200,3,好,浪漫鬥士,2,66,沈集成,XB-/TT1,1016,125
MDB,麥文堅,Current,04/03/2026,跑馬地,490,5,12,草地,C,1200,4,好,運來伍寶,2,53,游達榮,B/TT,1113,128
MDB,麥文堅,Current,04/03/2026,跑馬地,489,3,11,草地,C,1200,4,好,富心星,9,52,方嘉柏,B-/TT,1162,127
MDB,麥文堅,Current,04/03/2026,跑馬地,488,3,12,草地,C,2200,4,好,雙贏,1,53,文家良,V/XB/TT,1135,130
MDB,麥文堅,Current,04/03/2026,跑馬地,486,4,12,草地,C,1800,5,好/黏,古惑大師,2,37,大衛希斯,TT,1121,131
MDB,麥文堅,Current,01/03/2026,沙田,484,8,14,草地,B+2,2000,3,好,話你知,6,79,方嘉柏,TT,1238,130
MDB,麥文堅,Current,01/03/2026,沙田,483,3,14,草地,B+2,1800,4YO,好,錶之宇宙,13,84,文家良,B/TT1,1280,126
MDB,麥文堅,Current,01/03/2026,沙田,481,2,6,草地,B+2,2000,G1,好,安騁,1,99,蔡約翰,P-/B1,1096,126
MDB,麥文堅,Current,01/03/2026,沙田,480,4,11,草地,B+2,1200,3,好,星月飛雲,3,78,韋達,CP,1155,135
MDB,麥文堅,Current,01/03/2026,沙田,479,7,14,草地,B+2,1200,4,好,遨遊波士,6,54,羅富全,B,1126,130
MDB,麥文堅,Current,01/03/2026,沙田,478,8,14,草地,B+2,1200,4,好,紅愛舍,9,58,韋達,B/TT,1176,135
MDB,麥文堅,Current,01/03/2026,沙田,476,3,14,草地,B+2,1400,4,好,紅衣醒目,14,56,羅富全,CP-/TT,1063,132
MDB,麥文堅,Current,01/03/2026,沙田,475,4,14,草地,B+2,1800,4,好,蜜蜜送,9,53,韋達,B,1162,128
MDB,麥文堅,Current,25/02/2026,跑馬地,472,1,12,草地,B,1650,3,好,一定掂,2,69,姚本輝,,1102,128
MDB,麥文堅,Current,25/02/2026,跑馬地,471,2,12,草地,B,1650,4,好,奮鬥輝煌,2,50,游達榮,B/TT,1076,127
MDB,麥文堅,Current,25/02/2026,跑馬地,470,4,12,草地,B,1200,4,好,魅力寶駒,6,60,蔡約翰,,1202,135
MDB,麥文堅,Current,25/02/2026,跑馬地,467,10,12,草地,B,1200,4,好,交學費,6,54,游達榮,H1/TT,1119,129
MDB,麥文堅,Current,25/02/2026,跑馬地,466,10,12,草地,B,1200,5,好,鄉村樂韻,8,40,蔡約翰,E,1163,135
MDB,麥文堅,Current,22/02/2026,沙田,465,7,14,草地,A+3,1400,3,好,神馳,6,75,蔡約翰,B-,1167,127
MDB,麥文堅,Current,22/02/2026,沙田,464,12,14,草地,A+3,1600,3,好,火悟空,12,68,姚本輝,,1224,126
MDB,麥文堅,Current,22/02/2026,沙田,463,2,10,草地,A+3,1200,3,好,健康快車,8,72,蔡約翰,E,1134,132
MDB,麥文堅,Current,22/02/2026,沙田,462,9,10,草地,A+3,1400,G1,好,紅運帝王,2,117,蔡約翰,,1156,126
MDB,麥文堅,Current,22/02/2026,沙田,461,1,14,草地,A+3,1400,4,好,亨驥,4,56,葉楚航,H-/TT,1096,131
MDB,麥文堅,Current,22/02/2026,沙田,459,5,14,草地,A+3,1200,4,好,川河石駒,6,58,方嘉柏,TT,1087,133
MDB,麥文堅,Current,22/02/2026,沙田,457,9,14,草地,A+3,1800,5,好,籐王駒,14,40,文家良,CP/TT,1087,135
MDB,麥文堅,Current,22/02/2026,沙田,456,3,14,草地,A+3,1200,4,好,事事感恩,6,48,沈集成,B/TT,1169,125
MDB,麥文堅,Current,22/02/2026,沙田,455,4,14,草地,A+3,1000,4,好,八仟好運,8,58,蔡約翰,,1108,134
