jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MDE,麥當能,Previous,02/04/2025,跑馬地,555,8,10,草地,C+3,2200,3,好/快,發財先鋒,7,82,羅富全,B,1138,135
MDE,麥當能,Previous,30/03/2025,沙田,550,14,14,草地,A+3,1400,4,好,天德神影,8,52,葉楚航,B1,1202,128
MDE,麥當能,Previous,30/03/2025,沙田,546,11,14,草地,A+3,1200,4,好,智勝攻略,11,54,廖康銘,B,1099,130
MDE,麥當能,Previous,30/03/2025,沙田,543,6,14,草地,A+3,2000,4,好,青春力量,1,44,大衛希斯,CP-/B2/TT,1035,121
MDE,麥當能,Previous,26/03/2025,沙田,541,14,14,,,1650,3,好,黃腳鱲,5,81,呂健威,XB,1217,131
MDE,麥當能,Previous,26/03/2025,沙田,536,10,14,,,1650,4,好,不假外求,4,49,黎昭昇,B-/PC1/TT,1073,125
MDE,麥當能,Previous,26/03/2025,沙田,534,9,14,,,1800,5,好,黃金見聞,1,37,蘇偉賢,B/TT,1025,132
MDE,麥當能,Previous,23/03/2025,沙田,533,3,14,草地,A,1800,3,好/快,金勝名駒,14,75,蘇偉賢,TT,1063,125
MDE,麥當能,Previous,23/03/2025,沙田,529,14,14,草地,A,1600,4,好/快,大將鵰神,8,52,韋達,B/XB1/TT-,1258,128
MDE,麥當能,Previous,23/03/2025,沙田,528,11,13,草地,A,1400,3,好/快,佳登,5,66,游達榮,XB1,1033,125
MDE,麥當能,Previous,19/03/2025,跑馬地,516,8,9,草地,B,1000,3,好/快,當家精神,4,66,韋達,CP-/SR-/B2/TT-,1085,124
MDE,麥當能,Previous,15/03/2025,沙田,514,8,12,草地,C+3,1400,3,好/黏,久久為攻,12,77,大衛希斯,B/TT,1191,133
MDE,麥當能,Previous,15/03/2025,沙田,512,8,11,草地,C+3,1200,3,好/黏,營造組裝,7,68,呂健威,TT,1141,128
MDE,麥當能,Previous,15/03/2025,沙田,510,13,14,草地,C+3,1400,4,好/黏,古惑大師,5,52,大衛希斯,,1079,129
MDE,麥當能,Previous,12/03/2025,跑馬地,504,11,12,草地,A,1800,3,好/快,極速奇兵,5,73,姚本輝,V-,1198,128
MDE,麥當能,Previous,12/03/2025,跑馬地,500,,,草地,A,1650,4,好/快,多多勇駒,2,47,鄭俊偉,B,1023,122
MDE,麥當能,Previous,09/03/2025,沙田,495,7,14,草地,C,1600,3,好/快,金勝名駒,9,75,蘇偉賢,TT,1059,130
MDE,麥當能,Previous,09/03/2025,沙田,494,8,12,草地,C,1800,2,好/快,一先生,2,93,姚本輝,CP/TT,1141,128
MDE,麥當能,Previous,09/03/2025,沙田,493,14,14,草地,C,1400,3,好/快,駿馬之光,5,64,告東尼,CP1/TT1,1001,123
MDE,麥當能,Previous,09/03/2025,沙田,491,12,12,,,1200,3,好,八里旺,10,63,鄭俊偉,H1/P1/XB1,1250,120
MDE,麥當能,Previous,09/03/2025,沙田,490,13,14,草地,C,1400,4,好/快,富貴駒,9,56,賀賢,H/XB,997,132
MDE,麥當能,Previous,09/03/2025,沙田,487,11,12,草地,C,1200,4,好/快,實在美麗,1,50,告東尼,TT,1220,125
MDE,麥當能,Previous,09/03/2025,沙田,485,12,14,草地,C,1400,5,好/快,江南盛,2,31,伍鵬志,XB,1088,126
MDE,麥當能,Previous,05/03/2025,跑馬地,483,11,12,草地,C+3,1650,4,好,歌舞團,2,51,容天鵬,TT,1007,126
MDE,麥當能,Previous,05/03/2025,跑馬地,477,6,12,草地,C+3,1200,4,好,科創世紀,3,50,蘇偉賢,,1070,126
MDE,麥當能,Previous,05/03/2025,跑馬地,476,1,10,草地,C+3,2200,5,好,樂捉鳥,1,29,沈集成,TT,1227,124
MDE,麥當能,Previous,02/03/2025,沙田,470,7,14,草地,B,1400,4,好,精算特殊,5,44,容天鵬,V/TT,1088,120
MDE,麥當能,Previous,02/03/2025,沙田,468,9,11,,,1650,3,好,凱明神駒,1,75,沈集成,CP/TT,1006,127
MDE,麥當能,Previous,02/03/2025,沙田,466,13,14,草地,B,1000,4,好,萬事快,14,55,容天鵬,B/TT,1189,131
