jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MHT,巫顯東,Current,19/04/2026,沙田,624,8,14,草地,C+3,1800,2,好/快,天將龍駒,11,96,呂健威,,1191,129
MHT,巫顯東,Current,19/04/2026,沙田,623,4,12,草地,C+3,1200,3,好/快,星火燎原,1,61,徐雨石,B,1167,116
MHT,巫顯東,Current,19/04/2026,沙田,620,10,12,,,1200,4,好,廚神,9,56,徐雨石,P1/TT-,1156,129
MHT,巫顯東,Current,15/04/2026,跑馬地,605,11,12,草地,A,1000,5,好,威德勇士,4,18,鄭俊偉,CP/TT2,1064,113
MHT,巫顯東,Current,12/04/2026,沙田,603,11,11,草地,C,1200,3,好,勇冠群英,3,69,蘇偉賢,B/TT,1080,123
MHT,巫顯東,Current,12/04/2026,沙田,596,5,14,草地,C,1600,5,好,不假外求,14,15,黎昭昇,B/TT,1083,113
MHT,巫顯東,Current,08/04/2026,跑馬地,593,10,12,草地,C+3,1200,3,好,星火燎原,2,63,徐雨石,B,1171,119
MHT,巫顯東,Current,08/04/2026,跑馬地,592,5,12,草地,C+3,1200,3,好,星願無限,5,67,沈集成,TT,1030,124
MHT,巫顯東,Current,08/04/2026,跑馬地,587,10,12,草地,C+3,1000,4,好,喜樂之星,3,48,沈集成,TT,1158,121
MHT,巫顯東,Current,06/04/2026,沙田,574,14,14,草地,B+2,1000,4,好,鸚姿威鵡,6,52,蘇偉賢,H1/P1/TT1,1045,125
MHT,巫顯東,Current,01/04/2026,沙田,573,12,14,,,1650,3,好,孤風潛影,14,61,大衛希斯,CP,1042,113
MHT,巫顯東,Current,01/04/2026,沙田,569,10,14,,,1800,4,好,精算特殊,11,43,鄭俊偉,B/TT,1072,117
MHT,巫顯東,Current,01/04/2026,沙田,568,12,12,,,1200,4,好,智勝勳章,5,56,蘇偉賢,B/TT,1225,129
MHT,巫顯東,Current,29/03/2026,沙田,564,13,14,草地,A+3,1600,3,好/快,超加加,12,61,姚本輝,PC-/TT1,1099,116
MHT,巫顯東,Current,29/03/2026,沙田,563,12,13,草地,A+3,1200,3,好/快,星火燎原,5,65,徐雨石,B,1166,120
MHT,巫顯東,Current,29/03/2026,沙田,556,11,12,草地,A+3,2000,4,好/快,發財金戈,1,42,丁冠豪,CP,1202,116
MHT,巫顯東,Current,25/03/2026,跑馬地,546,12,12,草地,B,1650,4,好,傲然,4,54,鄭俊偉,B-/H,1045,127
MHT,巫顯東,Current,22/03/2026,沙田,540,5,10,草地,A,1200,3,好/快,星願無限,6,67,沈集成,TT,1034,120
MHT,巫顯東,Current,22/03/2026,沙田,538,14,14,草地,A,1200,4,好/快,皮具伯樂,12,48,文家良,B/TT,1247,121
MHT,巫顯東,Current,22/03/2026,沙田,536,11,13,草地,A,1200,4,好/快,喜樂之星,3,50,沈集成,TT,1156,123
MHT,巫顯東,Current,15/03/2026,沙田,524,10,12,草地,C+3,1200,3,好/快,魯班精神,8,60,丁冠豪,B/TT,1234,113
MHT,巫顯東,Current,15/03/2026,沙田,520,12,13,草地,C+3,1000,3,好/快,巨靈神,10,64,徐雨石,B2,1153,116
MHT,巫顯東,Current,15/03/2026,沙田,518,12,12,草地,C+3,1200,4,好/快,大宗師,6,52,姚本輝,V,1059,127
MHT,巫顯東,Previous,16/07/2025,跑馬地,847,10,12,草地,B,1200,3,好/快,馬上盈,2,62,游達榮,TT,1104,115
