jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MOJ,莫雷拉,Current,19/04/2026,沙田,624,3,14,草地,C+3,1800,2,好/快,春風萬里,1,85,方嘉柏,TT,1011,120
MOJ,莫雷拉,Current,19/04/2026,沙田,622,2,12,草地,C+3,1400,3,好/快,大眾福星,7,74,羅富全,,1091,130
MOJ,莫雷拉,Current,19/04/2026,沙田,621,7,9,,,1200,3,好,偵探傳奇,6,67,葉楚航,B/TT,1192,118
MOJ,莫雷拉,Current,19/04/2026,沙田,620,1,12,,,1200,4,好,觀眾之力,2,57,方嘉柏,TT1,1109,132
MOJ,莫雷拉,Current,19/04/2026,沙田,619,5,14,,,1650,4,好,精彩動力,7,57,方嘉柏,TT,1060,132
MOJ,莫雷拉,Current,19/04/2026,沙田,617,2,14,草地,C+3,1400,4,好/快,有情有義,11,46,方嘉柏,V/TT,1188,121
MOJ,莫雷拉,Current,19/04/2026,沙田,616,13,14,草地,C+3,1000,4,好/快,精彩勇將,11,51,方嘉柏,TT,1097,126
MOJ,莫雷拉,Current,19/04/2026,沙田,615,5,12,,,1200,5,好,飛雲,9,39,方嘉柏,TT,1078,135
MOJ,莫雷拉,Current,15/04/2026,跑馬地,613,3,12,草地,A,1200,3,好,棒棒糖,4,61,方嘉柏,PC,1203,118
MOJ,莫雷拉,Current,15/04/2026,跑馬地,612,7,11,草地,A,1650,3,好,銀進,11,76,方嘉柏,B/TT,1151,135
MOJ,莫雷拉,Current,15/04/2026,跑馬地,611,3,12,草地,A,1200,4,好,星運少爵,4,54,方嘉柏,,1190,129
MOJ,莫雷拉,Current,15/04/2026,跑馬地,610,5,10,草地,A,1200,4,好,川河石駒,2,55,方嘉柏,TT,1093,130
MOJ,莫雷拉,Current,15/04/2026,跑馬地,609,6,11,草地,A,1650,3,好,龍文鞭影,1,73,方嘉柏,TT,1089,129
MOJ,莫雷拉,Current,15/04/2026,跑馬地,608,4,12,草地,A,1800,4,好,大千氣象,1,55,方嘉柏,TT,1210,130
MOJ,莫雷拉,Current,15/04/2026,跑馬地,606,1,12,草地,A,1650,5,好,富裕君子,8,31,方嘉柏,TT,995,128
MOJ,莫雷拉,Current,15/04/2026,跑馬地,605,7,12,草地,A,1000,5,好,幸運傳承,2,35,方嘉柏,B1,1055,132
MOJ,莫雷拉,Current,12/04/2026,沙田,604,5,12,草地,C,1200,2,好,信心星,9,98,方嘉柏,TT,1217,133
MOJ,莫雷拉,Current,12/04/2026,沙田,602,12,12,草地,C,1400,3,好,川河帥駒,5,67,方嘉柏,TT-,1221,125
MOJ,莫雷拉,Current,12/04/2026,沙田,601,12,12,草地,C,1600,3,好,昭易搵,5,74,方嘉柏,V/TT,1163,132
MOJ,莫雷拉,Current,12/04/2026,沙田,600,2,14,草地,C,1400,4,好,哥倫布,10,56,方嘉柏,TT,1116,131
MOJ,莫雷拉,Current,12/04/2026,沙田,597,10,14,草地,C,1400,4,好,騰達勇士,11,50,方嘉柏,TT,1132,125
MOJ,莫雷拉,Current,12/04/2026,沙田,595,3,14,草地,C,1400,5,好,順善寶,1,37,方嘉柏,TT,1177,132
MOJ,莫雷拉,Current,08/04/2026,跑馬地,593,8,12,草地,C+3,1200,3,好,三軍勇將,4,70,方嘉柏,TT,1076,128
MOJ,莫雷拉,Current,08/04/2026,跑馬地,592,1,12,草地,C+3,1200,3,好,精彩駿將,4,69,方嘉柏,H-/P-/TT,1156,128
MOJ,莫雷拉,Current,08/04/2026,跑馬地,591,2,12,草地,C+3,1650,3,好,滿心星,1,72,方嘉柏,TT,1106,127
MOJ,莫雷拉,Current,08/04/2026,跑馬地,590,1,12,草地,C+3,1200,4,好,富心星,7,58,方嘉柏,TT,1174,133
MOJ,莫雷拉,Current,08/04/2026,跑馬地,589,7,12,草地,C+3,1200,4,好,仁仁有餘,4,59,方嘉柏,B/TT,1090,134
MOJ,莫雷拉,Current,08/04/2026,跑馬地,588,1,12,草地,C+3,1650,4,好,喜馬,7,49,方嘉柏,B,1082,125
MOJ,莫雷拉,Current,08/04/2026,跑馬地,587,7,12,草地,C+3,1000,4,好,風采人生,9,47,方嘉柏,B/TT,1152,122
MOJ,莫雷拉,Current,08/04/2026,跑馬地,586,10,12,草地,C+3,1650,4,好,赤風驪,7,56,方嘉柏,PC1/TT,1020,133
MOJ,莫雷拉,Current,08/04/2026,跑馬地,585,1,12,草地,C+3,1200,5,好,有情有義,12,40,方嘉柏,V1/TT,1188,132
MOJ,莫雷拉,Current,10/12/2025,跑馬地,253,6,12,草地,A,1800,2,好,銀進,4,84,方嘉柏,TT,1159,124
MOJ,莫雷拉,Current,10/12/2025,跑馬地,252,6,12,草地,A,1200,3,好,快搏,8,65,賀賢,CP,1123,124
MOJ,莫雷拉,Current,10/12/2025,跑馬地,251,7,12,草地,A,1650,3,好,美麗邂逅,3,62,告東尼,TT,1166,120
MOJ,莫雷拉,Current,10/12/2025,跑馬地,250,10,12,草地,A,1200,4,好,富心星,2,60,方嘉柏,TT,1166,135
MOJ,莫雷拉,Current,10/12/2025,跑馬地,249,5,12,草地,A,1650,4,好,錶之量子,7,58,伍鵬志,CP/TT,1139,133
MOJ,莫雷拉,Current,10/12/2025,跑馬地,248,5,12,草地,A,1000,4,好,超強六十,11,57,方嘉柏,SR,1067,132
MOJ,莫雷拉,Current,10/12/2025,跑馬地,246,1,12,草地,A,1200,5,好,幸運傳承,4,23,方嘉柏,,1072,118
