jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MR,莫雅,Current,14/12/2025,沙田,263,14,14,草地,A,1400,2,好,永遠美麗,9,105,蔡約翰,E/PC1,1204,135
MR,莫雅,Current,14/12/2025,沙田,262,5,14,草地,A,1400,3,好,至尊高超,13,80,蔡約翰,H,998,135
MR,莫雅,Current,14/12/2025,沙田,260,12,14,草地,A,1600,G1,好,冬季獅,14,,岳伯仁,XB,1056,125
MR,莫雅,Current,14/12/2025,沙田,258,9,13,草地,A,1200,G1,好,里見夢境,4,,堀宣行,TT,1175,126
MR,莫雅,Current,14/12/2025,沙田,257,5,11,草地,A,2400,G1,好,南加名城,10,,岳伯仁,CP-/XB,1197,126
MR,莫雅,Current,14/12/2025,沙田,256,8,14,草地,A,1200,4,好,勇者為皇,7,60,伍鵬志,,1185,135
MR,莫雅,Current,10/12/2025,跑馬地,252,1,12,草地,A,1200,3,好,凱旋升,10,71,羅富全,V,1165,130
MR,莫雅,Current,10/12/2025,跑馬地,251,11,12,草地,A,1650,3,好,勇霸龍,4,71,黎昭昇,V/TT,1245,129
MR,莫雅,Current,10/12/2025,跑馬地,249,1,12,草地,A,1650,4,好,相映紅,2,59,方嘉柏,TT,1066,134
MR,莫雅,Current,10/12/2025,跑馬地,248,8,12,草地,A,1000,4,好,過關勇士,6,50,沈集成,TT,1010,125
MR,莫雅,Previous,23/03/2025,沙田,532,1,12,草地,A,1200,3,好/快,笑傲江湖,4,79,呂健威,,1213,135
MR,莫雅,Previous,23/03/2025,沙田,531,3,12,草地,A,1200,3,好/快,真心傳奇,11,72,蔡約翰,H,972,127
MR,莫雅,Previous,23/03/2025,沙田,530,8,14,草地,A,2000,4YO,好/快,米奇,3,85,蔡約翰,B-/TT,1193,126
MR,莫雅,Previous,23/03/2025,沙田,527,10,14,草地,A,1200,4,好/快,巧眼光,14,52,蔡約翰,TT,1305,127
MR,莫雅,Previous,23/03/2025,沙田,526,3,14,草地,A,1400,4,好/快,泰泰精神,7,59,蔡約翰,,1028,134
MR,莫雅,Previous,23/03/2025,沙田,525,3,8,草地,A,1400,2,好/快,開心寶寶,1,91,呂健威,TT,1130,126
MR,莫雅,Previous,23/03/2025,沙田,524,1,14,草地,A,1400,4,好/快,綠野飛馳,3,52,蔡約翰,TT1,1095,127
MR,莫雅,Previous,05/03/2025,跑馬地,484,6,10,草地,C+3,1200,3,好,有財有勢,8,67,蔡約翰,B,1106,124
MR,莫雅,Previous,05/03/2025,跑馬地,483,4,12,草地,C+3,1650,4,好,天天得樂,5,59,葉楚航,TT,1070,134
MR,莫雅,Previous,05/03/2025,跑馬地,482,7,10,草地,C+3,1200,3,好,新力好,7,67,蘇偉賢,TT,1165,126
MR,莫雅,Previous,05/03/2025,跑馬地,481,1,12,草地,C+3,1800,4,好,一起美麗,9,57,蔡約翰,,1193,135
MR,莫雅,Previous,05/03/2025,跑馬地,480,1,12,草地,C+3,1200,4,好,金匯昇昇,10,57,蔡約翰,B,1013,135
MR,莫雅,Previous,05/03/2025,跑馬地,479,4,12,草地,C+3,1200,4,好,安都,6,58,黎昭昇,B/TT,1176,134
MR,莫雅,Previous,05/03/2025,跑馬地,478,7,9,草地,C+3,1650,3,好,本領輝煌,8,67,游達榮,B/TT,1100,127
MR,莫雅,Previous,05/03/2025,跑馬地,477,2,12,草地,C+3,1200,4,好,酷霸王,4,54,姚本輝,PC-/TT,1177,130
MR,莫雅,Previous,05/03/2025,跑馬地,476,7,10,草地,C+3,2200,5,好,駿彩飛馳,6,40,蔡約翰,E,1034,135
MR,莫雅,Previous,02/03/2025,沙田,475,3,10,草地,B,1200,3,好/快,真心傳奇,5,71,蔡約翰,H,971,121
MR,莫雅,Previous,02/03/2025,沙田,474,4,12,草地,B,2000,3,好/快,時時精準,12,69,游達榮,B/TT,1084,124
MR,莫雅,Previous,02/03/2025,沙田,473,3,11,草地,B,1400,2,好/快,舞林密碼,4,88,方嘉柏,B/TT,1038,123
MR,莫雅,Previous,02/03/2025,沙田,472,14,14,草地,B,1800,4YO,好/快,米奇,5,85,蔡約翰,B/TT,1194,126
MR,莫雅,Previous,02/03/2025,沙田,471,6,14,,,1650,4,好,波爾多,8,48,蔡約翰,H/P,1090,123
MR,莫雅,Previous,02/03/2025,沙田,470,11,14,草地,B,1400,4,好,巧眼光,8,52,蔡約翰,TT,1298,128
MR,莫雅,Previous,02/03/2025,沙田,469,10,14,草地,B,1200,4,好,激光諜影,8,52,蔡約翰,,1194,128
MR,莫雅,Previous,02/03/2025,沙田,468,2,11,,,1650,3,好,精彩動力,8,74,方嘉柏,TT,1068,126
MR,莫雅,Previous,02/03/2025,沙田,467,11,14,草地,B,1200,5,好,旋風飛颺,3,34,蔡約翰,B,1011,131
MR,莫雅,Previous,26/02/2025,跑馬地,465,4,12,草地,C,1000,3,好,連連幸運,5,77,沈集成,TT,1025,127
MR,莫雅,Previous,26/02/2025,跑馬地,464,10,11,草地,C,1200,3,好,魅力寶駒,8,83,蔡約翰,P-,1210,135
MR,莫雅,Previous,26/02/2025,跑馬地,463,6,12,草地,C,1650,4,好,追風,7,54,羅富全,,1103,129
MR,莫雅,Previous,26/02/2025,跑馬地,461,1,9,草地,C,1650,1,好,智取神駒,3,98,沈集成,TT,1084,129
MR,莫雅,Previous,26/02/2025,跑馬地,460,7,12,草地,C,1200,4,好,怡昌精神,7,60,沈集成,XB/TT,1242,135
MR,莫雅,Previous,26/02/2025,跑馬地,459,1,9,草地,C,1650,3,好,太陽勇士,1,79,大衛希斯,XB,1117,129
MR,莫雅,Previous,26/02/2025,跑馬地,458,11,12,草地,C,2200,4,好,亞福得寶,10,51,大衛希斯,B/TT,1235,127
MR,莫雅,Previous,26/02/2025,跑馬地,457,2,5,草地,C,1200,1,好,合夥奔馳,4,103,呂健威,XB,1135,131
MR,莫雅,Previous,08/12/2024,沙田,247,7,11,草地,A,2000,G1,好,滿足,9,,岳伯仁,E/XB,903,119
MR,莫雅,Previous,08/12/2024,沙田,246,14,14,草地,A,1600,G1,好,齋月,3,,范景新,,992,125
MR,莫雅,Previous,08/12/2024,沙田,243,5,13,草地,A,2400,G1,好,盧森堡,9,,岳伯仁,,1103,126
MR,莫雅,Previous,08/12/2024,沙田,241,3,14,草地,A,1400,4,好,安泰,14,56,蔡約翰,XB,1045,133
MR,莫雅,Previous,04/12/2024,跑馬地,238,10,12,草地,A,1200,3,好,運高八斗,11,67,姚本輝,,1154,124
MR,莫雅,Previous,04/12/2024,跑馬地,237,8,12,草地,A,1650,3,好,大千眼界,6,68,方嘉柏,TT,1219,124
MR,莫雅,Previous,04/12/2024,跑馬地,235,7,12,草地,A,1650,4,好,爆熱,6,56,伍鵬志,H1/PC2/TT,1105,131
MR,莫雅,Previous,04/12/2024,跑馬地,234,9,12,草地,A,1000,4,好,鴻圖新星,12,57,蔡約翰,E,1079,134
