jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
MTA,馬昆,Current,14/12/2025,沙田,260,4,14,草地,A,1600,G1,好,港邊小區,8,,游孝廉,XB/TT,1129,126
MTA,馬昆,Current,14/12/2025,沙田,256,14,14,草地,A,1200,4,好,順成之星,1,56,丁冠豪,B1/TT1,1027,131
MTA,馬昆,Previous,25/05/2025,沙田,704,4,10,草地,A,2400,G1,好,譽滿杜拜,1,,郗國思,XB/TT,1080,126
MTA,馬昆,Previous,25/05/2025,沙田,703,10,14,草地,A,1400,4,好,加非凡,1,49,方嘉柏,B-/TT,1081,125
MTA,馬昆,Previous,25/05/2025,沙田,699,8,14,草地,A,1200,4,好,爵登,14,58,蘇偉賢,CP,1138,133
MTA,馬昆,Previous,02/03/2025,沙田,474,11,12,草地,B,2000,3,好/快,恒之有道,6,74,伍鵬志,PC/TT,1035,129
MTA,馬昆,Previous,02/03/2025,沙田,472,10,14,草地,B,1800,4YO,好/快,開心寶寶,11,91,呂健威,TT,1135,126
MTA,馬昆,Previous,02/03/2025,沙田,470,13,14,草地,B,1400,4,好,蜜蜜送,14,52,韋達,TT,1172,128
MTA,馬昆,Previous,02/03/2025,沙田,467,14,14,草地,B,1200,5,好,隼閣,4,34,大衛希斯,B/TT,1105,131
MTA,馬昆,Previous,02/03/2025,沙田,466,14,14,草地,B,1000,4,好,鋼鐵戰士,7,52,丁冠豪,B/TT,1163,128
MTA,馬昆,Previous,19/02/2025,跑馬地,446,1,12,草地,B,1650,3,好,博望坡,3,69,呂健威,,1045,126
MTA,馬昆,Previous,19/02/2025,跑馬地,443,10,12,草地,B,1800,3,好,清雲龍駒,1,78,賀賢,,1113,129
MTA,馬昆,Previous,19/02/2025,跑馬地,442,7,12,草地,B,1000,4,好,雅典武士,4,59,大衛希斯,B/TT,1270,134
MTA,馬昆,Previous,19/02/2025,跑馬地,440,6,12,草地,B,1200,4,好,運來伍寶,8,59,游達榮,B/TT,1116,134
MTA,馬昆,Previous,19/02/2025,跑馬地,439,7,11,草地,B,1200,4,好,電玩精英,9,56,韋達,SR,1074,131
MTA,馬昆,Previous,19/02/2025,跑馬地,438,9,12,草地,B,1200,5,好,千里如飛,12,39,黎昭昇,CP-/B1/TT1,1082,135
MTA,馬昆,Previous,16/02/2025,沙田,437,7,14,草地,C+3,1600,3,好/快,爆出美麗,4,66,伍鵬志,,1138,123
MTA,馬昆,Previous,16/02/2025,沙田,436,1,11,草地,C+3,1200,3,好/快,笑傲江湖,1,74,呂健威,,1210,124
MTA,馬昆,Previous,16/02/2025,沙田,434,6,14,草地,C+3,1600,2,好/快,話你知,3,88,方嘉柏,TT,1233,125
MTA,馬昆,Previous,16/02/2025,沙田,433,5,14,草地,C+3,1800,3,好/快,恒之有道,2,74,伍鵬志,PC1/TT,1028,130
MTA,馬昆,Previous,16/02/2025,沙田,431,6,14,草地,C+3,1400,4,好/快,清遠之星,5,48,賀賢,CP-/B1/TT-,1125,123
MTA,馬昆,Previous,16/02/2025,沙田,430,12,14,草地,C+3,1400,4,好/快,幸運福星,14,46,伍鵬志,B,1027,122
MTA,馬昆,Previous,16/02/2025,沙田,429,10,12,草地,C+3,1200,4,好/快,萬事快,2,57,容天鵬,B/TT,1189,133
MTA,馬昆,Previous,16/02/2025,沙田,428,7,12,草地,C+3,1200,4,好/快,龍文鞭影,4,52,沈集成,TT1,1160,127
MTA,馬昆,Previous,08/12/2024,沙田,243,2,13,草地,A,2400,G1,好,譽滿杜拜,6,,郗國思,XB/TT,1079,126
MTA,馬昆,Previous,08/12/2024,沙田,240,10,14,草地,A,1200,4,好,火焰閃爍,14,52,大衛希斯,,1094,128
