jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
PA,貝知仁,Current,14/12/2025,沙田,260,10,14,草地,A,1600,G1,好,俊偉蹄,6,,巴伯樂,TT,1005,126
PA,貝知仁,Previous,26/01/2025,沙田,385,5,14,草地,A+3,1200,3,好,龍之光,13,65,呂健威,,1198,125
PA,貝知仁,Previous,26/01/2025,沙田,383,2,9,草地,A+3,1200,2,好,水晶酒杯,6,85,呂健威,B/TT,1221,124
PA,貝知仁,Previous,26/01/2025,沙田,381,12,14,草地,A+3,1400,4,好,雄彬飛翔,13,50,游達榮,TT,1099,127
PA,貝知仁,Previous,26/01/2025,沙田,380,5,14,草地,A+3,2000,4,好,風火恆雲,1,58,姚本輝,B,1103,134
PA,貝知仁,Previous,26/01/2025,沙田,377,14,14,草地,A+3,1400,5,好,極速之子,2,32,姚本輝,H,1079,127
PA,貝知仁,Previous,26/01/2025,沙田,376,4,14,,,1650,5,封,香港精神,5,34,葉楚航,B-/V2/TT,1043,129
PA,貝知仁,Previous,22/01/2025,跑馬地,375,7,12,草地,C,1200,3,好,電源之駒,9,63,文家良,B/E,1116,123
PA,貝知仁,Previous,22/01/2025,跑馬地,373,9,12,草地,C,1800,3,好,博望坡,8,71,呂健威,,1059,128
PA,貝知仁,Previous,22/01/2025,跑馬地,371,5,12,草地,C,1200,4,好,皇者有利,8,60,沈集成,TT,1097,135
PA,貝知仁,Previous,19/01/2025,沙田,366,13,13,草地,A,1200,3,好/快,風火猴王,3,70,告東尼,TT,1147,127
PA,貝知仁,Previous,19/01/2025,沙田,364,14,14,草地,A,1400,3,好/快,友運行,6,64,韋達,B1,1025,119
PA,貝知仁,Previous,19/01/2025,沙田,362,6,14,草地,A,1400,3,好/快,紅愛舍,10,63,韋達,B/TT,1177,120
PA,貝知仁,Previous,19/01/2025,沙田,359,13,14,草地,A,1400,4,好,環球英雄,10,43,大衛希斯,CP,1100,119
PA,貝知仁,Previous,19/01/2025,沙田,358,4,14,草地,A,1600,4,好,英駿飛駒,5,44,游達榮,V-/XB/B2/TT1,1193,120
PA,貝知仁,Previous,19/01/2025,沙田,357,12,14,草地,A,1200,4,好,輕鬆大少,2,52,文家良,TT,1002,127
PA,貝知仁,Previous,15/01/2025,跑馬地,355,7,12,草地,B,1200,3,好,雪勇神駒,4,75,沈集成,TT,1145,130
PA,貝知仁,Previous,15/01/2025,跑馬地,353,6,12,草地,B,1200,4,好,祥勝力駒,9,46,韋達,B/TT,1107,122
PA,貝知仁,Previous,15/01/2025,跑馬地,352,7,12,草地,B,1200,4,好,光輝所願,8,42,韋達,CP,1091,119
PA,貝知仁,Previous,15/01/2025,跑馬地,351,5,12,草地,B,1000,4,好,天火同人,2,59,韋達,XB/CP2,1101,134
PA,貝知仁,Previous,15/01/2025,跑馬地,350,8,9,草地,B,1000,2,好,狀元及第,8,92,告東尼,V/TT,1193,131
PA,貝知仁,Previous,15/01/2025,跑馬地,349,11,11,草地,B,1650,4,好,天火同德,5,45,韋達,H/XB/TT,1161,120
PA,貝知仁,Previous,15/01/2025,跑馬地,347,4,12,草地,B,1800,5,好,領頭先駒,6,32,容天鵬,,1057,127
PA,貝知仁,Previous,12/01/2025,沙田,346,11,14,草地,C+3,1600,3,好,紫荊歡呼,14,63,大衛希斯,B/TT,1184,119
PA,貝知仁,Previous,12/01/2025,沙田,345,13,14,草地,C+3,1600,3R,好,安康萬里,13,72,呂健威,,1160,124
PA,貝知仁,Previous,12/01/2025,沙田,344,5,12,草地,C+3,1200,3,好,超霸勝,6,63,韋達,B,1077,121
PA,貝知仁,Previous,12/01/2025,沙田,343,8,12,草地,C+3,1400,2,好,開心寶寶,1,86,呂健威,TT,1149,123
PA,貝知仁,Previous,12/01/2025,沙田,342,7,12,,,1200,3,好,日馳千里,6,63,姚本輝,B,1095,120
PA,貝知仁,Previous,12/01/2025,沙田,341,14,14,草地,C+3,1400,4,好,金鑽精靈,10,52,韋達,CP/XB,1162,128
PA,貝知仁,Previous,12/01/2025,沙田,340,7,12,草地,C+3,1200,4,好,同喜,4,55,告東尼,CP1/TT,1100,130
PA,貝知仁,Previous,12/01/2025,沙田,339,12,12,,,1200,4,好,皇帝英豪,10,54,韋達,B,1034,130
PA,貝知仁,Previous,12/01/2025,沙田,337,11,12,,,1200,5,好,鑽飾翱翔,12,27,姚本輝,B/TT,1226,122
PA,貝知仁,Previous,08/01/2025,跑馬地,335,9,12,草地,A,1200,3,好,電源之駒,12,65,文家良,B/E,1102,123
PA,貝知仁,Previous,08/01/2025,跑馬地,334,11,12,草地,A,1800,G3,好,中華盛景,8,102,告東尼,TT,1088,127
PA,貝知仁,Previous,08/01/2025,跑馬地,333,8,12,草地,A,1650,4,好,波爾多,8,52,蔡約翰,H,1086,128
PA,貝知仁,Previous,08/01/2025,跑馬地,332,9,12,草地,A,1200,4,好,幸運星球,4,48,韋達,B/TT,1064,124
PA,貝知仁,Previous,08/01/2025,跑馬地,331,5,12,草地,A,1200,4,好,新幹線,11,44,韋達,CP/H/TT,1169,120
PA,貝知仁,Previous,08/01/2025,跑馬地,330,4,12,草地,A,1650,4,好,無極勇將,3,45,游達榮,B/TT,1053,120
PA,貝知仁,Previous,08/01/2025,跑馬地,329,11,12,草地,A,1200,4,好,盛載富祿,11,50,韋達,CP,1119,125
PA,貝知仁,Previous,08/01/2025,跑馬地,328,9,11,草地,A,1650,5,好,雄昇勇士,10,22,徐雨石,,1216,119
PA,貝知仁,Previous,05/01/2025,沙田,327,13,14,草地,C+3,1400,3,好,紫荊歡呼,14,65,大衛希斯,CP-/B1/TT,1187,120
PA,貝知仁,Previous,05/01/2025,沙田,326,7,14,草地,C+3,1400,4,好,威武年代,2,49,呂健威,B/TT,1199,121
PA,貝知仁,Previous,05/01/2025,沙田,324,3,9,草地,C+3,1200,2,好,合夥奔馳,6,102,呂健威,XB,1123,135
PA,貝知仁,Previous,05/01/2025,沙田,323,1,14,草地,C+3,1000,3,好,水晶酒杯,14,76,呂健威,B/TT,1218,135
PA,貝知仁,Previous,05/01/2025,沙田,321,6,12,草地,C+3,1200,4,好,皇者有利,4,60,沈集成,TT,1096,135
PA,貝知仁,Previous,05/01/2025,沙田,319,12,14,草地,C+3,1000,4,好,做好自己,3,58,呂健威,H-/TT1,1016,130
PA,貝知仁,Previous,01/01/2025,沙田,316,9,12,草地,C,1200,3,好,友運行,3,64,韋達,,1026,121
PA,貝知仁,Previous,01/01/2025,沙田,313,5,14,草地,C,1600,4,好,風火恆雲,10,59,姚本輝,B,1090,134
PA,貝知仁,Previous,01/01/2025,沙田,312,2,14,草地,C,1400,4,好,大才,13,59,葉楚航,H,1075,134
PA,貝知仁,Previous,01/01/2025,沙田,311,14,14,草地,C,1400,4,好,西坎德爾,1,52,韋達,SR-/CP1/TT,1127,127
PA,貝知仁,Previous,01/01/2025,沙田,309,12,12,草地,C,1200,4,好,富國兄弟,4,58,韋達,B/XB/TT,1118,131
PA,貝知仁,Previous,29/12/2024,沙田,306,9,14,草地,B+2,1400,3,好,宜春火力,11,74,韋達,H/SR,1137,130
PA,貝知仁,Previous,29/12/2024,沙田,304,12,14,草地,B+2,1000,3,好,富心星,2,64,方嘉柏,TT1,1147,121
PA,貝知仁,Previous,29/12/2024,沙田,303,7,14,草地,B+2,1400,4,好,黑白,6,54,葉楚航,,1077,129
PA,貝知仁,Previous,29/12/2024,沙田,302,7,12,,,1200,4,好,超加加,12,52,姚本輝,PC,1084,128
PA,貝知仁,Previous,29/12/2024,沙田,299,3,10,草地,B+2,2000,2,好,浪漫戰神,8,82,沈集成,CP/XB/TT,1104,124
PA,貝知仁,Previous,26/12/2024,跑馬地,296,12,12,草地,C+3,1650,3,好,博望坡,10,73,呂健威,,1045,133
PA,貝知仁,Previous,26/12/2024,跑馬地,295,3,12,草地,C+3,1200,3,好,雪勇神駒,5,76,沈集成,B-/TT,1149,133
PA,貝知仁,Previous,26/12/2024,跑馬地,294,11,12,草地,C+3,1650,4,好,旋風傳奇,2,46,伍鵬志,B,1144,123
PA,貝知仁,Previous,26/12/2024,跑馬地,293,9,12,草地,C+3,1650,4,好,添喜運,7,54,伍鵬志,B/TT1,1226,129
PA,貝知仁,Previous,26/12/2024,跑馬地,292,5,12,草地,C+3,1200,4,好,五福星,4,44,羅富全,B,1085,120
PA,貝知仁,Previous,26/12/2024,跑馬地,288,9,12,草地,C+3,1000,4,好,精益大師,4,59,葉楚航,B/TT,1113,135
PA,貝知仁,Previous,26/12/2024,跑馬地,287,7,11,草地,C+3,1200,5,好,龍騰飛翔,11,39,葉楚航,TT1,1254,134
