jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
PDF,潘大衛,Current,08/02/2026,沙田,423,12,14,草地,C,1400,3,好,家傳之寶,7,62,韋達,CP-/E1/TT,1067,119
PDF,潘大衛,Current,08/02/2026,沙田,419,12,12,草地,C,1200,4,好,風采人生,10,41,方嘉柏,B/TT,1136,120
PDF,潘大衛,Current,08/02/2026,沙田,416,13,13,草地,C,1400,4,好,日日獎,7,55,方嘉柏,TT,1206,130
PDF,潘大衛,Current,08/02/2026,沙田,414,9,14,草地,C,1400,5,好,工程小子,10,25,呂健威,B/XB,1109,120
PDF,潘大衛,Current,04/02/2026,跑馬地,406,11,12,草地,C+3,1200,4,好/快,五福星,2,44,羅富全,B,1095,123
PDF,潘大衛,Current,01/02/2026,沙田,404,14,14,草地,B+2,1400,3,好,友贏威馳,5,67,方嘉柏,TT,1092,120
PDF,潘大衛,Current,28/01/2026,跑馬地,385,10,12,草地,C,1000,5,好,工程小子,11,28,呂健威,B1/XB1/TT-,1105,123
PDF,潘大衛,Current,25/01/2026,沙田,384,14,14,草地,A+3,1600,3,好/快,自然動力,6,64,姚本輝,CP,1167,122
PDF,潘大衛,Current,25/01/2026,沙田,377,4,14,草地,A+3,1200,4,好/快,風采人生,3,43,方嘉柏,B/TT1,1139,118
PDF,潘大衛,Current,21/01/2026,沙田,371,13,13,,,1650,4,好,銀火箭,12,44,韋達,B/TT,1137,120
PDF,潘大衛,Current,21/01/2026,沙田,369,11,12,,,1200,4,好,摯友心得,2,48,桂福特,P-,1154,123
PDF,潘大衛,Current,21/01/2026,沙田,365,8,12,,,1200,5,好,競駿奔騰,9,39,蘇偉賢,B1/TT,1037,134
PDF,潘大衛,Current,18/01/2026,沙田,359,10,14,草地,A,1400,4,好/快,五福星,11,46,羅富全,B,1093,121
PDF,潘大衛,Current,14/01/2026,跑馬地,353,10,12,草地,B,1200,3,好,鈁糖武士,6,65,方嘉柏,V/TT,1097,122
PDF,潘大衛,Current,11/01/2026,沙田,338,13,14,草地,C+3,1400,4,好/快,摯友心得,5,51,桂福特,P2,1167,126
PDF,潘大衛,Current,11/01/2026,沙田,336,7,12,草地,C+3,1200,4,好/快,問鼎巔峰,9,43,游達榮,CP,1021,119
PDF,潘大衛,Current,04/01/2026,沙田,324,13,14,草地,C,1600,3,好,金勝名駒,14,72,蘇偉賢,TT,1068,129
PDF,潘大衛,Current,04/01/2026,沙田,317,12,12,,,1200,4,好,至高心得,11,50,韋達,SR-/CP1/TT,1022,126
PDF,潘大衛,Current,04/01/2026,沙田,314,13,14,草地,C,1400,5,好,超步速,7,36,方嘉柏,SR-/B1/TT,1052,131
