jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
RU,李寶利,Current,14/12/2025,沙田,263,5,14,草地,A,1400,2,好,舞林密碼,1,91,方嘉柏,B-/TT,1045,121
RU,李寶利,Current,14/12/2025,沙田,262,12,14,草地,A,1400,3,好,川河帥駒,8,71,方嘉柏,TT,1203,126
RU,李寶利,Current,14/12/2025,沙田,259,7,14,草地,A,1800,3,好,金勝名駒,9,74,蘇偉賢,TT,1060,131
RU,李寶利,Current,14/12/2025,沙田,256,10,14,草地,A,1200,4,好,鑽得勝,13,48,葉楚航,,1004,123
RU,李寶利,Current,14/12/2025,沙田,255,12,13,草地,A,1200,3,好,金牌活力,11,69,鄭俊偉,B/TT,1177,126
RU,李寶利,Current,14/12/2025,沙田,254,5,14,草地,A,1400,4,好,最好玩,11,47,葉楚航,TT,1153,120
RU,李寶利,Current,10/12/2025,跑馬地,253,5,12,草地,A,1800,2,好,仁心星,3,84,方嘉柏,TT,1254,124
RU,李寶利,Current,10/12/2025,跑馬地,252,2,12,草地,A,1200,3,好,飛輪霸,5,62,姚本輝,TT,1139,121
RU,李寶利,Current,10/12/2025,跑馬地,251,5,12,草地,A,1650,3,好,智勇名駒,12,77,呂健威,B/TT,1207,135
RU,李寶利,Current,10/12/2025,跑馬地,249,9,12,草地,A,1650,4,好,獎星,11,52,羅富全,B/TT,1174,127
RU,李寶利,Current,10/12/2025,跑馬地,248,6,12,草地,A,1000,4,好,天火同人,9,55,韋達,B/TT,1113,130
RU,李寶利,Current,10/12/2025,跑馬地,246,9,12,草地,A,1200,5,好,發光發亮,11,34,葉楚航,B2/TT-,1038,129
