jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
SC,蘇銘倫,Current,14/12/2025,沙田,261,3,7,草地,A,2000,G1,好,健身心,4,,葛威法,,1005,122
SC,蘇銘倫,Current,14/12/2025,沙田,260,13,14,草地,A,1600,G1,好,陽光勇士,3,112,姚本輝,,1120,126
SC,蘇銘倫,Current,14/12/2025,沙田,259,9,14,草地,A,1800,3,好,包裝創新,14,78,伍鵬志,XB/TT,1074,135
SC,蘇銘倫,Current,14/12/2025,沙田,257,3,11,草地,A,2400,G1,好,歌利巨人,4,,葛威法,,1087,126
SC,蘇銘倫,Current,14/12/2025,沙田,255,3,13,草地,A,1200,3,好,綫路滿貫,7,78,文家良,,1139,135
SC,蘇銘倫,Previous,27/04/2025,沙田,627,9,11,草地,A,2000,G1,好,歌利巨人,9,,葛威法,,1056,126
SC,蘇銘倫,Previous,27/04/2025,沙田,626,3,13,草地,A,1600,G1,好,陽光勇士,6,103,姚本輝,CP/H,1094,126
SC,蘇銘倫,Previous,27/04/2025,沙田,624,7,13,草地,A,1200,G1,好,魔術控制,11,108,巫偉傑,P-/TT,1059,126
SC,蘇銘倫,Previous,27/04/2025,沙田,620,5,11,草地,A,1800,4,好,富喜來,11,56,沈集成,B/TT,1098,132
SC,蘇銘倫,Previous,23/03/2025,沙田,533,10,14,草地,A,1800,3,好/快,多巴先生,11,85,葉楚航,CP,1160,135
SC,蘇銘倫,Previous,23/03/2025,沙田,532,5,12,草地,A,1200,3,好/快,非凡達,9,73,沈集成,B/TT,1130,129
SC,蘇銘倫,Previous,23/03/2025,沙田,531,9,12,草地,A,1200,3,好/快,奇異果,5,75,沈集成,TT1,1119,130
SC,蘇銘倫,Previous,23/03/2025,沙田,530,14,14,草地,A,2000,4YO,好/快,優才,7,84,葉楚航,TT,1054,126
SC,蘇銘倫,Previous,23/03/2025,沙田,529,12,14,草地,A,1600,4,好/快,天天得樂,3,59,葉楚航,TT,1067,135
SC,蘇銘倫,Previous,23/03/2025,沙田,527,13,14,草地,A,1200,4,好/快,怡昌精神,2,60,沈集成,XB/TT,1228,135
SC,蘇銘倫,Previous,23/03/2025,沙田,524,11,14,草地,A,1400,4,好/快,歡樂飛駒,5,50,呂健威,XB/B1,1187,125
SC,蘇銘倫,Previous,31/01/2025,沙田,397,12,14,草地,B+2,1400,3,好,四季醒,7,76,黎昭昇,B/TT,1109,135
SC,蘇銘倫,Previous,31/01/2025,沙田,395,5,14,草地,B+2,1600,3,好,快路,1,67,告東尼,B/TT,1094,123
SC,蘇銘倫,Previous,31/01/2025,沙田,394,4,14,草地,B+2,1600,4YO,好,舉步生風,1,84,葉楚航,TT,1171,126
SC,蘇銘倫,Previous,31/01/2025,沙田,391,3,14,草地,B+2,1400,4,好,大才,2,60,葉楚航,H,1072,135
SC,蘇銘倫,Previous,31/01/2025,沙田,389,5,14,草地,B+2,1600,4,好,光明傳承,14,56,葉楚航,B,1101,131
SC,蘇銘倫,Previous,31/01/2025,沙田,388,6,14,草地,B+2,1200,4,好,黑白,14,53,葉楚航,TT,1087,131
