jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
SHB,薛恩,Previous,02/03/2025,沙田,474,7,12,草地,B,2000,3,好/快,精英雄心,11,80,廖康銘,B/XB,1210,135
SHB,薛恩,Previous,02/03/2025,沙田,472,7,14,草地,B,1800,4YO,好/快,包裝天將,13,93,呂健威,,1105,126
SHB,薛恩,Previous,02/03/2025,沙田,469,1,14,草地,B,1200,4,好,極速贏,3,56,容天鵬,CP-/H-,1212,132
SHB,薛恩,Previous,02/03/2025,沙田,466,10,14,草地,B,1000,4,好,嘉應駿馬,6,53,大衛希斯,H1/TT,1213,129
SHB,薛恩,Previous,23/02/2025,沙田,453,8,10,草地,A,2000,G1,好,錶之銀河,5,124,伍鵬志,,1162,126
SHB,薛恩,Previous,23/02/2025,沙田,452,2,14,草地,A,1600,4,好,東方飛影,12,55,大衛希斯,B/TT,1250,131
SHB,薛恩,Previous,23/02/2025,沙田,451,9,9,草地,A,1400,G1,好,綠族無限,5,110,伍鵬志,,1099,126
SHB,薛恩,Previous,23/02/2025,沙田,448,1,8,草地,A,1000,2,好,魔術控制,2,100,巫偉傑,P/TT,1093,135
SHB,薛恩,Previous,23/02/2025,沙田,447,13,14,草地,A,1400,4,好,瑪納霏,5,52,巫偉傑,TT1,1216,127
SHB,薛恩,Previous,31/01/2025,沙田,394,2,14,草地,B+2,1600,4YO,好,開心寶寶,14,86,呂健威,TT,1135,126
SHB,薛恩,Previous,31/01/2025,沙田,389,3,14,草地,B+2,1600,4,好,東方飛影,11,55,大衛希斯,B/TT,1252,130
SHB,薛恩,Previous,31/01/2025,沙田,388,11,14,草地,B+2,1200,4,好,午夜快車,5,50,大衛希斯,,1240,128
SHB,薛恩,Previous,19/01/2025,沙田,366,5,13,草地,A,1200,3,好/快,勇霸龍,12,69,黎昭昇,V/TT,1222,126
SHB,薛恩,Previous,19/01/2025,沙田,365,12,14,草地,A,2000,2,好/快,包裝創新,1,78,伍鵬志,SR1,1062,122
SHB,薛恩,Previous,19/01/2025,沙田,364,9,14,草地,A,1400,3,好/快,四季醒,10,77,黎昭昇,B/TT2,1119,132
SHB,薛恩,Previous,19/01/2025,沙田,363,2,8,草地,A,1600,G1,好/快,錶之銀河,3,124,伍鵬志,,1161,126
SHB,薛恩,Previous,19/01/2025,沙田,362,14,14,草地,A,1400,3,好/快,盈妍威楓,4,71,伍鵬志,V/TT,1098,128
SHB,薛恩,Previous,19/01/2025,沙田,361,7,8,草地,A,1200,G1,好,美麗第一,2,103,伍鵬志,E/TT,1189,126
SHB,薛恩,Previous,19/01/2025,沙田,360,3,14,草地,A,1400,4,好,加非凡,7,55,方嘉柏,TT,1110,130
SHB,薛恩,Previous,19/01/2025,沙田,359,9,14,草地,A,1400,4,好,凡凡有餘,4,58,方嘉柏,XB/TT,1202,133
SHB,薛恩,Previous,19/01/2025,沙田,358,5,14,草地,A,1600,4,好,昭易搵,6,59,方嘉柏,B/H/TT,1188,135
SHB,薛恩,Previous,19/01/2025,沙田,356,10,13,草地,A,1200,4,好,神舟彎月,13,52,伍鵬志,,1064,129
SHB,薛恩,Previous,08/12/2024,沙田,246,11,14,草地,A,1600,G1,好,好天朗,4,,高亮能,B,1070,126
SHB,薛恩,Previous,08/12/2024,沙田,245,9,14,草地,A,1800,3,好,將義,6,70,韋達,XB/CP1/TT1,1098,129
SHB,薛恩,Previous,08/12/2024,沙田,244,10,14,草地,A,1200,G1,好,賢者無敵,12,115,賀賢,CP,1108,126
SHB,薛恩,Previous,08/12/2024,沙田,241,5,14,草地,A,1400,4,好,快活英雄,5,54,黎昭昇,CP-/V1/TT,1141,131
SHB,薛恩,Previous,08/12/2024,沙田,240,5,14,草地,A,1200,4,好,仁仁有餘,2,50,方嘉柏,TT,1087,126
