jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
TBE,湯普新,Previous,16/07/2025,跑馬地,847,2,12,草地,B,1200,3,好/快,勇霸龍,11,64,黎昭昇,V/TT,1226,119
TBE,湯普新,Previous,16/07/2025,跑馬地,841,8,12,草地,B,1200,4,好/快,午夜快車,6,43,大衛希斯,CP,1213,118
TBE,湯普新,Previous,16/07/2025,跑馬地,839,10,12,草地,B,1200,5,好/快,威德勇士,10,35,文家良,,1074,130
TBE,湯普新,Previous,13/07/2025,沙田,838,11,14,草地,A,1400,3,好/快,紫荊歡呼,8,65,大衛希斯,CP/TT,1188,122
TBE,湯普新,Previous,13/07/2025,沙田,837,12,14,草地,A,1200,3,好/快,哪吒,3,64,容天鵬,TT,1106,121
TBE,湯普新,Previous,13/07/2025,沙田,836,5,14,草地,A,1600,3,好/快,米奇,4,83,蔡約翰,TT,1183,134
TBE,湯普新,Previous,13/07/2025,沙田,835,9,11,草地,A,1600,1,好/快,太陽勇士,1,90,大衛希斯,B-/XB/CP2,1094,115
TBE,湯普新,Previous,13/07/2025,沙田,834,14,14,草地,A,1200,4,好/快,赤霞,13,48,鄭俊偉,B/TT,1163,126
TBE,湯普新,Previous,13/07/2025,沙田,833,14,14,草地,A,1400,4,好/快,健康之星,14,49,告東尼,B/TT,1068,125
TBE,湯普新,Previous,13/07/2025,沙田,832,12,14,草地,A,1600,4,好/快,整蠱專家,2,50,蘇偉賢,B,1166,125
TBE,湯普新,Previous,13/07/2025,沙田,831,10,14,草地,A,1400,4,好/快,吉祥寶,8,41,姚本輝,H,1026,116
TBE,湯普新,Previous,13/07/2025,沙田,830,1,14,草地,A,1200,4,好/快,亨驥,10,48,葉楚航,H/TT,1083,125
TBE,湯普新,Previous,13/07/2025,沙田,828,7,14,草地,A,1400,5,好/快,全城帶勝,5,28,鄭俊偉,CP/TT,1177,123
TBE,湯普新,Previous,09/07/2025,跑馬地,824,10,11,草地,A,1000,3,好/快,渾身解數,6,64,黎昭昇,TT,1250,115
TBE,湯普新,Previous,09/07/2025,跑馬地,823,6,12,草地,A,1650,4,好/快,連連歡呼,2,41,游達榮,B/TT,1342,116
TBE,湯普新,Previous,09/07/2025,跑馬地,822,11,12,草地,A,1000,4,好/快,神舟彎月,1,42,伍鵬志,B,1021,118
TBE,湯普新,Previous,09/07/2025,跑馬地,821,8,12,草地,A,1200,4,好/快,東昇鉞,12,40,蘇偉賢,,1082,115
TBE,湯普新,Previous,05/07/2025,沙田,817,11,11,草地,C+3,1200,2,好/快,德心知遇,11,82,蔡約翰,E/PC/TT,1174,121
TBE,湯普新,Previous,05/07/2025,沙田,814,3,12,草地,C+3,1200,4,好/快,高感,7,45,黎昭昇,CP1/TT,1091,120
TBE,湯普新,Previous,05/07/2025,沙田,813,12,14,草地,C+3,1400,4,好/快,暴風一族,12,50,黎昭昇,TT,1117,125
TBE,湯普新,Previous,05/07/2025,沙田,811,13,14,草地,C+3,1600,5,好/快,幻影旋風,9,37,容天鵬,B/TT-,1111,132
TBE,湯普新,Previous,01/07/2025,沙田,807,12,14,草地,C,1600,3,好,光年八十,12,65,容天鵬,B/TT,1259,122
TBE,湯普新,Previous,01/07/2025,沙田,806,11,12,草地,C,1200,3,好,共同輝煌,10,62,呂健威,XB-/TT-,1059,120
TBE,湯普新,Previous,01/07/2025,沙田,803,8,14,草地,C,1400,4,好,精算謀略,6,53,蔡約翰,H,1145,128
TBE,湯普新,Previous,01/07/2025,沙田,802,2,12,草地,C,1400,2,好,米奇,8,81,蔡約翰,TT,1188,117
TBE,湯普新,Previous,01/07/2025,沙田,801,7,12,草地,C,1200,4,好,戰騎飛,4,49,蘇偉賢,,1046,124
TBE,湯普新,Previous,01/07/2025,沙田,800,7,14,草地,C,1400,4,好,好運年,3,52,葉楚航,,1063,127
TBE,湯普新,Previous,01/07/2025,沙田,799,11,14,草地,C,1000,4,好,喜行,2,52,大衛希斯,CP/TT,1092,132
TBE,湯普新,Previous,28/06/2025,沙田,797,6,14,草地,B,1400,3,好,金駒永騰,3,63,呂健威,CP,1178,121
TBE,湯普新,Previous,28/06/2025,沙田,796,7,14,,,1650,3,濕慢,東方飛影,2,63,大衛希斯,B/TT,1238,122
