jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
WC,韋紀力,Current,14/12/2025,沙田,263,3,14,草地,A,1400,2,好,威利金箭,8,82,大衛希斯,CP,1250,115
WC,韋紀力,Current,14/12/2025,沙田,261,7,7,草地,A,2000,G1,好,直線力山,1,115,大衛希斯,B,1150,126
WC,韋紀力,Current,14/12/2025,沙田,260,7,14,草地,A,1600,G1,好,手機錶霸,13,109,呂健威,XB,1199,126
WC,韋紀力,Current,14/12/2025,沙田,259,4,14,草地,A,1800,3,好,安可,5,69,蔡約翰,,1071,126
WC,韋紀力,Current,14/12/2025,沙田,258,8,13,草地,A,1200,G1,好,氣勢,2,105,蔡約翰,E,1223,126
WC,韋紀力,Current,14/12/2025,沙田,257,9,11,草地,A,2400,G1,好,安騁,7,104,蔡約翰,P,1087,126
WC,韋紀力,Current,14/12/2025,沙田,254,2,14,草地,A,1400,4,好,安都,12,59,蔡約翰,V-/E1/TT,1163,132
WC,韋紀力,Previous,25/05/2025,沙田,707,2,14,草地,A,1400,3,好,綠野飛馳,6,63,蔡約翰,TT,1105,120
WC,韋紀力,Previous,25/05/2025,沙田,704,3,10,草地,A,2400,G1,好,百賀飛駒,7,105,呂健威,,1060,126
WC,韋紀力,Previous,25/05/2025,沙田,700,4,8,草地,A,1400,2,好,米奇,4,84,蔡約翰,TT,1196,119
WC,韋紀力,Previous,27/04/2025,沙田,629,11,14,草地,A,1400,3,好,安泰,8,69,蔡約翰,XB,1047,128
WC,韋紀力,Previous,27/04/2025,沙田,628,3,14,草地,A,1600,3,好,鐵金剛,2,68,蔡約翰,B/E,1147,124
WC,韋紀力,Previous,27/04/2025,沙田,627,5,11,草地,A,2000,G1,好,百賀飛駒,8,102,呂健威,,1072,126
WC,韋紀力,Previous,27/04/2025,沙田,626,13,13,草地,A,1600,G1,好,樂觀派,2,,比安威詹 希斯,V,1134,126
WC,韋紀力,Previous,27/04/2025,沙田,624,12,13,草地,A,1200,G1,好,榮進劍豪,1,,吉村圭司,H,1048,122
WC,韋紀力,Previous,27/04/2025,沙田,623,1,10,草地,A,1400,2,好,笑傲江湖,1,87,呂健威,,1208,119
WC,韋紀力,Previous,27/04/2025,沙田,622,8,14,草地,A,1400,4,好,博愛先鋒,10,57,巫偉傑,TT,1046,132
WC,韋紀力,Previous,23/03/2025,沙田,532,3,12,草地,A,1200,3,好/快,英勇快車,5,64,蔡約翰,E,1236,120
WC,韋紀力,Previous,23/03/2025,沙田,530,1,14,草地,A,2000,4YO,好/快,百賀飛駒,2,83,呂健威,,1071,126
WC,韋紀力,Previous,23/03/2025,沙田,529,8,14,草地,A,1600,4,好/快,東方飛影,4,56,大衛希斯,B/TT,1247,132
WC,韋紀力,Previous,23/03/2025,沙田,528,1,13,草地,A,1400,3,好/快,安泰,1,63,蔡約翰,P-/XB,1050,122
WC,韋紀力,Previous,23/03/2025,沙田,527,12,14,草地,A,1200,4,好/快,奔妙星,12,49,大衛希斯,B/TT,1243,124
WC,韋紀力,Previous,02/03/2025,沙田,474,6,12,草地,B,2000,3,好/快,綠色巨人,7,62,廖康銘,B,1313,117
WC,韋紀力,Previous,02/03/2025,沙田,472,9,14,草地,B,1800,4YO,好/快,百賀飛駒,10,83,呂健威,,1071,126
WC,韋紀力,Previous,02/03/2025,沙田,468,5,11,,,1650,3,好,安泰,6,64,蔡約翰,P/XB,1050,116
WC,韋紀力,Previous,02/03/2025,沙田,467,6,14,草地,B,1200,5,好,神速馬車,10,30,韋達,B/TT,1111,127
WC,韋紀力,Previous,19/01/2025,沙田,366,7,13,草地,A,1200,3,好/快,志滿同行,8,64,大衛希斯,TT,1140,121
WC,韋紀力,Previous,19/01/2025,沙田,365,11,14,草地,A,2000,2,好/快,大千氣象,6,78,方嘉柏,TT,1187,122
WC,韋紀力,Previous,19/01/2025,沙田,364,11,14,草地,A,1400,3,好/快,滿歡笑,1,66,鄭俊偉,,1231,121
WC,韋紀力,Previous,19/01/2025,沙田,362,8,14,草地,A,1400,3,好/快,爭金奪冠,3,70,巫偉傑,CP/H/TT,1026,127
WC,韋紀力,Previous,19/01/2025,沙田,361,6,8,草地,A,1200,G1,好,魔術控制,4,100,巫偉傑,TT,1084,126
WC,韋紀力,Previous,19/01/2025,沙田,359,1,14,草地,A,1400,4,好,博愛先鋒,7,50,巫偉傑,TT,1038,125
WC,韋紀力,Previous,19/01/2025,沙田,358,8,14,草地,A,1600,4,好,金獅勝將,11,44,大衛希斯,CP,1033,120
WC,韋紀力,Previous,19/01/2025,沙田,356,4,13,草地,A,1200,4,好,精英至尊,5,40,巫偉傑,V/TT,1132,117
