jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
WPN,黃寶妮,Current,19/04/2026,沙田,622,9,12,草地,C+3,1400,3,好/快,手到齊來,4,61,徐雨石,B-,1246,110
WPN,黃寶妮,Current,19/04/2026,沙田,621,8,9,,,1200,3,好,八駿福昇,5,66,告東尼,V/TT,1194,109
WPN,黃寶妮,Current,19/04/2026,沙田,620,8,12,,,1200,4,好,常嚐發財,10,56,丁冠豪,B,1115,124
WPN,黃寶妮,Current,19/04/2026,沙田,619,9,14,,,1650,4,好,午夜快車,13,43,徐雨石,P,1235,111
WPN,黃寶妮,Current,19/04/2026,沙田,616,1,14,草地,C+3,1000,4,好/快,勝萬金,4,57,告東尼,H/TT,1071,125
WPN,黃寶妮,Current,19/04/2026,沙田,615,3,12,,,1200,5,好,城中勇士,8,30,黎昭昇,B/TT,1103,119
WPN,黃寶妮,Current,19/04/2026,沙田,614,1,14,,,1800,5,好,領創動力,1,40,沈集成,B/TT,1207,128
WPN,黃寶妮,Current,15/04/2026,跑馬地,612,11,11,草地,A,1650,3,好,電訊巴打,4,70,徐雨石,,1138,122
WPN,黃寶妮,Current,15/04/2026,跑馬地,611,9,12,草地,A,1200,4,好,巴閉哥,6,52,徐雨石,TT,1182,120
WPN,黃寶妮,Current,15/04/2026,跑馬地,610,10,10,草地,A,1200,4,好,飛越晨曦,4,40,伍鵬志,H-/V/XB/TT,1114,108
WPN,黃寶妮,Current,15/04/2026,跑馬地,608,11,12,草地,A,1800,4,好,一支箭,8,46,徐雨石,B,1022,114
WPN,黃寶妮,Current,15/04/2026,跑馬地,607,4,12,草地,A,1650,4,好,手到再來,5,40,伍鵬志,TT,1168,108
WPN,黃寶妮,Current,15/04/2026,跑馬地,606,8,12,草地,A,1650,5,好,常多笑,2,23,鄭俊偉,B-/V2/XB2/TT-,1035,113
WPN,黃寶妮,Current,15/04/2026,跑馬地,605,12,12,草地,A,1000,5,好,運來勇士,9,37,葉楚航,XB/B2/TT,1111,127
WPN,黃寶妮,Current,12/04/2026,沙田,604,12,12,草地,C,1200,2,好,自強不息,2,95,文家良,B/TT,1114,123
WPN,黃寶妮,Current,12/04/2026,沙田,598,8,12,草地,C,1200,4,好,紅海風帆,1,41,文家良,TT,1152,109
WPN,黃寶妮,Current,12/04/2026,沙田,596,9,14,草地,C,1600,5,好,滿洛城,6,39,大衛希斯,CP,1036,128
WPN,黃寶妮,Current,12/04/2026,沙田,595,10,14,草地,C,1400,5,好,同有運,6,40,伍鵬志,B/TT,1063,128
WPN,黃寶妮,Current,08/04/2026,跑馬地,590,12,12,草地,C+3,1200,4,好,佳運發,11,48,黎昭昇,,1178,116
WPN,黃寶妮,Current,08/04/2026,跑馬地,589,2,12,草地,C+3,1200,4,好,朗日自強,1,52,文家良,V/TT,1292,120
WPN,黃寶妮,Current,08/04/2026,跑馬地,587,12,12,草地,C+3,1000,4,好,精算奕然,10,49,鄭俊偉,P/TT,1041,117
WPN,黃寶妮,Current,06/04/2026,沙田,579,5,12,草地,B+2,1000,3,好,手到齊來,10,63,徐雨石,B,1256,113
WPN,黃寶妮,Current,06/04/2026,沙田,575,3,14,草地,B+2,1200,5,好,機械騎士,11,34,文家良,B/TT,1100,122
WPN,黃寶妮,Current,01/04/2026,沙田,573,10,14,,,1650,3,好,紅海勁,2,60,文家良,B/TT,1144,108
WPN,黃寶妮,Current,01/04/2026,沙田,572,6,10,,,1200,3,好,電子好好,9,60,文家良,TT,1244,108
WPN,黃寶妮,Current,01/04/2026,沙田,571,1,12,,,1200,4,好,八駿福昇,1,60,告東尼,V/TT,1168,128
WPN,黃寶妮,Current,01/04/2026,沙田,569,9,14,,,1800,4,好,艾莉奧,13,54,大衛希斯,B/TT,1213,123
WPN,黃寶妮,Current,01/04/2026,沙田,568,3,12,,,1200,4,好,常嚐發財,3,57,丁冠豪,B,1112,125
WPN,黃寶妮,Current,29/03/2026,沙田,559,13,14,草地,A+3,1400,4,好/快,天德神影,7,47,葉楚航,B-/CP1,1209,116
WPN,黃寶妮,Current,29/03/2026,沙田,558,12,14,草地,A+3,1000,4,好/快,北地烈馬,8,60,葉楚航,CP1/TT,1128,128
WPN,黃寶妮,Current,29/03/2026,沙田,554,5,14,草地,A+3,1400,5,好/快,發光發亮,3,22,葉楚航,B/XB/TT2,1041,110
WPN,黃寶妮,Current,25/03/2026,跑馬地,552,12,12,草地,B,1650,3,好,熒光,7,62,文家良,B-/TT,1079,112
WPN,黃寶妮,Current,25/03/2026,跑馬地,550,11,11,草地,B,1200,4,好,佳運發,9,50,黎昭昇,,1182,118
WPN,黃寶妮,Current,25/03/2026,跑馬地,547,5,12,草地,B,1200,4,好,比特星,3,51,賀賢,,1056,119
