jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
YHY,袁幸堯,Current,19/04/2026,沙田,620,4,12,,,1200,4,好,日馳千里,4,57,姚本輝,B-/E1/V1,1104,122
YHY,袁幸堯,Current,19/04/2026,沙田,619,13,14,,,1650,4,好,超加加,11,59,姚本輝,PC2/TT,1113,124
YHY,袁幸堯,Current,19/04/2026,沙田,618,9,14,草地,C+3,1600,4,好/快,君達得,9,47,丁冠豪,TT,1128,112
YHY,袁幸堯,Current,19/04/2026,沙田,617,14,14,草地,C+3,1400,4,好/快,鬥志波,14,56,巫偉傑,XB/SR1/TT,1172,121
YHY,袁幸堯,Current,19/04/2026,沙田,616,7,14,草地,C+3,1000,4,好/快,飛輪霸,8,60,姚本輝,TT,1133,125
YHY,袁幸堯,Current,19/04/2026,沙田,615,6,12,,,1200,5,好,超風速,7,39,桂福特,V,1116,125
YHY,袁幸堯,Current,12/04/2026,沙田,603,8,11,草地,C,1200,3,好,寶進,4,73,巫偉傑,CP/TT,1109,119
YHY,袁幸堯,Current,12/04/2026,沙田,602,1,12,草地,C,1400,3,好,重情重義,12,65,姚本輝,B-,1022,113
YHY,袁幸堯,Current,12/04/2026,沙田,601,11,12,草地,C,1600,3,好,盈好威楓,12,77,姚本輝,V,1106,125
YHY,袁幸堯,Current,12/04/2026,沙田,600,3,14,草地,C,1400,4,好,自動自覺,1,60,羅富全,TT,1146,125
YHY,袁幸堯,Current,12/04/2026,沙田,599,2,12,草地,C,1200,4,好,應龍飛影,1,49,伍鵬志,TT1,1150,114
YHY,袁幸堯,Current,12/04/2026,沙田,598,1,12,草地,C,1200,4,好,輝灑自如,2,52,姚本輝,,1046,117
YHY,袁幸堯,Current,06/04/2026,沙田,583,5,10,草地,B+2,1400,2,好,飛鷹翱翔,4,89,伍鵬志,CP-,1075,117
YHY,袁幸堯,Current,06/04/2026,沙田,581,4,10,草地,B+2,1400,3,好,哈羅威,1,63,呂健威,V/XB,1126,111
YHY,袁幸堯,Current,06/04/2026,沙田,579,1,12,草地,B+2,1000,3,好,會長之寶,8,71,韋達,B,1062,118
YHY,袁幸堯,Current,06/04/2026,沙田,578,3,14,草地,B+2,1200,4,好,利高八斗,3,52,姚本輝,TT1,1099,118
YHY,袁幸堯,Current,06/04/2026,沙田,577,6,14,草地,B+2,1400,4,好,威武年代,5,60,呂健威,B/TT,1189,125
YHY,袁幸堯,Current,06/04/2026,沙田,575,4,14,草地,B+2,1200,5,好,皇金合,7,36,丁冠豪,B,1190,121
YHY,袁幸堯,Current,06/04/2026,沙田,574,3,14,草地,B+2,1000,4,好,極速神影,13,52,姚本輝,TT1,1063,117
YHY,袁幸堯,Current,01/04/2026,沙田,573,8,14,,,1650,3,好,皇龍飛將,4,80,姚本輝,TT,1061,120
YHY,袁幸堯,Current,01/04/2026,沙田,571,3,12,,,1200,4,好,天天耍樂,9,57,羅富全,B,1185,122
YHY,袁幸堯,Current,01/04/2026,沙田,570,3,12,,,1200,4,好,飛輪霸,1,60,姚本輝,TT,1129,125
YHY,袁幸堯,Current,01/04/2026,沙田,568,1,12,,,1200,4,好,偵探傳奇,12,60,葉楚航,B/TT,1185,125
YHY,袁幸堯,Current,01/04/2026,沙田,565,4,12,,,1200,5,好,東方寶寶,9,31,姚本輝,P-,1100,117
