trainer_code,trainer_name
NM,廖康銘
FC,方嘉柏
SCS,沈集成
HDA,大衛希斯
LKW,呂健威
SJJ,蔡約翰
CAS,告東尼
LFC,羅富全
YPF,姚本輝
MKL,文家良
MWK,巫偉傑
EDJ,游達榮
HAD,賀賢
SWY,蘇偉賢
WDJ,韋達
NPC,伍鵬志
CBJ,桂福特
RW,黎昭昇
TYS,徐雨石
YCH,葉楚航
CCW,鄭俊偉
TKH,丁冠豪
FA,費伯華
UEH,上村洋行
BOM,布銘球
TET,手塚貴久
IKY,池江泰壽
HN,堀宣行
GFH,葛威法
EH,游孝廉
OBJ,岳本賢
BUK,伯特
ODO,岳品賢
SHA,杉山晴紀
TH,田中博康
OBA,岳伯仁
HAB,夏馬殊
BA,包義定
HIC,侯耀誠
TAH,武英智
MOK,森一誠
TTO,高野友和
BY,巴伯樂
SHY,鹿戶雄一
TAR,武井亮
YTP,容天鵬
NAM,中內田充正
HW,郗國思
NFA,納斯
KUS,國枝榮
FAS,菲德文及菲敦盟
HAY,比安威詹 希斯
LCY,雷拿及雷恩
MCL,馬漢雅
FH,藤原英昭
SHE,伊比軒
FEJ,范景新
REJ,雷里雅
GJP,顧永賢
YOK,吉村圭司
IM,池添學
TMI,高柳瑞樹
FAR,范鴻禧
BER,白祈達
MSB,馬晏殊
GTJ,高亮能
WNB,活侯夫人及布特
